ID,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
1,10018.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2053258100.0,,voluntary non-profit - private,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,empty,al_scip-card-2
2,,callahan eye foundation hospital,1720 university blvd,e#??mpty,empty,bi$rmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,,surgical infection prevention,,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,empty,empty,al_scip-inf-1
3,10018.0,callahan eye foundation hospital,1720 university blvd,,empty,birmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,empty,empty,al_scip-inf-2
4,10018.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,,,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),empty,empty,al_scip-inf-3
5,10018.0,callahan eye foundation hospital,1720 university blvd,,empty,birmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,empty,al_scip-inf-4
6,10018.0,,1720 university blvd,empty,empty,birmingham,$a@@l,35233.0,jef#f@@erson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),empty,empty,al_scip-inf-6
7,10018.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-1,,empty,emp#ty$,al_scip-vte-1
8,10018.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,%al@@,35233.0,jefferson,2053258100.0,acute care hospitals,,yes,surgical infection prevention,,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,,empty,al_scip-vte-2
9,10019.0,helen keller memorial hospital,1300 south montgomery avenue,,empty,sheffield,al,171201.50088673126,jefferson,2563864556.0,,,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,97%,33 patients,al_ami-1
10,10019.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660.0,,2563864556.0,acu??te care hospitals,,yes,heart attack,ami-2,,92%,13 patients,al_ami-2
11,10019.0,,1300 south montgomery avenue,empty,empty,sheffield,al,35660.0,jefferson,2563864556.0,acute care hospitals,government - hospital district or authority,,,ami-3,,75%,4 patients,al_ami-3
12,10019.0,helen keller memorial hospital,,empty,empty,sheffield,al,181274.32718351408,jefferson,2563864556.0,,government - hospital district or authority,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,100%,,al_ami-4
13,10019.0,,1300 south montgomery avenue,empty,,sheffield,al,113134.79577105143,,,acute care hospitals,government - hospital district or authority,yes,heart attack,,heart attack patients given beta blocker at discharge,86%,,al_ami-5
14,10019.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,,,35660.0,jefferson,2563864556.0,acute care hospitals,government - hospital district or authority,,heart attack,ami-7a,,empty,0 patients,al_ami-7a
15,10019.0,helen keller memorial hospital,1300 south montgomery avenue,empty,,sheffield,,35660.0,jefferson,15061712673.142725,acute care hospitals,government - hospital district or authority,yes,,ami-8a,heart attack patients given pci within 90 minutes of arrival,empty,0 patients,al_ami-8a
16,,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660.0,jefferson,,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-1,,80%,114 patients,
17,10019.0,,1300 south montgomery avenue,,empty,sheffield,al,35660.0,,2563864556.0,acute care hospitals,government - hospital district or authority,y??$es,heart failure,hf-2,heart failure patients given $an evaluation of left ventricular systolic (lvs) function,,,al_hf-2
18,10019.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,,al,,jefferson,2563864556.0,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),92%,37 patients,
19,10019.0,helen keller memorial hospital,,empty,empty,sheffield,#al,35660.0,,2563864556.0,acute care hospitals,government - hospital district or authority,,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,41 patients,al_hf-4
20,10001.0,southeast alabama medical center,1108 ross clark circle,,empty,dothan,,36302.0,houston,3347938701.0,acute care hospitals,government - hospital %district or author@@ity,yes,hear??t atta%ck,ami-1,heart attack patients given aspirin at arrival,98%,,al_ami-1
