task_name,num,dataset_id,error_rate,m,n,anomaly,missing,cleaning_method,precision,recall,F1,EDR
beers,1,42,9.228215767634856,11,2410,0,0,mode,0.6963410033949453,0.006663376110562685,0.013200435565112363,0.006663376110562685
beers,1,42,9.228215767634856,11,2410,0,0,bigdansing,0.732440588457186,0.18213228035538007,0.2917232276390284,0.12475320829220138
beers,1,42,9.228215767634856,11,2410,0,0,boostclean,0.7187099207846096,0.13240375123395853,0.223612644678248,0.07983711747285291
beers,1,42,9.228215767634856,11,2410,0,0,holoclean,0.2804979253112033,0.05873642645607108,0.09713312154439296,-1.3536525172754195
beers,1,42,9.228215767634856,11,2410,0,0,horizon,0.6883440211241041,0.037142152023692004,0.07048122823970764,-0.01949654491609082
beers,1,42,9.228215767634856,11,2410,0,0,scared,0.6772915880799698,0.1331441263573544,0.22254053018061232,-0.05565153010858835
beers,1,42,9.228215767634856,11,2410,0,0,baran,0.8806110901546587,0.6113030602171767,0.7216504436780887,0.6094521224086871
beers,1,42,9.228215767634856,11,2410,0,0,Unified,0.7074311580535647,0.14708785784797632,0.24353942200626538,0.042941757156959526
beers,2,36,13.937759336099584,11,2410,0,0,mode,0.6642399094681253,0.0106702234078026,0.021003057696590898,0.0106702234078026
beers,2,36,13.937759336099584,11,2410,0,0,bigdansing,0.6983025273481706,0.19928865177281316,0.310082746893856,0.11103701233744581
beers,2,36,13.937759336099584,11,2410,0,0,boostclean,0.6859675594115429,0.11926197621429366,0.20319633876999468,0.07469156385461821
beers,2,36,13.937759336099584,11,2410,0,0,holoclean,0.2758958883440211,0.06891185950872514,0.11027883691707291,-1.1336000889185285
beers,2,36,13.937759336099584,11,2410,0,0,horizon,0.6463598642021878,0.05835278426142047,0.10704192068429724,-0.04201400466822274
beers,2,36,13.937759336099584,11,2410,0,0,scared,0.5934741606940777,0.12326330999221963,0.20412938470193207,-0.1978437256863399
beers,2,36,13.937759336099584,11,2410,0,0,baran,0.8627687665032063,0.5957541402689785,0.7048200098228956,0.5956429921084806
beers,2,36,13.937759336099584,11,2410,0,0,Unified,0.6632591474915126,0.13482271868400578,0.22409330482688966,0.007780371234856063
beers,3,32,18.813278008298756,11,2410,0,0,mode,0.6331950207468879,0.013893114288611702,0.027189652580274126,0.013893114288611702
beers,3,32,18.813278008298756,11,2410,0,0,bigdansing,0.6515277253866465,0.19947267011459285,0.3054334069022705,0.0631781766555116
beers,3,32,18.813278008298756,11,2410,0,0,boostclean,0.6546208977744248,0.10881249366190042,0.1866068031318702,0.07149376331000913
beers,3,32,18.813278008298756,11,2410,0,0,holoclean,0.2722368917389664,0.07463746070378258,0.11715521869055248,-0.9564952844539093
beers,3,32,18.813278008298756,11,2410,0,0,horizon,0.6136552244436062,0.07159517290335665,0.12822977430494692,-0.03863705506540919
beers,3,32,18.813278008298756,11,2410,0,0,scared,0.5651075066012825,0.1104350471554609,0.18476311756339775,-0.16915120170368117
beers,3,32,18.813278008298756,11,2410,0,0,baran,0.8927197284043757,0.720616570327553,0.797488570054665,0.7115911165196227
beers,3,32,18.813278008298756,11,2410,0,0,Unified,0.6208223311957752,0.12159010242368928,0.20335287346682385,-0.019369232329378358
beers,4,31,9.253112033195022,11,2410,0,0,mode,0.6931346661637118,0.0,0.0,0.0
beers,4,31,9.253112033195022,11,2410,0,0,bigdansing,0.7295737457563184,0.17344806392132758,0.2802659965309957,0.11874615857406269
beers,4,31,9.253112033195022,11,2410,0,0,boostclean,0.6299886835156545,0.12599877074370006,0.2099976640040443,-0.20577750460971111
beers,4,31,9.253112033195022,11,2410,0,0,holoclean,0.26329686910599776,0.0031960663798401966,0.0063154715132145356,-1.4007375537799631
beers,4,31,9.253112033195022,11,2410,0,0,horizon,0.6916258015843078,0.02409342347879533,0.04656472187110193,-0.004917025199754148
beers,4,31,9.253112033195022,11,2410,0,0,scared,0.7060731799321011,0.1309157959434542,0.22087777738874378,0.04216349108789182
beers,4,31,9.253112033195022,11,2410,0,0,baran,0.8770275367785741,0.6020897357098955,0.7140059651131264,0.5992624462200369
beers,4,31,9.253112033195022,11,2410,0,0,Unified,0.6562052055827989,0.1604179471419791,0.2578106967264754,-0.1203441917639828
beers,5,37,13.892116182572614,11,2410,0,0,mode,0.6637118068653338,0.005133355652270952,0.01018791477066697,0.005133355652270952
beers,5,37,13.892116182572614,11,2410,0,0,bigdansing,0.6977744247453791,0.18625153442696127,0.2940220384803907,0.1059033590001116
beers,5,37,13.892116182572614,11,2410,0,0,boostclean,0.6848736325914749,0.11293382434996094,0.19389489995875775,0.067737975672358
beers,5,37,13.892116182572614,11,2410,0,0,holoclean,0.2595624292719728,0.016850797902019862,0.03164706756863093,-1.1904921325744895
beers,5,37,13.892116182572614,11,2410,0,0,horizon,0.6579781214635987,0.049771230889409664,0.09254231288144138,-0.011829036937841758
beers,5,37,13.892116182572614,11,2410,0,0,scared,0.6904941531497548,0.11550050217609642,0.19789813967491493,0.08436558419819216
beers,5,37,13.892116182572614,11,2410,0,0,baran,0.9219917012448133,0.7753598928690995,0.8423421395807762,0.7692221850239929
beers,5,37,13.892116182572614,11,2410,0,0,Unified,0.6828366654092796,0.15310791206338578,0.25013068793919696,0.06171186251534427
beers,6,34,27.16597510373444,11,2410,0,0,mode,0.5578649566201433,0.007994260530900892,0.01576264084460684,-0.20129138054729936
beers,6,34,27.16597510373444,11,2410,0,0,bigdansing,0.6059977367031308,0.16695705647227632,0.2617891738096937,-0.07051347750333094
beers,6,34,27.16597510373444,11,2410,0,0,boostclean,0.5785741229724632,0.10279799118581531,0.17457790349150723,-0.14502408527211233
beers,6,34,27.16597510373444,11,2410,0,0,holoclean,0.25484722746133537,0.025827610945987498,0.04690192451083084,-1.0245977247104643
beers,6,34,27.16597510373444,11,2410,0,0,horizon,0.5469634100339494,0.04909295890130163,0.09009903629510377,-0.23091114071948346
beers,6,34,27.16597510373444,11,2410,0,0,scared,0.5050924179554885,0.11120221379522394,0.18227449065482762,-0.3446756175053807
beers,6,34,27.16597510373444,11,2410,0,0,baran,0.8110901546586194,0.7002152300912166,0.7515855961341862,0.486727477708312
beers,6,34,27.16597510373444,11,2410,0,0,Unified,0.5872878159185213,0.1322127703187455,0.21583567992098296,-0.12134877523829046
beers,7,41,23.50622406639004,11,2410,0,0,mode,0.6036589966050547,0.013612467142320691,0.02662455253177099,0.013612467142320691
beers,7,41,23.50622406639004,11,2410,0,0,bigdansing,0.6167861184458695,0.18860307923394667,0.2888734080436252,0.04628238828389035
beers,7,41,23.50622406639004,11,2410,0,0,boostclean,0.6235382874387023,0.09491175366128426,0.1647466321949168,0.06308674427337589
beers,7,41,23.50622406639004,11,2410,0,0,holoclean,0.24828366654092796,0.0327638002253098,0.05788855913453565,-0.8708223807735637
beers,7,41,23.50622406639004,11,2410,0,0,horizon,0.5899660505469634,0.07998497934660158,0.14087125853270735,-0.02046564025535111
beers,7,41,23.50622406639004,11,2410,0,0,scared,0.5454168238400604,0.09885467517837027,0.16737354683443842,-0.13133683815245964
beers,7,41,23.50622406639004,11,2410,0,0,baran,0.8690305545077329,0.676962072850169,0.7610653700918242,0.6740518212542246
beers,7,41,23.50622406639004,11,2410,0,0,Unified,0.5959637872500944,0.12607960946301164,0.20812843630351666,-0.0055388659406684195
beers,8,38,14.020746887966807,11,2410,0,0,mode,0.6609958506224066,0.0,0.0,0.0
beers,8,38,14.020746887966807,11,2410,0,0,bigdansing,0.6949075820445115,0.18382107488594637,0.2907351607810948,0.10003338155112941
beers,8,38,14.020746887966807,11,2410,0,0,boostclean,0.6002640513013957,0.10782241014799154,0.18280794863394045,-0.1791476577278291
beers,8,38,14.020746887966807,11,2410,0,0,holoclean,0.25348924933987177,0.0020028930677645487,0.003974383364366775,-1.2020696561700233
beers,8,38,14.020746887966807,11,2410,0,0,horizon,0.664918898528857,0.042283298097251586,0.0795103978215044,0.011572271058195171
