task_name,num,dataset_id,error_rate,m,n,anomaly,missing,cleaning_method,precision,recall,F1,EDR
flights,1,1,4.994388327721661,7,2376,0.0,5.0,mode,0.9583934583934584,0.028089887640449437,0.05458006902974854,0.028089887640449437
flights,1,1,4.994388327721661,7,2376,0.0,5.0,bigdansing,0.9335618085618086,0.5800561797752809,0.7155283571297862,-0.5519662921348315
flights,1,1,4.994388327721661,7,2376,0.0,5.0,boostclean,0.9571909571909571,0.0,0.0,0.0
flights,1,1,4.994388327721661,7,2376,0.0,5.0,holoclean,0.8373617123617123,0.7907303370786517,0.8133782230557931,-2.7991573033707864
flights,1,1,4.994388327721661,7,2376,0.0,5.0,horizon,0.9065656565656566,0.41853932584269665,0.5726842533510343,-1.1825842696629214
flights,1,1,4.994388327721661,7,2376,0.0,5.0,scared,0.9311568061568062,0.021067415730337078,0.041202622438149504,-0.6081460674157303
flights,1,1,4.994388327721661,7,2376,0.0,5.0,baran,0.9892977392977393,0.776685393258427,0.8701930267974398,0.75
flights,1,1,4.994388327721661,7,2376,0.0,5.0,Unified,0.9177489177489178,0.0014044943820224719,0.002804696543740698,-0.9213483146067416
flights,1,1,4.994388327721661,7,2376,0.0,5.0,GroundTruth,1.0,1.0,1.0,1.0
flights,2,2,9.995791245791246,7,2376,0.0,10.0,mode,0.9157046657046657,0.016140350877192983,0.03172157245326142,0.016140350877192983
flights,2,2,9.995791245791246,7,2376,0.0,10.0,bigdansing,0.8668229918229918,0.6070175438596491,0.7140212943237514,-0.5543859649122806
flights,2,2,9.995791245791246,7,2376,0.0,10.0,boostclean,0.9143217893217893,0.0,0.0,0.0
flights,2,2,9.995791245791246,7,2376,0.0,10.0,holoclean,0.8373617123617123,0.8168421052631579,0.8269746408570015,-0.8982456140350877
flights,2,2,9.995791245791246,7,2376,0.0,10.0,horizon,0.8625541125541125,0.4203508771929825,0.5652411998335307,-0.6042105263157894
flights,2,2,9.995791245791246,7,2376,0.0,10.0,scared,0.7801226551226551,0.028070175438596492,0.054190482679014586,-1.566315789473684
flights,2,2,9.995791245791246,7,2376,0.0,10.0,baran,0.9715007215007215,0.6701754385964912,0.7931843538374826,0.6673684210526316
flights,2,2,9.995791245791246,7,2376,0.0,10.0,Unified,0.8745189995189995,0.0,0.0,-0.46456140350877195
flights,2,2,9.995791245791246,7,2376,0.0,10.0,GroundTruth,1.0,1.0,1.0,1.0
flights,3,12,14.997194163860831,7,2376,0.0,15.0,mode,0.8745189995189995,0.023854069223573433,0.04644136712836842,0.023854069223573433
flights,3,12,14.997194163860831,7,2376,0.0,15.0,bigdansing,0.8016474266474266,0.5579981290926099,0.6579917278774913,-0.5430308699719364
flights,3,12,14.997194163860831,7,2376,0.0,15.0,boostclean,0.8714526214526215,0.0,0.0,0.0
flights,3,12,14.997194163860831,7,2376,0.0,15.0,holoclean,0.8373617123617123,0.823666978484565,0.8304578907282258,-0.26520112254443406
flights,3,12,14.997194163860831,7,2376,0.0,15.0,horizon,0.8243145743145743,0.4031805425631431,0.5415053677121303,-0.3666978484565014
flights,3,12,14.997194163860831,7,2376,0.0,15.0,scared,0.6377465127465127,0.0023386342376052385,0.004660179467214998,-1.8180542563143125
flights,3,12,14.997194163860831,7,2376,0.0,15.0,baran,0.9764309764309764,0.8213283442469598,0.892188879700618,0.8166510757717493
flights,3,12,14.997194163860831,7,2376,0.0,15.0,Unified,0.8453583453583453,0.0,0.0,-0.2029934518241347
flights,3,12,14.997194163860831,7,2376,0.0,15.0,GroundTruth,1.0,1.0,1.0,1.0
flights,4,11,4.994388327721661,7,2376,5.0,0.0,mode,0.9571909571909571,0.0,0.0,0.0
flights,4,11,4.994388327721661,7,2376,5.0,0.0,bigdansing,0.937049062049062,0.6039325842696629,0.7344856611143625,-0.4705056179775281
flights,4,11,4.994388327721661,7,2376,5.0,0.0,holoclean,0.8373617123617123,0.8075842696629213,0.8222034696713825,-2.7991573033707864
flights,4,11,4.994388327721661,7,2376,5.0,0.0,horizon,0.862012987012987,0.45224719101123595,0.5932508014933452,-2.223314606741573
flights,4,11,4.994388327721661,7,2376,5.0,0.0,scared,0.9587542087542088,0.10674157303370786,0.19209636329744267,0.03651685393258427
flights,4,11,4.994388327721661,7,2376,5.0,0.0,baran,0.9751683501683501,0.4199438202247191,0.5870723960734334,0.4199438202247191
flights,4,11,4.994388327721661,7,2376,5.0,0.0,Unified,0.9908609908609909,0.7879213483146067,0.8778145709197623,0.7865168539325843
flights,4,11,4.994388327721661,7,2376,5.0,0.0,GroundTruth,1.0,1.0,1.0,1.0
flights,5,10,9.988776655443322,7,2376,5.0,5.0,mode,0.9155844155844156,0.014044943820224719,0.027665502491857317,0.014044943820224719
flights,5,10,9.988776655443322,7,2376,5.0,5.0,bigdansing,0.8917147667147667,0.5737359550561798,0.6982272630778518,-0.26474719101123595
