task_name,num,dataset_id,error_rate,m,n,anomaly,missing,cleaning_method,cluster_method,parameters,Silhouette Score,Davies-Bouldin Score,Combined Score
hospital,1,27,5.0,20,1000,0.0,5.0,mode,KMEANSNF,k=15,0.1992410815003475,1.2700607952211338,0.4933024824976502
hospital,1,27,5.0,20,1000,0.0,5.0,mode,GMM,"n_components=14, covariance type=full",0.2214793653009667,1.3268614606838847,0.487568775073058
hospital,1,27,5.0,20,1000,0.0,5.0,mode,HC,"n_components=7, covariance type=single-euclidean",0.3894875052465691,0.4101658732700571,1.413762770499487
hospital,1,27,5.0,20,1000,0.0,5.0,mode,KMEANS,k=31,0.23789462680783868,1.4369717878937744,0.4669012566980111
hospital,1,27,5.0,20,1000,0.0,5.0,mode,KMEANSPPS,k=27,0.2233984732366643,1.3074076357154063,0.49413543045806196
hospital,1,27,5.0,20,1000,0.0,5.0,mode,DBSCAN,"n_components=21, covariance type=1.85",0.056986202331484916,2.465992659649956,0.23125120672757096
hospital,1,27,5.0,20,1000,0.0,5.0,bigdansing,KMEANSNF,k=16,0.19477518246496142,1.3156523625490815,0.4774271930549926
hospital,1,27,5.0,20,1000,0.0,5.0,bigdansing,GMM,"n_components=27, covariance type=tied",0.22901204651530072,1.3163672601793868,0.4943392317589488
hospital,1,27,5.0,20,1000,0.0,5.0,bigdansing,HC,"n_components=8, covariance type=single-manhattan",0.42122197531779126,0.46707173909207433,1.2811103524287142
hospital,1,27,5.0,20,1000,0.0,5.0,bigdansing,KMEANS,k=27,0.22843556527484643,1.4173048771308379,0.4670000301748687
hospital,1,27,5.0,20,1000,0.0,5.0,bigdansing,KMEANSPPS,k=18,0.20727808768164893,1.4229560897065232,0.4550202309462693
hospital,1,27,5.0,20,1000,0.0,5.0,bigdansing,DBSCAN,"n_components=6, covariance type=1.9000000000000001",0.1014313276426132,2.008916860809222,0.29960600356318745
hospital,1,27,5.0,20,1000,0.0,5.0,boostclean,KMEANSNF,k=19,0.23709427548107678,1.15552360168943,0.5512514107376252
hospital,1,27,5.0,20,1000,0.0,5.0,boostclean,GMM,"n_components=19, covariance type=full",0.30092111291014206,0.9718119253965635,0.6649634010213866
hospital,1,27,5.0,20,1000,0.0,5.0,boostclean,HC,"n_components=5, covariance type=single-manhattan",0.5530338109483671,0.3011460143588335,1.9368410544241348
hospital,1,27,5.0,20,1000,0.0,5.0,boostclean,KMEANS,k=19,0.2786123402096293,1.1266136378752625,0.5831140410471327
hospital,1,27,5.0,20,1000,0.0,5.0,boostclean,KMEANSPPS,k=12,0.25072090804227165,1.1584337820887285,0.5569777011446346
