task_name,num,dataset_id,error_rate,m,n,anomaly,missing,cleaning_method,precision,recall,F1,EDR
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,mode,0.5906666666666667,0.005869257235377454,0.011623020402033281,0.005869257235377454
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,bigdansing,0.6111666666666666,0.21594818862578424,0.31913423817895176,0.05565674964582069
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,boostclean,0.5183333333333333,0.32523780611212305,0.39968554703978765,-0.16980368346488564
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,holoclean,0.28625,0.0036429872495446266,0.007194414118645,-0.7334547662416515
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,horizon,0.6001666666666666,0.15037441813398097,0.24049239971288788,0.028941509815826754
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,scared,0.6850833333333334,0.32523780611212305,0.4410775774910778,0.23517506577615868
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,baran,0.94275,0.8609593199757134,0.9000002272184663,0.8609593199757134
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,Unified,0.722,0.32523780611212305,0.44845916494311805,0.32483302975106254
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,GroundTruth,1.0,1.0,1.0,1.0
rayyan,2,49,23.118181818181817,12,1000,0.0,10.0,mode,0.5675833333333333,0.008976317799847212,0.017673135356881763,0.008976317799847212
rayyan,2,49,23.118181818181817,12,1000,0.0,10.0,bigdansing,0.5745833333333333,0.19766997708174178,0.29414668166460645,0.025019098548510314
rayyan,2,49,23.118181818181817,12,1000,0.0,10.0,boostclean,0.4399166666666667,0.3069136745607334,0.3615719212620079,-0.28361344537815125
rayyan,2,49,23.118181818181817,12,1000,0.0,10.0,holoclean,0.25625,0.006493506493506494,0.012666048810627124,-0.7045454545454546
rayyan,2,49,23.118181818181817,12,1000,0.0,10.0,horizon,0.57325,0.1419022154316272,0.22749127595748153,0.021963330786860198
rayyan,2,49,23.118181818181817,12,1000,0.0,10.0,scared,0.6481666666666667,0.3069136745607334,0.41657482581789235,0.193659281894576
rayyan,2,49,23.118181818181817,12,1000,0.0,10.0,baran,0.8988333333333334,0.7681436210847975,0.8283654907027622,0.7681436210847975
rayyan,2,49,23.118181818181817,12,1000,0.0,10.0,Unified,0.6973333333333334,0.3069136745607334,0.42623206052826834,0.306340718105424
rayyan,2,49,23.118181818181817,12,1000,0.0,10.0,GroundTruth,1.0,1.0,1.0,1.0
rayyan,3,45,27.500000000000004,12,1000,0.0,15.0,mode,0.5433333333333333,0.01686401148188016,0.03271268475877544,0.01686401148188016
rayyan,3,45,27.500000000000004,12,1000,0.0,15.0,bigdansing,0.5600833333333334,0.19268030139935413,0.2867222073333652,0.052924291352709006
rayyan,3,45,27.500000000000004,12,1000,0.0,15.0,boostclean,0.5933333333333334,0.288302834589164,0.38805050899698296,0.12450663796196627
rayyan,3,45,27.500000000000004,12,1000,0.0,15.0,holoclean,0.25966666666666666,0.009329027628274129,0.018010976077699564,-0.5938284894151418
rayyan,3,45,27.500000000000004,12,1000,0.0,15.0,horizon,0.5455,0.1340150699677072,0.21516879874601896,0.021528525296017224
rayyan,3,45,27.500000000000004,12,1000,0.0,15.0,scared,0.61575,0.288302834589164,0.3927258753166803,0.1727664155005382
rayyan,3,45,27.500000000000004,12,1000,0.0,15.0,baran,0.86925,0.7195909580193757,0.7873719985643954,0.7185145317545748
rayyan,3,45,27.500000000000004,12,1000,0.0,15.0,Unified,0.6693333333333333,0.288302834589164,0.40301463906411505,0.2881234302116972
rayyan,3,45,27.500000000000004,12,1000,0.0,15.0,GroundTruth,1.0,1.0,1.0,1.0
rayyan,4,46,18.736363636363638,12,1000,5.0,0.0,mode,0.5896666666666667,0.0,0.0,0.0
rayyan,4,46,18.736363636363638,12,1000,5.0,0.0,bigdansing,0.603,0.18054427294882208,0.27788652242564615,0.03249390739236393
rayyan,4,46,18.736363636363638,12,1000,5.0,0.0,boostclean,0.5903333333333334,0.3082859463850528,0.4050468857208203,0.0016246953696181965
rayyan,4,46,18.736363636363638,12,1000,5.0,0.0,holoclean,0.29483333333333334,0.001421608448415922,0.002829573441175355,-0.7185215272136475
rayyan,4,46,18.736363636363638,12,1000,5.0,0.0,horizon,0.60675,0.14581640942323315,0.23512637638279196,0.04163281884646629
rayyan,4,46,18.736363636363638,12,1000,5.0,0.0,scared,0.7031666666666667,0.3145816409423233,0.43469160734960044,0.276604386677498
rayyan,4,46,18.736363636363638,12,1000,5.0,0.0,baran,0.7081666666666667,0.29670999187652314,0.4182008291813858,0.28878960194963443
rayyan,4,46,18.736363636363638,12,1000,5.0,0.0,Unified,0.7159166666666666,0.3082859463850528,0.43098317521090057,0.30767668562144596
rayyan,4,46,18.736363636363638,12,1000,5.0,0.0,GroundTruth,1.0,1.0,1.0,1.0
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,mode,0.5669166666666666,0.006309751434034417,0.012480594534809477,0.006309751434034417
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,bigdansing,0.5906666666666667,0.20133843212237093,0.3003109468750805,0.06080305927342256
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,boostclean,0.6280833333333333,0.28967495219885275,0.3964878605366701,0.14665391969407265
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,holoclean,0.28933333333333333,0.004588910133843212,0.009034530015352456,-0.6305927342256215
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,horizon,0.5766666666666667,0.1355640535372849,0.2195223223474036,0.028680688336520075
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,scared,0.67575,0.2936902485659656,0.40943459024323137,0.2560229445506692
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,baran,0.8935833333333333,0.7579349904397705,0.8201883872045819,0.7558317399617591
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,Unified,0.6901666666666667,0.28967495219885275,0.40807410570574515,0.2891013384321224
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,GroundTruth,1.0,1.0,1.0,1.0
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,mode,0.5441666666666667,0.0128135715574806,0.02503757959083271,0.0128135715574806
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,bigdansing,0.5684166666666667,0.18552607832521206,0.27974568552282286,0.06533116765926728
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,boostclean,0.5979166666666667,0.275401552066414,0.3771069341602852,0.12921855260783252
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,holoclean,0.27008333333333334,0.06533116765926728,0.10521226410758563,-0.5807615953798954
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,horizon,0.5510833333333334,0.13048186247969681,0.21100367259533181,0.027792817181014257
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,scared,0.6245,0.28045479155387115,0.3870779379479453,0.18678938819707633
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,baran,0.83875,0.6572820790471035,0.7370100568323444,0.6507850568489443
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,Unified,0.6651666666666667,0.275401552066414,0.3895260944061923,0.27486013354990074
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,GroundTruth,1.0,1.0,1.0,1.0
rayyan,7,51,31.681818181818183,12,1000,5.0,15.0,mode,0.5166666666666667,0.016282225237449117,0.031569567615733866,0.016282225237449117
rayyan,7,51,31.681818181818183,12,1000,5.0,15.0,bigdansing,0.5344166666666667,0.16943690637720488,0.2572975692226084,0.052408412483039346
rayyan,7,51,31.681818181818183,12,1000,5.0,15.0,boostclean,0.5015833333333334,0.2598371777476255,0.3423338243241056,-0.014416553595658074
rayyan,7,51,31.681818181818183,12,1000,5.0,15.0,holoclean,0.26975,0.011194029850746268,0.02149602220657963,-0.4862618724559023
rayyan,7,51,31.681818181818183,12,1000,5.0,15.0,horizon,0.522,0.12381275440976934,0.20015169214478407,0.027137042062415198
rayyan,7,51,31.681818181818183,12,1000,5.0,15.0,scared,0.5841666666666666,0.2656037991858887,0.3651736374922326,0.15366350067842605
rayyan,7,51,31.681818181818183,12,1000,5.0,15.0,baran,0.8021666666666667,0.5978629579375848,0.6851079829511911,0.5973541383989145
rayyan,7,51,31.681818181818183,12,1000,5.0,15.0,Unified,0.63625,0.2598371777476255,0.3689850908423286,0.25966757123473544
rayyan,7,51,31.681818181818183,12,1000,5.0,15.0,GroundTruth,1.0,1.0,1.0,1.0
rayyan,8,50,22.70909090909091,12,1000,10.0,0.0,mode,0.564,0.0,0.0,0.0
rayyan,8,50,22.70909090909091,12,1000,10.0,0.0,bigdansing,0.58825,0.1659021406727829,0.2588123244301933,0.05561926605504587
rayyan,8,50,22.70909090909091,12,1000,10.0,0.0,boostclean,0.6243333333333333,0.2735091743119266,0.3803805078092403,0.13837920489296637
rayyan,8,50,22.70909090909091,12,1000,10.0,0.0,holoclean,0.25625,0.040902140672782875,0.07054415642889304,-0.705848623853211
rayyan,8,50,22.70909090909091,12,1000,10.0,0.0,horizon,0.5823333333333334,0.1341743119266055,0.21809725221726178,0.04204892966360856
rayyan,8,50,22.70909090909091,12,1000,10.0,0.0,scared,0.683,0.2775229357798165,0.39467702035397384,0.27293577981651373
rayyan,8,50,22.70909090909091,12,1000,10.0,0.0,baran,0.6905833333333333,0.29243119266055045,0.4108751243405769,0.29032874617737003
rayyan,8,50,22.70909090909091,12,1000,10.0,0.0,Unified,0.683,0.2735091743119266,0.3906010963029748,0.27293577981651373
rayyan,8,50,22.70909090909091,12,1000,10.0,0.0,GroundTruth,1.0,1.0,1.0,1.0
rayyan,9,55,27.254545454545454,12,1000,10.0,5.0,mode,0.5381666666666667,0.005384063173007897,0.010661464227249106,0.005384063173007897
rayyan,9,55,27.254545454545454,12,1000,10.0,5.0,bigdansing,0.5683333333333334,0.17318736539842067,0.2654764805256203,0.07035175879396985
rayyan,9,55,27.254545454545454,12,1000,10.0,5.0,boostclean,0.543,0.2598707824838478,0.35151318983654317,0.015793251974156496
