task_name,method,EDR_e1,Precision_e1,Recall_e1,F1_e1,EDR_e2,Precision_e2,Recall_e2,F1_e2
beers,mode,0.428,0.664,0.804,0.727,-0.356,0.41,0.777,0.546
beers,bigdansing,0.192,0.57,0.778,0.657,-0.205,0.443,0.75,0.566
beers,boostclean,-0.094,0.469,0.714,0.566,-0.684,0.325,0.685,0.437
beers,holoclean,-0.008,0.496,0.391,0.437,-3.952,0.078,0.382,0.13
beers,horizon,0.192,0.571,0.782,0.654,-0.119,0.466,0.766,0.591
beers,scared,-0.738,0.327,0.661,0.44,-0.024,0.489,0.743,0.592
beers,baran,0.259,0.601,0.78,0.68,-0.053,0.483,0.741,0.585
beers,Unified,-0.113,0.463,0.725,0.567,-0.649,0.339,0.693,0.461
flights,mode,0.825,1.0,0.825,0.904,-0.588,0.359,0.828,0.497
flights,bigdansing,0.508,0.731,0.806,0.766,-0.56,0.359,0.781,0.471
flights,boostclean,-0.002,0.5,0.822,0.621,0.001,0.5,0.827,0.624
flights,holoclean,0.821,0.998,0.822,0.902,-0.697,0.35,0.822,0.489
flights,horizon,0.409,0.694,0.754,0.723,-1.124,0.281,0.75,0.405
flights,scared,-0.443,0.394,0.802,0.531,0.17,0.56,0.806,0.655
flights,baran,0.77,0.854,0.934,0.89,0.5,0.673,0.934,0.795
flights,Unified,-0.018,0.494,0.846,0.626,0.336,0.634,0.886,0.717
hospital,mode,0.857,1.0,0.857,0.923,-0.367,0.403,0.849,0.538
hospital,bigdansing,0.456,0.689,0.829,0.753,-0.368,0.403,0.826,0.542
hospital,boostclean,0.0,0.5,0.801,0.618,0.0,0.5,0.825,0.624
hospital,holoclean,0.837,0.948,0.886,0.914,0.219,0.57,0.893,0.696
hospital,horizon,0.338,0.638,0.766,0.698,-0.252,0.428,0.775,0.544
hospital,scared,-0.284,0.417,0.711,0.519,0.005,0.502,0.742,0.58
hospital,baran,0.927,0.959,0.957,0.964,0.739,0.815,0.956,0.88
hospital,Unified,-0.002,0.499,0.769,0.604,0.0,0.5,0.785,0.612
rayyan,mode,-0.749,0.345,0.84,0.489,-0.47,0.364,0.715,0.473
rayyan,bigdansing,-0.82,0.323,0.737,0.444,-0.677,0.328,0.63,0.426
rayyan,boostclean,-1.398,0.244,0.666,0.366,-0.013,0.495,0.596,0.54
rayyan,holoclean,-1.127,0.242,0.506,0.33,-3.11,0.106,0.415,0.168
rayyan,horizon,-0.663,0.351,0.768,0.479,-0.219,0.429,0.671,0.505
rayyan,scared,-0.804,0.319,0.743,0.45,-0.137,0.452,0.622,0.49
rayyan,baran,-0.065,0.479,0.721,0.572,-0.225,0.434,0.612,0.502
rayyan,Unified,-0.002,0.5,0.829,0.628,-0.004,0.499,0.712,0.587
