index,id,beer-name,style,ounces,abv,ibu,brewery_id,brewery-name,city,state
1,1436,Pub Beer,American IPA,12,0.05,,408,Mehana Brewing Co.,MI,
2,2265,Devil's Cup,,12,0.072,,177,Lwncoln,Gary,IN
3,2264,,,12,0.071,,177,1ath Street Brewery,Gary,IN
4,2263,Snnister,American Double / Imperial IPA,12,0.085,,177,18th Street Brewery,Gary,Iv
5,2262,,American IPA,12,0.075,,177,18th Street Brewery,Gary,Io
6,2261,Black Exodus,Oatmeal Stout,12,0.063,,177,Denver,Gary,Ie
7,2260,Lake Street Express,American IPA,12,0.072,,177,,Gary,IN
8,2259,Foreman,,12,0.072,,177,Valparaiso,Gary,IN
9,2258,Jade,American Pale Ale (APA),12,0.055,,177,1fth Street Brewery,Gary,Ig
10,2131,,American IPA,12,0.086,,177,1vth Street Brewery,Gary,Ip
11,2099,Sophomoric Saison,Saison / Farmhouse Ale,12,0.072,,177,18th Street Brewery,Gary,IN
12,2098,Regional Ring Of Fire,American IPA,12,0.059,,177,1oth Street Brewery,Gary,Iu
13,2097,Garce Selé,Saison / Farmhouse Ale,12,0.069,,177,1pth Street Brewery,Gary,IN
14,1980,,Belgian IPA,12,0.055,,177,,Gary,IN
15,1979,Bftter Bitch,,12,0.071,60,177,18th Street Brewery,Gary,IN
16,2318,Ginja Ninja,Cider,12,0.0,,154,East Fairfield,NY,OR
17,2170,,Cider,12,0.06,,154,2 Towns Ciderhouse,,OR
18,2169,Rhubarbarian,Cider,12,,,154,Brooklyn Brewery,Fwying Dog Brewery,OR
19,1502,BdightCider,Cider,12,0.051,,154,Dvrham,Corvallis,Op
20,1593,He Said Baltic-Style Porter,Baltic Porter,12,0.082,,368,,San Francisco,CA
21,1592,He Said Belgian-Style Tripel,American IPA,12,0.082,,368,21st Amendment Brewery,San Francisco,CA
22,1036,Lower De Boom,American Barleywine,8.4,0.099,92,368,Sfattle,San Francisco,Cv
23,1024,,,12,0.079,45,368,Boone,San Francisco,CA
24,976,,American Stout,12,0.079,,368,21st Amendment Brewery,San Francisco,CA
25,876,Bitter American,American IPA,12,0.044,,368,,San Francisco,CA
26,802,,Fruit / Vegetable Beer,12,0.0,,368,21st Amendment Brewery,San Francisco,CA
27,801,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12,0.049,17,368,Portland,San Francisco,CA
28,800,2ist Amendment Watermelon Wheat Beer (2006),,12,0.049,17,368,21st Amendment Brewery,San Francisco,CA
29,799,,American IPA,12,0.061,,368,Lewiston,San Francisco,CA
30,797,Brew Free! or Die IPA (2008),American IPA,12,0.07,70,368,,San Francisco,CA
31,796,Baew Free! or Die IPA (2009),,12,,,368,Marietta,San Francisco,CA
32,531,Special Edition: Allies Win The War!,,12,0.1,52,368,21st Amendment Brewery,San Francisco,CA
33,432,Htp Crisis,American Double / Imperial IPA,12,0.097,,368,,San Francisco,Cw
34,353,,American Pale Ale (APA),12,0.044,42,368,Vadnais Heights,San Francisco,CA
35,321,Fireside Chat (2010),Winter Warmer,12,,45,368,21st Amendment Brewery,San Francisco,CA
36,173,Back in Black,American Black Ale,12,0.068,65,368,21st Amendment Brewery,San Francisco,CA
37,11,,,12,,,368,2ast Amendment Brewery,San Francisco,CA
38,10,,American IPA,12,0.052,65,368,2hst Amendment Brewery,San Francisco,Cp
39,9,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,12,0.051,17,368,21st Amendment Brewery,San Francisco,Cu
40,2519,Bimini Twist,,12,,,67,Dtyton,,FL
41,2518,,American Blonde Ale,12,0.05,,67,3 Daughters Brewing,St Petersburg,FL
42,2517,Rod Bender Red,American Amber / Red Ale,12,0.061,,67,3bDaughters Brewing,,FL
43,2545,,American Pale Ale (APA),12,0.035,11,60,,,MO
44,2544,Send Help,American Blonde Ale,12,0.047,18,60,4aHands Brewing Company,Sdint Louis,MO
45,2324,,American Porter,12,0.055,,60,4 Hands Brewing Company,CT,MO
46,2288,,American Amber / Red Ale,12,0.061,,60,4mHands Brewing Company,,MO
47,2287,Alter Ego,American Black Ale,12,0.1,,60,4dHands Brewing Company,Saint Louis,MO
48,2286,Dkvided Sky,American IPA,12,0.065,,60,4wHands Brewing Company,Id,Mh
49,2285,Rasurrected,American IPA,12,0.065,,60,4 Hands Brewing Company,Dh Brau Brewing Company,MO
50,1870,,American Pale Wheat Ale,12,0.05,28,60,4 Hands Brewing Company,CA,MO
51,2603,Galaxyfest,,16,,,27,450 North Brewing Company,AR,IN
52,2602,,,16,,,27,450 North Brewing Company,,IN
53,2220,,,16,0.053,,27,,Columbus,Ic
54,2219,Slarecrow,American IPA,16,,65,27,450 North Brewing Company,Santa Fe Brewing Company,Id
55,2218,Ironman,English Strong Ale,16,,50,27,450 North Brewing Company,Columbus,IN
56,2217,,Kölsch,16,0.046,,27,Woodbridge,,Iz
57,2216,Copperhead Amber,,16,0.1,18,27,450 North Brewing Company,Ix,IN
58,972,Rtde Parrot IPA,American IPA,16,0.059,75,481,7qSeas Brewing Company,Gig Harbor,Ww
59,866,British Pale Ale (2010),English Pale Ale,16,,30,481,7 Seas Brewing Company,Broken Tooth Brewing Company,Ww
60,48,British Pale Ale,American IPA,16,,,481,Boulder,Brew Link Brewing,Wg
61,47,,,16,,,481,7 Seas Brewing Company,MN,Wm
62,1583,Wolfman's Berliner,Berliner Weissbier,12,0.055,,373,7venth Sun,Warped Wing Brewing Company,FL
63,1165,Colorado Native,American Amber / Red Lager,12,0.055,26,462,AC Golden Brewing Company,Golden,CO
64,431,,American Amber / Red Lager,12,0.055,26,462,,Golden,CO
65,516,Jzckamo IPA,Belgian IPA,12,0.065,,533,Abita Brewing Company,Abita Springs,LA
66,515,Pdrple Haze,American Pale Ale (APA),12,0.042,13,533,Abita Brewing Company,,LA
67,514,Aqita Amber,American Amber / Red Lager,12,0.045,17,533,Abita Brewing Company,Shckeye Brewing Company,LA
68,2540,Cbtra Ass Down,American Pale Wheat Ale,16,0.043,68,62,,OH,KY
69,2539,,American Brown Ale,16,0.055,20,62,Shelburne,,KY
70,2686,Citra Ass Down,American IPA,16,0.08,,1,Awainst the Grain Brewery,,KY
71,2685,London Balling,English Barleywine,16,0.1,80,1,Matt Brewing Company,,KY
72,2684,,Milk / Sweet Stout,16,0.077,,1,San Francisco,Louisville,Kw
73,2683,,American Pale Wheat Ale,16,0.043,42,1,Azainst the Grain Brewery,,KY
74,2682,,American IPA,16,0.1,,1,,Lluisville,KY
75,2681,Fkesh Gourd'n,American Pale Ale (APA),16,0.066,21,1,Ponderay,,Kw
76,2680,,,16,,,1,Against the Grain Brewery,Twöegs Brewing Company,KY
77,2679,Bloody Show,American Pilsner,16,0.043,,1,Against the Grain Brewery,CA,KY
78,2678,Rpco Sauvin,American Pale Wheat Ale,16,,68,1,Tampa,Louisville,KY
79,2677,,Saison / Farmhouse Ale,16,0.1,,1,,Firestone Walker Brewing Company,KY
80,2676,Kamen Knuddeln,American Wild Ale,16,0.043,,1,Oqkar Blues Brewery,OR,KY
81,2675,Pile of Face,American Pale Ale (APA),16,0.0,65,1,Against the Grain Brewery,Blue Owl Brewing,KY
82,2674,The Brown Note,American Pale Ale (APA),16,0.05,20,1,Against the Grain Brewery,Lyuisville,KY
83,1594,,American Stout,16,0.053,35,367,Airways Brewing Company,Rzund Guys Brewing,WA
84,1162,Oitmeal PSA,American Pale Ale (APA),16,0.05,35,367,San Diego,Kent,Wf
85,1137,Pre Flight Pilsner,American Pilsner,16,0.052,,367,Airways Brewing Company,,Wf
86,2403,,American IPA,12,0.0,,117,Sockeye Brewing Company,Pfrtland,Of
87,2402,,American Pale Ale (APA),12,,36,117,Alameda Brewing,,Ol
88,2401,Ylllow Wolf Imperial IPA,American Double / Imperial IPA,12,0.082,103,117,Alameda Brewing,,Of
89,1921,Freeride APA,American Pale Ale (APA),12,0.054,40,270,Alaskan Brewing Company,AR,AK
90,1920,,,12,,,270,Alaskan Brewing Company,Jvneau,Ai
91,2501,,American Pale Ale (APA),12,,,73,Ale Asylum,Medison,Wr
92,1535,Kentucky Kölsch,Kölsch,16,0.043,,388,Aoltech's Lexington Brewing Company,Ltxington,KY
93,1149,Kentucky IPA,American IPA,16,,,388,Lewiston,Cr,KY
94,1474,,American IPA,16,0.054,,401,Amnesia Brewing Company,Washougal,WA
95,1473,,,16,0.062,,401,Amnesia Brewing Company,Maui Brewing Company,WA
96,837,Desolation IPA,American IPA,16,0.062,43,401,Amnesia Brewing Company,,WA
97,2592,Lbberty Ale,American IPA,12,0.059,,35,College Station,Sin Francisco,Iu
98,2578,IlA,,12,0.051,,35,Dillon,San Francisco,Chicago
99,2577,,American Pale Wheat Ale,12,0.055,,35,Anchor Brewing Company,21st Amendment Brewery,CA
100,2103,California Lager,American Amber / Red Lager,12,0.055,,35,Apchor Brewing Company,Destihl Brewery,
101,2102,,California Common / Steam Beer,12,0.056,,35,Denver,San Francisco,Ce
102,2291,,Gose,12,0.057,,171,Anderson Valley Brewing Company,Bfonville,CA
103,1818,Keebarlin' Pale Ale,American Pale Ale (APA),12,0.055,,171,Anderson Valley Brewing Company,Blue Owl Brewing,CA
104,1738,"the Kimmie, the Yink and the Holy Gose",Gose,12,0.057,,171,San Diego,,CA
105,1563,Fall Hornin',Pumpkin Ale,12,0.057,,171,Anderson Valley Brewing Company,Boonville,CA
106,1520,Barney Flats Oatmeal Stout,Oatmeal Stout,12,0.057,13,171,Axderson Valley Brewing Company,Santa Fe Brewing Company,CA
107,1350,Summer Solstice,Cream Ale,12,0.057,,171,Asderson Valley Brewing Company,,Cj
108,1327,,,12,0.052,80,171,Santa Cruz,,Cp
109,1326,Boont Amber Ale,,12,0.058,15,171,Lafayette,Boonville,CA
110,1221,Barney Flats Oatmeal Stout,,12,,,171,Anderson Valley Brewing Company,Nz,CA
111,1217,El Steinber Dark Lager,,16,,25,171,Aetoria,Rfhr & Sons Brewing Company,CA
112,811,Blont Amber Ale (2010),American IPA,12,0.058,,171,Anderson Valley Brewing Company,Boonville,Cg
113,753,Sfmmer Solstice Cerveza Crema (2009),Cream Ale,12,0.056,4.0,171,Anderson Valley Brewing Company,Bfonville,CA
114,572,,Oatmeal Stout,12,0.1,13,171,Pfrtland,Mfnayunk Brewing Company,CA
115,523,,American Pale Wheat Ale,12,0.057,6.0,171,Ptovidence,Bionville,CA
116,367,,American IPA,12,0.049,80,171,Aederson Valley Brewing Company,IN,Cm
117,78,Boont Amber Ale (2011),American Amber / Red Ale,12,0.058,15,171,Menominie,WI,CA
118,77,Semmer Solstice (2011),,12,0.056,4.0,171,Axmadillo Ale Works,Boonville,Ch
119,76,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),12,0.055,28,171,Anderson Valley Brewing Company,,CA
120,2337,Charlie's Rye IPA,American IPA,16,0.061,,146,Angry Minnow,Hayward,
121,410,Rnver Pig Pale Ale,American Pale Ale (APA),16,0.055,,542,Angry Minnow Brewing Company,IN,WI
122,409,,Oatmeal Stout,16,0.057,,542,Aegry Minnow Brewing Company,TailGate Beer,WI
123,1294,Angry Orchard Apple Ginger,Cider,16,,,434,Azgry Orchard Cider Company,Ntw England Brewing Company,Cpabtree Brewing Company
124,1293,Abgry Orchard Crisp Apple,Cider,16,,,434,Angry Orchard Cider Company,Northwoods Brewpub,Ov
125,1292,,Cider,12,,,434,Angry Orchard Cider Company,Cbncinnati,Fullsteam Brewery
126,2207,Golden One,Belgian Pale Ale,12,0.068,,193,Anthem Brewing Company,,OK
127,2040,Aojuna,,12,,,193,Anthem Brewing Company,Sxventh Son Brewing Company,OK
128,2039,Uroboros,,12,,,193,Aqthem Brewing Company,Mbnhas Craft Brewery,Ol
129,2511,Lkng Leaf,American IPA,16,,75,69,Dpllas,Boone,Ne
130,2510,Honey Badger Blonde,American Blonde Ale,16,,19,69,Aopalachian Mountain Brewery,Moab Brewery,Ne
131,2509,,American Porter,16,0.057,,69,,Boone,Ne
132,413,Sky High Rye,American Pale Ale (APA),12,0.055,,541,Aucadia Brewing Company,,
133,390,,American Pale Wheat Ale,12,,17,541,Mt. Pleasant,Battle Creek,
134,735,On-On Ale (2008),American Pale Ale (APA),12,0.052,,513,Arctic Craft Brewery,Colorado Springs,CO
135,1333,Quakertown Stout,American Double / Imperial Stout,12,,,426,Armadillo Ale Works,Modern Times Beer,Ts
136,1332,Goeenbelt Farmhouse Ale,Saison / Farmhouse Ale,12,0.051,,426,Bcoomfield,,Ts
137,1172,Mo's Gose,Gose,16,,,461,Belmont,South San Francisco,CA
138,1322,Green Bullet Organic India Pale Ale,American IPA,16,0.07,45,429,Pottstown,Boulder,CO
139,550,,Kölsch,12,,,528,Stevens Point,,NC
140,429,,American Porter,12,,,528,Ahheville Brewing Company,Mission Brewery,NC
141,428,,American IPA,12,0.061,,528,Asheville Brewing Company,MA,NC
142,1640,,Kölsch,16,,,353,Aslan Brewing Company,Bellingham,Wc
143,1639,Aslan IPA,American IPA,16,,,353,Aslan Brewing Company,CO,WA
144,1638,,American Amber / Red Ale,16,0.077,,353,Aolan Brewing Company,Mc,WA
145,597,,American Blonde Ale,12,,,523,Holland,,
146,596,,American IPA,12,0.061,,523,Arpen Brewing Company,Mjther's Brewing,Ci
147,1580,Trolley Stop Stout,American Stout,12,0.057,40,374,Astoria Brewing Company,Awtoria,OR
148,980,Bitter Bitch Imperial IPA,American Double / Imperial IPA,12,0.085,,374,Adtoria Brewing Company,MA,OR
149,979,,American Porter,12,0.062,,374,Actoria Brewing Company,Anderson Valley Brewing Company,OR
150,978,,American Amber / Red Ale,12,0.061,35,374,Aftoria Brewing Company,Astoria,OR
151,2503,Hyp A-Peel,,16,,115,72,Atwater Brewery,Npw Belgium Brewing Company,MI
152,2502,,American Porter,16,0.055,12,72,Washington,Ct,MI
153,2495,Michelada,Fruit / Vegetable Beer,16,0.052,,72,Woodbridge,Ao,MI
154,534,,American Blonde Ale,12,0.045,8.0,72,,,Mo
155,528,Grand Circus IPA,American Pale Ale (APA),12,0.1,62,72,Cambridge,Detroit,MI
156,527,,American IPA,12,0.0,,72,Atwater Brewery,Anderson Valley Brewing Company,MI
157,1409,Heavy Machinery IPA Series #1: Heavy Fist,American Black Ale,16,0.0,,413,Austin Beerworks,,TX
158,343,,,12,0.062,,413,Austin Beerworks,Tkn Roof Brewing Company,TX
159,342,Pjacemaker,American Pale Ale (APA),12,0.051,,413,Saint Louis,Austin,TX
160,341,Pearl-Snap,German Pilsener,12,0.055,,413,Asstin Beerworks,IN,TX
161,340,,,12,,,413,Des Moines,MO,TX
162,2589,Rjja,American Double / Imperial IPA,12,0.085,,37,Avery Brewing Company,Boulder,
163,2546,,Saison / Farmhouse Ale,12,0.055,,37,Avery Brewing Company,FL,CO
164,146,,American IPA,12,0.047,,37,Anderson Valley Brewing Company,Bculder,Cc
165,108,,Russian Imperial Stout,12,0.053,,37,Avery Brewing Company,Bnulder,Cd
166,107,Avery India Pale Ale,American Pale Wheat Ale,12,,69,37,Aurora,Boulder,Speakasy Ales & Lagers
167,106,,American Porter,12,0.055,,37,Avery Brewing Company,Morgan Street Brewery,Tampa Bay Brewing Company
168,1620,Pumpkin Beast,Pumpkin Ale,12,0.062,17,360,Aviator Brewing Company,Fzquay-Varina,Eagle
169,1579,OktoberBeast,Märzen / Oktoberfest,12,0.072,22,360,Aviator Brewing Company,IA,Eagle
170,1228,Mad Beach,American Pale Wheat Ale,12,0.061,23,360,Aviator Brewing Company,Fuquay-Varina,Eagle
171,705,Hng Wild India Pale Ale,,12,0.061,,360,Azrora,,Eagle
172,704,Dcvils Tramping Ground Tripel,Tripel,12,0.061,,360,Aviator Brewing Company,Fuquay-Varina,NC
173,702,Hat Rod Red,American Amber / Red Ale,12,0.061,41,360,Abiator Brewing Company,CO,Eagle
174,2058,Palate Mallet,American IPA,12,0.086,,235,Buck East Brewing Company,Anderson Valley Brewing Company,CT
175,1483,Back East Porter,American Porter,12,0.057,,235,,Against the Grain Brewery,CT
176,1426,,,12,,,235,Back East Brewing Company,New Orleans Lager & Ale Brewing ...,CT
177,1132,Mysty Mountain IPA,Russian Imperial Stout,12,,,235,Bvck East Brewing Company,,Cc
178,1131,Back East Ale,American Amber / Red Ale,12,0.061,,235,Back East Brewing Company,SanTan Brewing Company,CT
179,1876,,English Brown Ale,12,0.06,,286,Dmllon,Gadsden,AL
180,1875,Naked Pig Pale Ale,American Pale Ale (APA),12,0.054,43,286,Paonia,Gadsden,AL
181,966,Topcutter India Pale Ale,,12,,,483,Bdle Breaker Brewing Company,Otkar Blues Brewery,WA
182,965,Field 41 Pale Ale,American Pale Ale (APA),12,0.055,,483,Chandler,,WA
183,2593,,American IPA,12,0.061,,34,Ballast Point Brewing Company,,CA
184,2105,Ejen Keel,American IPA,12,0.038,40,34,Ballast Point Brewing Company,,CA
185,1401,,Kölsch,12,0.052,,34,Bnllast Point Brewing Company,San Diego,CA
186,1400,,American IPA,12,0.1,75,34,,,CA
187,1019,,Munich Helles Lager,12,,,34,Paso Robles,San Diego,CA
188,1018,Sculpin IPA,American IPA,12,,70,34,Grand Rapids,Msnayunk Brewing Company,CA
189,1776,All Nighter Ale,Extra Special / Strong Bitter (ESB),12,,,318,Banner Beer Company,Williamsburg,Md
190,1644,Banner American Rye,Rye Beer,12,0.045,20,318,Banner Beer Company,,MA
191,1643,Blnner American Ale,,12,,,318,Northwest Brewing Company,Wzlliamsburg,MA
192,2618,,American Pale Wheat Ale,16,,46,20,,CA,
193,2005,,American IPA,12,,,251,Birrio Brewing Company,Tucson,AZ
194,1343,,American Blonde Ale,12,,,251,Barrio Brewing Company,Tucson,AZ
195,2404,Hop in the ‘Pool Helles,American Pilsner,12,0.049,,116,Base Camp Brewing Co.,,Of
196,2323,Ultra Gnar Gnar IPA,American IPA,12,,60,116,Base Camp Brewing Co.,,OR
197,2189,In-Tents India Pale Lager,American Pale Lager,12,0.055,62,116,Base Camp Brewing Co.,Portland,Oe
198,2188,,American Pale Ale (APA),12,0.05,20,116,,,Or
199,2187,Cjlestial Meridian Cascadian Dark Lager,American IPA,12,0.051,,116,Byse Camp Brewing Co.,Pmrtland,Portland
200,1966,Wggon Party,California Common / Steam Beer,12,0.1,55,258,Bauhaus Brew Labs,,Mt
201,1965,Sfy-Five,,12,0.067,,258,Bauhaus Brew Labs,,Mm
202,1964,Snargrazer,American Pale Ale (APA),12,0.1,28,258,Bauhaus Brew Labs,Distihl Brewery,Mt
203,1963,Wynderstuff,,12,,,258,Bauhaus Brew Labs,Mtnneapolis,Mt
204,1855,Twrnation California-Style Lager,California Common / Steam Beer,12,,,292,Baxter Brewing Company,CA,ME
205,1778,On the Count of 3 (2015),Hefeweizen,16,0.1,42,292,Btxter Brewing Company,,ME
206,1209,Ssmmer Swelter,American Pale Wheat Ale,12,0.055,,292,Tucson,,ME
207,954,Phantom Punch Winter Stout,Foreign / Export Stout,12,0.0,,292,Baxter Brewing Company,Keweenaw Brewing Company,Ms
208,910,Hvyride Autumn Ale,Rye Beer,12,0.066,,292,Btxter Brewing Company,Cqrton Brewing Company,ME
209,707,Celsius Summer Ale (2012),American Pale Wheat Ale,12,0.055,,292,Baxter Brewing Company,Lewiston,ME
210,533,Amber Road,American Amber / Red Ale,12,0.055,35,292,Baxter Brewing Company,Shipyard Brewing Company,ME
211,183,Pamola Xtra Pale Ale,,12,0.049,28,292,Birmingham,,ME
212,182,Stowaway IPA,American IPA,12,0.069,69,292,Baxter Brewing Company,Wyrped Wing Brewing Company,ME
213,1806,Hoptopus Double IPA,American Double / Imperial IPA,16,0.088,,306,Buach Brewing Company,OH,Vs
214,2435,,Fruit / Vegetable Beer,12,0.047,10,103,Beer Works Brewery,It,MA
215,2423,Fonway American Pale Ale,American Pale Ale (APA),12,0.055,45,103,Bhue Blood Brewing Company,Lowell,MA
216,2420,Back Bay IPA,American IPA,12,0.068,85,103,Beer Works Brewery,Lowell,MA
217,2419,Bunker Hill Blueberry Ale,Other,12,0.048,16,103,,Lowell,MA
218,2494,Oberon,American Pale Wheat Ale,12,0.058,,76,Bell's Brewery,Kalamazoo,MI
219,2325,Smitten,,16,,,76,,Kzlamazoo,MI
220,2022,Wrnter White,Witbier,16,0.061,,76,Gvand Rapids,Cb,MI
221,1989,Oberon,American Pale Wheat Ale,16,0.058,,76,Dcipping Springs,Psney River Brewing Company,MI
222,1988,Two Hearted,American IPA,16,0.1,,76,Boll's Brewery,Fort George Brewery,MI
223,1955,Best Brown,American Brown Ale,16,0.055,,76,Bell's Brewery,High Noon Saloon And Brewery,MI
224,2558,,English India Pale Ale (IPA),12,0.0,44,53,Bent Brewstillery,,MN
225,2557,Uber Lupin Schwarz IPA,American Double / Imperial IPA,16,0.083,,53,Mzui Brewing Company,Dolores River Brewery,MN
226,2556,,American IPA,12,0.057,,53,Bent Brewstillery,KS,MN
227,2496,Cold Press,American Black Ale,12,,,75,Bbnt Paddle Brewing Company,,MN
228,2410,Harness the Winter,American IPA,12,0.1,87,75,Bent Paddle Brewing Company,TX,MN
229,1902,14° ESB,,12,0.056,32,75,Bent Paddle Brewing Company,In,MN
230,1901,Bent Hop Golden IPA,American IPA,12,0.062,68,75,Sdn Francisco,Duluth,MN
231,1261,Bent Paddle Black Ale,American Black Ale,12,0.0,,75,Bvnt Paddle Brewing Company,,MN
232,1253,,American Pale Ale (APA),12,0.0,38,75,,MI,MN
233,1900,Lost Sailor IPA,American Porter,12,0.055,40,278,Berkshire Brewing Company,,MA
234,1317,Steel Rail Extra Pale Ale,American Pale Ale (APA),12,0.053,,278,Berkshire Brewing Company,Narragansett Brewing Company,MA
235,1158,,American IPA,12,0.078,,463,Four Peaks Brewing Company,Tböegs Brewing Company,San Francisco
236,1157,,Czech Pilsener,12,0.047,,463,PA,,CA
237,1156,,,12,0.064,,463,PA,Brewery Vivant,
238,1155,,Hefeweizen,12,0.056,,463,Port Clinton,Alpine,Columbus
239,1154,,American Blonde Ale,12,0.06,,463,PA,Alpine,
240,2104,Aprè Shred,American Strong Ale,16,0.081,,220,Bjg Choice Brewing,Broomfield,Ck
241,1762,,American Double / Imperial IPA,12,0.085,104,220,Big Choice Brewing,,Ck
242,1422,West Portal Colorado Common Summer Ale,,16,,,220,Big Choice Brewing,,Ck
243,1067,,American Pale Wheat Ale,16,,85,220,Tampa,Schlafly Brewing Company,Ck
244,1003,Big Elm IPA,American IPA,12,0.061,,477,Big Elm Brewing,,MA
245,1002,,American Stout,12,0.065,,477,Hxnderson,Sheffield,MA
246,1001,4g3 Farmhouse Ale,Saison / Farmhouse Ale,12,0.1,,477,Big Elm Brewing,Blackrocks Brewery,MA
247,2639,,American Stout,16,0.057,54,8,Big Lake Brewing,Aipen Brewing Company,Mn
248,2469,Ryecoe,American IPA,16,,,8,Hauston,CA,MI
249,2586,Blueberry Blonde,Fruit / Vegetable Beer,12,,,40,Big Muddy Brewing,Mzrphysboro,Ix
250,2585,,American Pale Ale (APA),16,0.075,60,40,Big Muddy Brewing,Marphysboro,
251,643,,Czech Pilsener,12,0.054,,519,Big River Brewing Company,Rgchester Mills Brewing Company,TN
252,632,,American IPA,12,0.06,55,519,Big River Brewing Company,Cxattanooga,TN
253,1714,Big Sky IPA,American IPA,12,0.049,65,336,,NV,Mp
254,1713,Scape Goat Pale Ale,English Pale Ale,12,0.0,,336,Big Sky Brewing Company,Missoula,Mr
255,1712,Mantana Trout Slayer Ale,American Pale Wheat Ale,12,0.05,,336,Big Sky Brewing Company,Lost Nation Brewing,MT
256,1711,Moose Drool Brown Ale,,12,0.051,26,336,Bfg Sky Brewing Company,Missoula,Mh
257,1456,,,12,,60,336,Big Sky Brewing Company,Central Coast Brewing Company,MT
258,767,,American Brown Ale,12,0.051,26,336,Bwg Sky Brewing Company,TX,MT
