ID,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1,aa,AA-1007-MIA-PHX,4:55 p.m.,nan,nan,7:55 p.m.
2,nan,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
3,allegiantair,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
4,boston,nan,10:39 a.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
5,businesstravellogue,AA-1007-MIA-PHX,nan,5:08 p.m.,8:05 p.m.,7:55 p.m.
6,flightaware,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,12:29 a.m.,7:55 p.m.
7,nan,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
8,flights,AA-1007-MIA-PHX,nan,nan,12:29 a.m.,7:55 p.m.
9,flightstats,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,12:29 a.m.,nan
10,flightview,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
11,flylouisville,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
12,fly$tecomm,nan,nan,5:08 p.m.,8:05 p.m.,7:55 p.m.
13,foxbusiness,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,12:29 a.m.,7:55 p.m.
14,gofox,nan,10:39 a.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
15,helloflight,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
16,myra??t??eplan,nan,nan,5:08 p.m.,8:05 p.m.,7:55 p.m.
17,nan,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,nan,7:55 p.m.
18,orbitz,AA-1007-MIA-PHX,nan,5:08 p.m.,8:05 p.m.,7:55 p.m.
19,panynj,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,12:29 a.m.,nan
20,nan,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
21,wunderground,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
22,aa,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,nan,10:04 a.m.
23,airtravelcenter,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,nan,10:04 a.m.
24,allegiantair,nan,6:59 a.m.,nan,10:34 a.m.,10:04 a.m.
25,boston,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
26,business%travellogue,CO-62-IAH-EWR,nan,7:22 a.m.,5:55 p.m.,nan
27,flightaware,CO-62-IAH-EWR,nan,7:22 a.m.,10:34 a.m.,10:04 a.m.
28,flightexplorer,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
29,flights,nan,6:59 a.m.,nan,10:34 a.m.,10:04 a.m.
30,flightstats,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
31,f#lightview%,nan,6:59 a.m.,12:11 p.m.,10:34 a.m.,10:04 a.m.
32,flylouisville,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,nan,10:04 a.m.
33,flytecomm,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
34,foxbusiness,CO-62-IAH-EWR,6:59 a.m.,nan,nan,10:04 a.m.
35,gofox,CO-62-IAH-EWR,nan,nan,10:34 a.m.,10:04 a.m.
36,helloflight,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
37,mia,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
38,myrateplan,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
39,mytripandmore,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
40,nan,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
41,panynj,CO-62-IAH-EWR,6:59 a.m.,nan,10:34 a.m.,10:04 a.m.
42,quic$ktrip,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,nan,10:04 a.m.
43,travelocity,nan,6:59 a.m.,12:11 p.m.,10:34 a.m.,10:04 a.m.
44,wea%the#r,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
45,nan,CO-62-IAH-EWR,6:59 a.m.,nan,10:34 a.m.,10:04 a.m.
46,wunderground,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,nan,10:04 a.m.
47,aa,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
48,nan,AA-1221-MCO-ORD,nan,8:23 p.m.,9:45 p.m.,9:53 p.m.
49,allegiantair,AA-1221-MCO-ORD,8:00 p.m.,nan,9:45 p.m.,9:53 p.m.
50,boston,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
51,businesstravellogue,AA-1221-MCO-ORD,nan,8:23 p.m.,9:45 p.m.,9:53 p.m.
52,flightarrival,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,10:20 a.m.,nan
53,flightaware,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
54,flightexplorer,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
55,flights,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
56,flightstats,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,nan,9:53 p.m.
57,nan,AA-1221-MCO-ORD,8:00 p.m.,nan,nan,9:53 p.m.
58,flylouisville,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
59,%%flytecomm,AA-1221-MCO-ORD,nan,8:23 p.m.,9:45 p.m.,9:53 p.m.
60,nan,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
61,nan,AA-1221-MCO-ORD,nan,8:23 p.m.,nan,9:53 p.m.
62,helloflight,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
63,nan,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
64,myrateplan,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
65,nan,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
66,nan,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
67,ord,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
68,panynj,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
69,quicktrip,nan,11:25 a.m.,11:05 a.m.,9:45 p.m.,9:53 p.m.
70,nan,nan,11:25 a.m.,11:05 a.m.,9:45 p.m.,9:53 p.m.
71,usatoday,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
