ID,id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
1,nan,Late repair of injuries of the anal sphincter,eng,Proc R Soc Med,Proceedings of the Royal Society of Medicine,00??35-9157 (Print) 0035-9157,64.0,nan,1/1/71,1187-9%,{A. G. ParksJ. F. McPartlin}
2,2700188.1293024425,Ebola Virus GP Gene Polyadenylation Versus RNA Editing.,E@#@NG,The Journal of infectious diseases,J. Infect. $Dis.,153$7-6613,-1.0,-1.0,2/15/04,nan,{Valentina A VolchkovaJaroslav VoracPhilip LawrenceLaurie Repiquet-PaireViktor E Volchkov}
3,789958.0,Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,nan,nan,Indian J Ophthalmol,030@@1-473$8,54.0,4.0,1/6/12,283-4,{Jitendra JethaniShashikant ShettySucheta ParijaP Vijayalakshmi}
4,169865.0,[Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA],pol,nan,3.7428952126887665,nan,84.0,0.0,1/13/01,714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cel@@l-free fetal DNA]-,{G. JakielK. GorzelnikJ. G. ZimowskiT. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 RoszkowskiJ. Bijok}
5,803653.0,Diagnosis and Management of Cutaneous B-cell Lymphoma.,nan,Dermatologic clinics,Dermatol Clin,1558-0520,33.0,nan,1/15/10,835-40,{Laur%en C% Pinter-Brown}
6,98234.0,Pregabalin celecoxib and their combination for treatment of chronic low-back pain,eng,nan,4.74270806152666,4.868726769339976,nan,nan,1/9/01,185-91,{C. L. RomanoG. MineoC. BonoraD. Romano}
7,823730.0,Activation and blockade of beta adrenoceptors in common cardiac disorders,nan,Br Med Bull,British medical bulletin,nan,29.0,2.0,1/1/73,163-7,{B N PrichardJ W B$lack}
8,nan,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,English; ABSTRACT LANGUAGE:English,American journal of respiratory and critical care medicine,nan,nan,164.0,nan,1/1/07,43-49,{St_ber?? FMutz$ NWrigge HPutensen CZinserling JZech SVon Spiegel T}
9,nan,Awareness of deficits and on-road driving performance,English,Clinical Neuropsychologist,nan,1385-4046$$,25.0,32.01431061866396,nan,1158-78,{L. J. RapportJ. A. GriffenL. A. BieliauskasC. BurtR. C. Bryer}
10,340222.0,A comparative evaluation of two head and neck immobilization devices using electronic portal imaging,nan,The British journal of radiology,nan,nan,79.0,938.0,1/6/01,158-61,{K. FlemingK. DonatoK. Leszczynski}
11,184417.0,Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects,nan,Transportation Research Part D-Transport and Environment,nan,1361-9209,14.0,24.417554321151087,nan,317-325,{J. L. $LiP. Newcom??b}
12,729686.0,Local anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis,English,International journal of clinical and experimental medicine,Int J Clin Exp Med,1940-5901,8.0,6.0,1/1%5/01,10213-10224,??{Yang MLi JLi YZhou MYan#g HShi XLi XYuan H}
13,278396.0,Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection,eng,Acta Obstet Gynecol Scand,Acta obstetricia et gynecologica Scandinavica,0001-6349 (Print) 000@@1-6349,92.0,nan,1??/13/01,711-5,{T. S. MikkolaS. VuorentoO. YlikorkalaM. Vaisanen-TommiskaP. Rahkola-Soisalo}
14,965082.0,Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping,nan,Heart Rhythm,nan,1547-5271,8.0,5.0,1/11/01,S40,{C. Hamilton-CraigS. BartolettiM. CasellaF. PernaM. L. NarducciP. SantangeliF. PintusA. NataleA. Dello RussoG. PelargonioG. BencardinoJ. D. BurkhardtF. BellocciL. Di Biase}
15,53321.0,nan,eng,nan,nan,nan,35.0,8.0,1/11/01,1245-50,{T. ToppC. Kuh??neS. RuchholtzU. LewanA. KrugerT. MullerR. Zettl}
16,13601.0,nan,$$eng,British Journal of Dermatology.,nan,00%07-0963,140.0,nan,5/1/99,919-21,nan
17,3937247.2023768746,A randomized controlled trial of Tai chi for balance sleep quality and cognitive performance in elderly Vietnamese.,eng,Clinical Interventions In Aging,Clin Interv Aging,1178-1998,32.455582299069505,-1.0,1/12/01,185-90,nan
18,282987.0,Multisystemic Therapy for social emotional and behavioral problems in youth aged 10-17,eng,Cochrane Database Syst Rev,nan,1469-493X,0.0,4.0,1/5/0#1@@,Cd004797,{J. H. LittellM. PopaB. Forsythe}
19,478292.0,nan,nan,Acta Neurochirurgica,nan,Jan-68,139.0,3.0,1/1/97,257-8,{Y TakagiN HashimotoY Goto}
20,43736.0,Effect of pedaling technique on mechanical effectiveness and efficiency in cyclists.,eng,Medicine and science in sports $and exercise,nan,0195-9131,nan,nan,1/7/06,991-5,{James C MartinIan MayhewLee M RomerThomas Korff}
21,82614.0,Lycopene metabolite apo-10'-lycopenoic acid inhibits diethylnitrosamine-initiated high fat diet-promoted hepatic inflammation and tumorigenesis in mice.,nan,Cancer prevention research (Philadelphia Pa.),Cancer Prev Res (Phila),1940-6215,6.0,12.0,1/13/12,1304-16,{Lynne M AusmanMartin S Obin??Xiang-Dong WangChun LiuBlanche C IpDonald E SmithKang-Quan Hu}
22,nan,nan,English,nan,4.783861245726038,nan,nan,nan,@@1/11/0@@1,512-9 ST  - A performance improvement process to tackle tachysystole-,nan
23,514411.0,Osteoid osteoma treated by percutaneous thermal ablation: when do we% fail? A systematic #review and guidelines for future reporting.,eng,Cardiovascular and interventional radiology,nan,1432-086?$?X,37.0,6.0,nan,nan,{Luca Maria SconfienzaEzio LanzaGianpaolo Corn#albaDa??rio PorettiCatherine CytevalPierre VialaFrancesco SardanelliYann Thouvenin}
