ID,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1,1436,Pub Beer,American Pale Lager,12,0.05,nan,408,10 Barrel Brewing Company,Bend,OR
2,96,Devil's Cup,,12,0.05,nan,177,1??8th Street Brewer@@y,Gary%#,IN
3,10949.023793694168,,American IPA,12,0.071,,177,Golden Road Brewing,Gary,IN
4,2263,Sinister,American Double / Imperial IPA,12,0.09,nan,177,18th Street Brewery,Gary,
5,2262,Sex and Candy,American IPA,12,0.075,85,177,Golden Road Brewing,Gary,IN
6,2261,,Oatmeal Stout,12,0.077,nan,447,18th S#treet Brewery,Gary,IN
7,,Lake Street Express,American Pale Ale (APA),12,0.06,nan,1027.5806971790716,Great River Brewery,Gary,IN
8,,Foreman,American Pale Ale (APA),12,0.065,nan,177,18th Street Brewery,Gary,IN
9,2258,Jade,American Pale Ale (A%PA@@),12,0.05,nan,177,18th Street Brewery,Gary,IN
10,2131,Cone Crusher,German Pilsener,12,0.086,nan,177,18th Street Brewery,Gary,IN
11,,Sophomoric Saison,American IPA,12,0.072,nan,177,18th Street Brewery,Gary,IN
12,2098,Regional Ring Of Fire,American Strong Ale,12,0.073,nan,177,18th Street Brewery,Gary,IN
13,2097,Garce Selé,Saison / Farmhouse Ale,12,0.069,nan,177,18th Street Brewery,Gary,IN
14,1980,Troll Destroyer,Belgian IPA,12,0.06,nan,177,,@@Gary,IN
15,11729.666230015797,Bitter Bitch,American Pale Ale (APA),12,0.061,334.18735,177,Great River Brewery,Gary,IN
16,,Ginja Ninja,Cider,12,0.06,nan,154,2 Towns Ciderhouse,Corvallis,OR
17,2170,Cherried Away,Cider,12,0.055,nan,154,2 Towns Ciderhouse,Corvallis,OR
18,2169,Rhubarbarian,Cider,12,0.06,nan,154,,Corvallis,OR
19,1502,,American Amber / Red Ale,12,0.06,nan,154,2 Towns Ciderhouse,Corv#allis,OR
20,1593,He Said Baltic-Style Porter,American Amber / Red Ale,12,0.082,85,,,San Francisco,CA
21,1592,He Said Belgian-St#yle?? Tripel,Tripel,12,0.082,nan,368,21st Amendment Brewery,San Francisco,$CA$
22,54,,American Barleywine,12,0.099,92,368,21st Amendment Brewery,San Francisco,CA
23,1024,Fireside Chat,Winter Warmer,12,0.079,85,368,,San Francisco,CA
24,976,Marooned On Hog Island,American Stout,12,0.055,nan,368,21st Amendment Brewery,San Francisco,
25,876,Bitter American,American Pale Ale (APA),12,0.044,42,368,21st Amendment Brewery,San Francisco,CA
26,802,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12,0.06,17,368,21st Amendment Brewery,San Francisco,
27,801,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12,0.049,17,368,21st Amendment Brewery,San Francisco,CA
28,800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,12,0.049,85,368,Great River Brewery,San Francisco,CA
29,49,21st Amendment IPA (2006),American IPA,12,0.07,70,240,,,CA
30,,Brew Free! or Die IPA (2008),American IPA,12,0.07,70,368,21st Amendment Brewery,San Francisco,CA
31,796,Brew Free! or Die IPA (2009),American IPA,12,0.07,70,368,21st Amendment Brewery,San Francisco,CA
32,531,,English Strong Ale,12,0.085,85,368,21st Amendment Brewery,San Francisco,CA
33,432,,American Double / Imperial IPA,12,0.097,94,,,San Francisco,CA
34,11,Bitter American (2011),American Pale Ale (APA),12,0.044,42,1946.9506090382372,Great River Brewery,San Francisco,CA
35,321,Fireside Chat (2010),Winter Warmer,12,0.079,73,368,,San Francisco,CA
36,173,%Back in Blac#k,American Amber / Red Ale,12,0.068,65,368,21st Amendment Brewery,San Francisco,CA
37,45.815,Monk's Blood,Belgian Dark Ale,12,0.083,85,368,,San Francisco,CA
38,,,American IPA,12,0.07,65,368,21st Amendment Brewery,San Francisco,CA
39,9.0,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,12,0.049,17,368,21st Amendment Brewery,San Francisco,
40,14874.44232638242,Bimini Twist,American IPA,12,0.07,82,67,Golden Road Brewing,St Petersburg,FL
41,12253.266846123955,Beach Blonde,American Blonde Ale,12,0.05,nan,,Great River Brewery,St Petersburg,
42,2517,Rod Bender Red,American IPA,12,0.06,nan,67,3 Daughters Brewing,St Petersburg,FL
43,,Pas#sion Fruit P%russia,Berliner Weissbier,12,0.06,11,60,4 Han$ds Brewing Company,Saint Louis,MO
44,2544,Send He@@lp,Czech Pilsener,12,0.045,18,60,4 Hands Brewing Company,Saint Louis,MO
45,2324,Cast Iron Oatmeal Brown,,12,0.055,nan,60,,Saint Louis,MO
46,2288,Reprise Centennial Red,American Amber / Red Ale,12,0.06,nan,60,4 Hands Brewing Company,Saint Louis,MO
47,10472.01009985502,Alter Ego,American Black Ale,12,0.055,nan,60,4 Hands Brewing Company,Saint Louis,MO
48,2286,Div$ided Sky,American IPA,16,0.065,nan,60,4 Hands Brewing Company,Saint Louis,MO
49,2285,Resurrected,American IPA,12,0.065,nan,60,Golden Road Brewing,Saint Louis,MO
50,1870,,Czech Pilsener,12,0.05,28,60,4 Hands Brewing Company,Saint Louis,MO
51,2603,,American Pale Ale (APA),16,0.065,nan,27,450 North Brewing Company,Columbus,IN
52,11913.202194979776,Citrafest,Czech Pilsener,16,0.05,nan,27,450 North Brewing Company,Columbus,IN
53,2220,Barn Yeti,Belgian Strong Dark Ale,12,0.09,nan,27,,Columbus,IN
54,2219,Scarecrow,American IPA,16,0.075,65,27,450 North Brewing Company,Columbus,IN
55,2218,Ironman,American Double / Imperial IPA,16,0.09,50,27,,Columbus,IN
56,2217,@%@Honey Kolsch,Kölsch,12,0.046,49.324,27,450 North Brewing Company,Columbus,IN
57,2216,Copperhead Amber,Belgian Dark Ale,16,0.052,72.0783862462662,27,450 North Brewing Company,Columbus,IN
58,972,,American IPA,16,0.075,393.05766,481,7 Seas Brewing Company,Gig Harbor,WA
59,,Briti%sh Pale Ale (%2010),,12,0.05,30,481,7 Seas Brewing Company,Gig Harbor,W@@A
60,48,British Pale Ale,American Brown Ale,16,0.054,30,481,,Gig Harbor,WA
61,47,Ballz Deep Double IPA,American Double / Imperial IPA,12,0.084,82,,7 Seas @@Brewing Company,Gig Harbor,WA
62,1583,Wolfman's Berliner,American Pale Lager,12,0.038,nan,373,,Dunedin,FL
63,38,,American Amber / Red Lager,12,0.055,nan,462,AC Golden Brewing Company,Golden,CO
64,1948.195694756905,Colorado Native (2011),American Amber / Red Lager,12,0.055,26,462,AC Golden Brewing Company,Golden,CO#$
65,,Jockamo I#PA,American Pale Ale (APA),12,0.065,52,533,Abita Brewing Company,Abita Springs,LA
66,515,Purple Haz%e,,12,0.06,nan,533,Abita Brewing Company,Abita Springs,LA
67,1711.8393108049536,,American Amber / R??ed Lager,12,0.06,17,2833.3653416634925,,,
68,2540,,American IPA,16,0.075,,62,Golden Road Brewing,Louisville,CA
69,2539,,American IPA,16,0.05,nan,62,Against The Grain Brewery$,Louisville,
70,2686,Citra Ass Down,American Amber / Red Ale,16,0.08,09,1,Against the Grain Brewery,Louisville,KY
71,2685,London Balling,English Barleywine,16,0.125,305.03017,1,Against the Grain Brewery,Louisville,KY
72,9389.6340720443,35 K,Milk / Sweet Stout,16,0.077,25,1,Against the Grain Brewery,Louisville,KY
73,2683,A Beer,American Pale Ale (APA),16,0.042,42,1,Against the Grain Brewery,Louisville,KY
74,2682,Rules are Rules,German Pilsener,16,0.05,25,435,Against the Grain Br??ewery#,,KY
75,,Flesh Gourd'n,,12,0.066,21,4.259219931506917,#Against th#e Grain Brewery,Louisville,K@@$Y
76,2680,,Belgian Pale Ale,16,0.04,13,262,A#gainst th??e Grain Brewery,#Lou#isville,MI
77,2679,Bloody Show,American Pilsner,16,0.055,17,1,Against the Grain Brewery,Louisville,KY
78,2678,Rico Sauvin,American Double / Imperial IPA,12,,68,3.049630659478491,Against the Grain Brewe#ry,Louisville,KY
79,2677,Coq d%e la$ Marche,Saison / Farmhouse Ale,16,0.051,38,1,Against the Grain Brewery,Louisville,KY
80,2676,,American Wild Ale,12,0.065,nan,1,Against the Grain Brewery,Louisville,KY
81,,P??ile o??f Face,American IPA,16,0.06,65,1,Against the Grain Brewery,Louisville,KY
82,2674,The @??@Brown Note,Czech Pilsener,12,0.05,73.475,1,Against the Grain Brewery,Louisville,KY
83,1594,Maylani's Coconut Stout,,16,0.06,07,367,,Kent,WA
84,58,Oatmeal PSA,American Pale Ale (APA),16,0.05,35,367,Airways Brewing Company,Kent,WA
85,48,Pre Flight Pilsner,American Pilsner,16,0.06,nan,367,Airways Br??ewing Compan#y,Kent,WA
86,2403,P-Town Pilsner,American Pilsner,12,0.04,20,117,Alameda Brewing,Portland,OR
87,93,Klickitat Pale Ale,,12,0.06,36,117,,Portland,OR
88,2401,Yellow Wolf Imperial IPA,American Double / Imperial IPA,12,0.055,103,117,Alameda Brewing,Portland,OR
89,1921,Freeride$ APA,American Pale Ale (APA),12,0.053,40,270,Alaskan Brewing Company,Juneau,AK
90,1920,Alaskan Amber,Altbier,12,0.053,18,270,Alaskan Brewing Company,Juneau,AK
91,2501,Hopalicious,American Pale Ale (APA),12,0.057,nan,73,Ale @@Asylum,M??adi%son,WI
92,1535,Kentucky Kölsch,American IPA,16,0.055,nan,388,Alltech'#s Lexington Brewing Company,Lexington,KY
93,1149,Kentucky IPA,American IPA,16,0.065,,388,Golden Road Brewing,Lexington,KY
94,1474,Dusty Trai@@l Pale Ale,,12,0.06,nan,401,Amnesia Brewing Company,Washougal,WA
95,1473,Damnesia,American IPA,16,0.062,,401,Amnesia Brewing Company,Washougal,WA
96,837,Desol#atio??n IPA,American IPA,12,0.062,43,401,Amnesia Brewing Company,Washougal,WA
97,2592,Liberty Ale,American IPA,12,0.059,85,35,Anchor ??Brewing Company,Boonville,CA
98,,IPA,American IPA,12,0.065,85,35,Anchor Brewing Compa$ny,San Francisco,CA
99,2577,,American Pale Wheat Ale,12,0.045,nan,35,Anchor Brewing Company,San Francisco,CA
100,2103,Californi%a Lag%er,,12,0.049,nan,35,Anchor Brewing Company,San Francisco,CA??$
101,92,,Cal$ifornia Common / Steam Beer,12,0.056,nan,35,Anchor Brewing ??Company,$San Francisco,CA
102,,Blood Orange Gose,Gose,12,0.042,85,171,Anderson Valley Brewing Company,Boonville,CA
