ID,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
1,32190.65994498756,0,1720 university blvd,empty,empt#y,birmingham,al,35233.0,jefferson,11542725412.988909,nan,vol??untary non-profit - pri@@vate,yes,surgical infection prevention,0,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,nan,al_scip-card-2
2,0,callahan eye fou$ndation hospita@@l,1720 university blvd,empty,empty,birmingham,nan,35233.0,nan,nan,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,empty,empty,nan
3,10018.0,callahan eye fou$ndation hospita@@l,1720 university blvd,empty,empty,0,al,0,nan,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,su%rgical in%fection prevention,scip-inf-2,heart att#ack patients giv$en aspirin at discharge,empty,empty,al_scip-inf-2
4,0,callahan eye fou$ndation hospita@@l,1720 university blvd,empt?@@?y,empty,birmingham,al,145060.38273216985,nan,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,ami-8a,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),nan,empty,al_scip-inf-3
5,36914.75719828859,0,nan,empty$,empty,birmingham,al,nan,jefferson,nan,acute care hospit$als,voluntary non-profit - private,yes,surgical infection prevention,0,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,empty,al_scip-inf-4
6,0,callahan eye fou$ndation hospita@@l,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,8287498900.114905,acute care hospitals,nan,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),emp#t$y,empty,al_scip-inf-6
7,0,callahan eye fou$ndation hospita@@l,1720 uni$versity blvd,empty,empty,bir#mingham,al,35233.0,nan,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,nan,scip-vte-1,0,empty,empty,al_scip-vte-1
8,10018.0,callahan eye #foundat??ion hospital,1720 university blvd,empty,#e??mpty,birm%ingham,al,35233.0,jefferson,nan,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,empty,nan,al_scip-vte-2
9,44535.192972509576,0,1300 south montgomery avenue,empty,em$pty,sheffield,al,35660.0,jefferson,8834692135.014236,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-1,0,97%,33 patients,al_ami-1
10,37012.56485201725,hele@@$n keller memorial hospital,nan,empty,empty,shef%%field,al,177740.16159305398,nan,2563864556.0,acute care hospitals,government - hospital district or authority,yes,nan,ami-2,0,92%,13 patients,al_ami-2
11,0,st vi$ncents bl%ount,1300 south montgomery avenue,empty,empty,sheffield,al,35660.0,nan,2563864556.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75%,4 patients,al_ami-3
12,0,hele@@$n keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,nan,jefferson,2563864556.0,nan,government - hospital district or authority,yes,heart attack,0,heart attack patients given smoking cessation advice/counseling,100%,4 patients,al_ami-4
