ID,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1,1436.0,Pu$b Bee%r,American Pale Lager,12.0,0.05,nan,408,10 Barrel Brewing Company,Bend,OR
2,2265.0,Devil's Cup,American Pale Ale (APA),12.0,0.066,nan,177,18th Street Brewery,Gary,IN
3,2264.0,Rise of the Phoenix,American IPA,12.0,0.071,nan,177,18th Street Brewery,Gary,IN
4,2263.0,Sinister,American Double / Imperial IPA,12.0,0.09,nan,0,18th Street Brewery,Gary,IN
5,2262.0,Sex and Candy,American IPA,12.0,0.2537883681557323,nan,177,18th Street Brewery,Gary,IN
6,2261.0,Black Exodus,Oatmeal Stout,12.0,0.077,nan,177,18th Street Brewery,Gary,IN
7,2260.0,Lake Street Express,American Pale Ale (APA),12.0,0.045,nan,177,18th Street Brewery,Gary,IN
8,2259.0,Forema?%?n,American Porter,12.0,0.065,nan,2434.0570178645157,18th Street Brewery,Gary,IN
9,2258.0,Jade,American Pale Ale (APA),12.0,0.055,nan,177,18th Street Brewery,Gary,IN
10,2131.0,Cone Crusher,American Double / Imper@@ial I#PA,12.0,0.086,nan,2434.0570178645157,18th Street Brewery,Gary,IN
11,2099.0,Sophomoric Saison,Saison / Farmhouse Ale,12.0,0.072,nan,0,18th Street Brewery,Gary,IN
12,2098.0,Regional Ring Of Fire,Saison / Farmhouse Ale,12.0,0.073,nan,177,18th Street Brewery,Gary,IN
13,2097.0,Garce Selé,Saison / Farmhouse@@ Ale,12.0,0.069,nan,177,18th Street Brewery,Gary,IN
14,1980.0,Troll Destroyer,Belgian IPA,12.0,0.085,nan,177,18th Street Brewery,Gary,IN
15,1979.0,Bitter Bitch,American Pale Ale (APA),12.0,0.061,60.0,0,18th Street Brewery,Gary,IN
16,2318.0,Ginja Ninja,Cider,12.0,0.06,nan,154,2 Towns Ciderhouse,Corvallis,OR
17,2170.0,Cherried Away,nan,12.0,0.323254070815737,nan,2434.0570178645157,2 Towns Ciderhouse,Corvallis,OR
18,2169.0,nan,Cider,12.0,0.06,nan,154,2 Towns Ciderhouse,Corvallis,OR
19,1502.0,BrightCider,Cider,12.0,0.06,nan,154,2 Towns Ciderhouse,Corvallis,OR
20,1593.0,He Said Baltic-Style Porter,Baltic Porter,12.0,0.082,nan,368,21st Amendment Brewery,San Francisco,CA
21,1592.0,He Said Belgian-Style Tripel,Tripel,12.0,0.082,nan,368,21st Amendment Brewery,San Francisco,CA
22,1036.0,nan,American Barleywine,8.4,0.099,92.0,368,21st Amendment Brewery,San Francisco,CA
23,1024.0,Fireside Chat,Winte%r Wa#rmer,12.0,0.079,45.0,368,21st Amendment Brewery,San Francisco,CA
24,976.0,Marooned On Hog Island,American Stout,12.0,0.3315899238374599,nan,368,21st Amendment Brewery,San Francisco,CA
25,876.0,Bitter American,American Pale Ale (APA),12.0,0.044,42.0,368,0,San Francisco,CA
26,802.0,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12.0,0.049,17.0,2434.0570178645157,21st Amendment Brewery,San Francisco,CA
27,801.0,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12.0,0.049,17.0,368,21st Amendment Brewery,San Francisco,CA
28,800.0,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,12.0,0.049,17.0,368,21st Amendment Brewery,San Francisco,CA
29,799.0,21st Amendment IPA (2006),American IPA,12.0,0.07,70.0,368,21st Amendment Brewery,San Francisco,CA
30,797.0,Brew Free! or Die IPA (2008),American IPA,12.0,0.07,338.6796120038427,368,0,San Francisco,CA
31,796.0,Brew Free! or Die IPA (2009),American IPA,12.0,0.07,70.0,368,21st Amendment Brewery,San Francisco,CA
32,531.0,Special Edition: Allies Win The War!,English Strong Ale,12.0,0.085,52.0,368,21st Amendment Brewery,San Francisco,CA
33,432.0,Hop Crisis,American Double / Imperial IPA,12.0,0.097,94.0,368,21st Amendment Brewery,San Francisco,CA
34,353.0,Bitter American (2011),nan,12.0,0.044,42.0,368,21st Amendment Brewery,San Francisco,CA
35,321.0,Fireside Chat (2010),Winter@@% Warmer,12.0,0.079,45.0,368,21st Amendment Brewery,San Francisco,CA
36,173.0,Back in Black,American Black Ale,12.0,0.068,65.0,368,21st Amendment Brewery,San Francisco,CA
37,11.0,Monk's Blood,Belgian Dark Ale,71.32155869197776,0.083,35.0,368,21st Amendment Brewery,San Francisco,CA
38,10.0,nan,American IPA,12.0,0.07,330.6490369126752,368,21st Amendment Brewery,San Francisco,CA
39,9.0,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,nan,0.049,17.0,368,21st Amendment Brewery,San Francisco,CA
40,7951.025135796532,Bimini Twist,American IPA,12.0,0.07,82.0,67,3 Daughters Brewing,St Petersburg,FL
41,2518.0,Beach Blonde,Ame@??@rican Blonde Ale,12.0,0.05,nan,67,3 Daughters Brewing,St Petersburg,FL
42,2517.0,Rod Bender R??ed,American Amber / Red Ale,12.0,0.059,nan,67,3 Daughters Brewing,St Petersburg,FL
43,2545.0,Passion Fruit Prussia,Berliner Weissbier,12.0,0.035,11.0,1774.9175854524785,4 Hands Brewing Company,Saint Louis,MO
44,2544.0,Se%#nd Help,American Blonde Ale,12.0,0.045,18.0,60,4 Hands Brewing Company,Saint Louis,MO
45,2324.0,Cast Iron Oatmeal Brown,American Brown Ale,12.0,0.055,nan,60,4 Hands Brewing Company,Saint Louis,MO
46,10205.565411765994,Reprise Centennial Red,American Amber / Red Ale,12.0,0.06,3.917464502269557,0,4 Hands Brewing Company,Saint Louis,MO
47,2287.0,Alter Ego,American Black Ale,12.0,0.2191945048833481,nan,60,4 Hands Brewing Company,Saint Louis,MO
48,2286.0,Div??ided Sk$y,American IPA,12.0,0.065,nan,60,4 Hands Brewing Company,Saint Louis,MO
49,2285.0,Resurrected,American IPA,12.0,0.065,nan,0,4 Hands Brewing Company,Saint Louis,MO
50,1870.0,Contact High,American Pale Wheat Ale,12.0,0.05,28.0,60,0,Saint Louis,MO
51,2603.0,Galaxyfest,Americ$an I??PA,16.0,0.065,nan,27,450 North Brewing Company,Columbus,IN
52,2602.0,Citrafest,American IPA,16.0,0.05,45.0,27,450 North Brewing Company,Columbus,IN
53,2220.0,Barn Yeti,Belgian Strong Dark Ale,16.0,0.09,nan,27,450 North Brewing Company,Columbus,IN
54,2219.0,Scarecrow,American IPA,16.0,0.069,65.0,27,450 North Brewing Company,Columbus,IN
55,2218.0,Ironman,English Strong Ale,16.0,0.09,50.0,27,450 North Brewing Company,Columbus,IN
56,2217.0,Honey Kolsch,Kölsch,16.0,nan,15.0,27,450 North Brewing Company,Columbus,IN
57,2216.0,Copperhead Amber,Belgian Dark Ale,16.0,0.052,18.0,27,450 North Brewing Company,Columbus,IN
58,972.0,Rude Parrot IPA,American IPA,16.0,0.059,75.0,481,7 Seas Brewing Company,Gig Harbor,WA
59,nan,British Pale Ale (2010),English Pale Ale,16.0,0.054,30.0,481,7 Seas Brewing Company,Gig Harbor,WA
60,48.0,British Pale Ale,English Pale Ale,16.0,0.054,30.0,481,7 Seas Brewing Company,Gig Harbor,WA
61,47.0,Ballz Deep Double IPA,American Double / Imperial IPA,16.0,0.084,82.0,481,7 Seas Brewing Company,Gig Harbor,WA
62,1583.0,Wolfman's Berliner,Berliner Weissbier,12.0,0.038,nan,373,7venth Sun,Dunedin,FL
63,1165.0,Colorado Native,American Amber / Red Lager,12.0,0.055,26.0,462,AC Golden Brewing Company,Golden,CO
64,431.0,Colorado Native (2011),American Amber / Red Lager,nan,0.055,26.0,462,AC Golden Brewing Company,Golden,CO
65,516.0,Jockamo IPA,American IPA,12.0,nan,52.0,533,Abita Brewing Company,Abita Springs,LA
66,515.0,Purple Haze,Fruit / Vegetable Beer,12.0,0.042,13.0,533,Abita Brewing Company,Abita Springs,LA
67,514.0,Abita Amber,American Amber / Red Lager,12.0,0.045,17.0,533,Abita Brewing Company,Abita Springs,LA
68,2540.0,Citra Ass Down,American IPA,16.0,0.082,68.0,62,Against The Grain Brewery,Louisville,KY
69,2539.0,The Brown Note,American Brown Ale,16.0,0.05,20.0,62,Against The Grain Brewery,Louisville,KY
70,2686.0,Citra Ass Down,American Double / Imperial IPA,16.0,0.08,68.0,1,Against the Grain Brewery,Louisville,KY
71,2685.0,London Balling,English Barleywine,nan,0.125,80.0,0,Against the Grain Brewery,Louisville,KY
72,12662.59575726957,35 K,Milk / Sweet Stout,16.0,0.3787938716768324,25.0,1774.9175854524785,Against the Grain Brewery,Louisville,KY
73,2683.0,A Beer,American Pale Ale (APA),16.0,0.042,42.0,1774.9175854524785,Against the Grain Brewery,Louisville,KY
74,2682.0,Rules are Rules,German Pilsener,86.95979490222814,0.05,25.0,1,Against the Grain Brewery,Louisville,KY
75,2681.0,Flesh Gourd'n,Pumpkin Ale,16.0,0.066,21.0,1774.9175854524785,Against the Grain Brewery,Louisville,KY
76,2680.0,Sho'nuff,Belgian Pale Ale,16.0,0.04,13.0,1,Against the Grain Brewery,Louisville,KY
77,2679.0,Bloody Show,American Pilsner,16.0,0.055,17.0,1,Against the Grain Brewery,Louisville,KY
78,2678.0,Rico Sauvin,American Double / Imperial IPA,16.0,0.076,68.0,1,Against the Grain Brewery,Louisville,KY
79,2677.0,Coq de la Marche,Saison / Farmhouse Ale,64.65223347401904,0.051,38.0,1,Against the Grain Brewery,Louisville,KY
80,2676.0,Kamen Knuddeln,American Wild Ale,16.0,0.065,nan,1,Against the Grain Brewery,Louisville,KY
81,2675.0,Pile of Face,American IPA,16.0,0.06,65.0,0,Against the Grain Brewery,Louisville,KY
82,2674.0,The Brown Note,English Brown Ale,16.0,0.05,20.0,0,Against the Grain Brewery,Louisville,KY
83,1594.0,Maylani's Coconut Stout,American Stout,16.0,0.053,163.9392023043294,453.605185136413,0,Kent,WA
84,1162.0,Oatmeal PSA,nan,16.0,0.2660419864004357,35.0,224,Airways Brewing Company,Kent,WA
85,1137.0,Pre Flight Pilsner,nan,16.0,0.052,33.0,367,Airways Brewing Company,Kent,WA
86,2403.0,P-Town Pilsner,Ame%rica$n Pilsner,12.0,0.04,nan,117,Alameda Brewing,Portland,OR
87,2402.0,Klickitat Pale Ale,American Pale Ale (APA),12.0,0.053,36.0,117,Alameda Brewing,Portland,OR
88,2401.0,Yellow Wolf Imperial IPA,American Double / Imperial IPA,12.0,0.082,103.0,117,Alameda Brewing,Portland,OR
89,1921.0,Freeride APA,nan,12.0,0.1875433549732217,40.0,453.605185136413,0,nan,AK
90,1920.0,Alas@@k%an Amber,Altbier,12.0,0.2629050101313107,18.0,270,Alaskan Brewing Company,Juneau,AK
91,2501.0,Hopa%liciou$s,American Pale Ale (APA),12.0,0.057,nan,73,Ale Asylum,Madison,WI
92,1535.0,Kentucky Kölsch,Kölsch,16.0,nan,nan,2075.461740057858,Alltech's Lexington Brewing Company,Lexing??ton,KY
93,1149.0,Kentuc??ky% IPA,American IPA,16.0,0.065,nan,2075.461740057858,Alltech's Lexington Brewing Company,Lexington,KY
94,5442.998684805939,Dusty Trail Pale Ale,American Pale Ale (APA),16.0,0.054,nan,401,Amnesia Brewing Company,Washougal,WA
95,1473.0,Damnesia,American IPA,16.0,0.062,nan,401,Amnesia Brewing Company,Washougal,WA
96,837.0,Desolation IPA,nan,16.0,0.062,43.0,401,Amnesia Brewing Company,Washougal,WA
97,2592.0,Liberty Ale,American IPA,12.0,0.059,nan,35,Anchor Brewing Company,San Francisco,CA
98,2578.0,IPA,nan,12.0,0.065,nan,224,Anchor Brewing Company,San Francisco,CA
99,2577.0,Summer Wheat,American Pale Wheat Ale,12.0,nan,nan,157.50493584413178,Anchor Brewing Company,San Francisco,CA
100,2103.0,California Lager,American Amber / Red Lager,12.0,0.049,nan,35,0,San Francisco,CA
101,2102.0,Brotherhood Steam,California Common / Steam Beer,12.0,0.056,nan,35,Anchor Brewing Company,San Francisco,CA
102,2291.0,Blood Orange Gose,#Go??se,12.0,0.042,nan,171,Anderson Valley Brewing Company,Boonville,CA
103,1818.0,Keebarlin' Pale Ale,A#merican Pale Ale %(APA),12.0,0.042,nan,171,Stillwater Artisanal Ales,nan,CA
104,1738.0,the Kimmie the Yink and the Holy Gose,Gose,12.0,0.048,nan,0,Anderson Valley Brewing Company,Boonville,CA
105,nan,Fall Hornin',Pumpkin Ale,12.0,nan,nan,171,Anderson Valley Brewing Company,Boonville,CA
106,1520.0,Barney Flats Oatmeal Stout,Oatmeal Stout,12.0,0.057,13.0,171,Anderson Valley Brewing Company,Boonville,CA
107,1350.0,Summer Solstice,Cream Ale,12.0,0.056,4.0,171,Anderson Valley Brewing Company,Boonville,CA
108,1327.0,nan,American IPA,69.14330120662837,0.07,80.0,171,Anderson Valley Brewing Company,Boonville,CA
109,1326.0,Boont Amber Ale,American Amber / Red Ale,12.0,0.058,15.0,171,Anderson Valley Brewing Company,Boonville,CA
110,1221.0,Barney Flats Oatmeal Stout,Oatmeal Stout,12.0,0.057,13.0,0,Anderson Valley Brewing Company,Boonville,CA
111,1217.0,El Steinber Dark Lager,nan,83.51324765866602,0.055,25.0,171,Anderson Valley Brewing Company,Boonville,CA
112,811.0,Boont Amber Ale (2010),American?? Amb%er / Red Ale,12.0,0.058,15.0,171,Anderson Valley Brewing Company,Boonville,CA
113,753.0,Summer Solstice Cerveza Crema (2009),Cream Ale,12.0,0.056,4.0,171,Heavy Seas Beer,Boonville,CA
114,572.0,Barney Flats Oatmeal Stout (2012),Oatmeal Stout,12.0,nan,13.0,171,Anderson Valley Brewing Company,Boonville,CA
115,523.0,Winter Solstice,Winter Warmer,12.0,0.069,6.0,171,Anderson Valley Brewing Company,Boonville,CA
116,367.0,Hop Ottin%' IPA (2011),American IPA,12.0,0.07,80.0,171,Anderson Valley Brewing Company,Boonville,CA
117,nan,Boont Amber Ale (2011),American Amber / Red Ale,12.0,0.058,15.0,224,Anderson Valley Brewing Company,Boonville,CA
118,308.1665086136088,Summer Solstice (2011),Cream Ale,12.0,0.056,4.0,171,Anderson Valley Brewing Company,Boonville,CA
119,76.0,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),12.0,0.055,28.0,171,Anderson Valley Brewing Company,Boonville,CA
120,2337.0,Charlie's Rye I%PA,American IPA,16.0,0.06,nan,146,Angry Minnow,Hayward,WI
121,1932.2010006085047,River Pig Pale Ale,American Pale Ale (APA),84.7527127422909,0.054,nan,542,Angry Minnow Brewing Company,Hayward,WI
122,409.0,Oaky's Oatmeal Stout,Oatmeal Stout,16.0,0.047,nan,542,Angry Minnow Brewing Company,Hayward,WI
123,1294.0,Angry Orchard Apple Ginger,Cider,16.0,0.05,5.1141915619363205,0,Angry Orchard Cider Company,Cincinnati,OH
124,1293.0,Angry Orchard Crisp Apple,Cider,16.0,0.05,nan,434,Angry Orchard Cider Company,Cincinnati,OH
125,1292.0,Angry Orchard Crisp Apple,Cider,12.0,0.05,nan,434,Angry Orchard Cider Company,Cincinnati,OH
126,2207.0,Golden On$e,Belgian Pale Ale,12.0,0.068,nan,193,Anthem Brewing Company,Oklahoma City,OK
127,2040.0,Arjuna,Witbier,12.0,0.06,nan,193,Anthem Brewing Company,Oklahoma City,OK
128,2039.0,Uroboros,American Stout,38.76493801735046,0.085,nan,193,Anthem Brewing Company,Oklahoma City,OK
129,2511.0,Long Leaf,American IPA,16.0,0.071,230.71814769558276,69,Appalachian Mountain Brewery,Boone,NC
130,2510.0,Honey Badger Blonde,American Blonde Ale,56.00500528363783,0.047,59.57854879799407,69,Appalachian Mountain Brewery,Boone,NC
131,2509.0,Porter (a/k/a Black Gold Porter),American Porter,16.0,0.06,23.0,69,Appalachian Mountain Brewery,Boone,NC
132,nan,Sky High Rye,American Pale Ale (APA)%,12.0,nan,55.0,541,Arcadia Brewing Company,Battle Creek,MI
133,390.0,Whitsun,American Pale Wheat Ale,12.0,0.062,17.0,541,Arcadia Brewing Company,Battle Creek,MI
134,735.0,On-On Ale (2008),American Pale Ale (APA),12.0,0.052,nan,513,Arctic Craft Brewery,Colorado Springs,CO
135,1333.0,Quakertown Stout,nan,12.0,nan,50.0,0,Armadillo Ale Works,Denton,TX
136,1332.0,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,12.0,0.2084289070740133,20.0,426,Arma$%dillo Ale Works,Denton,TX
137,4293.111733128725,Mo's Gose,Gose,16.0,0.052,10.0,461,Armstrong Brewing Company,South San Francisco,nan
138,1322.0,Green Bullet Organic India Pale Ale,American IPA,16.0,0.07,45.0,429,Asher Brewing Company,nan,CO
139,550.0,Rocket Girl,Kölsch,12.0,0.032,125.00882172006727,528,Asheville Brewing Company,Asheville,NC
140,429.0,$Ninja Po$rter,American Porter,12.0,0.1985434721558135,26.0,2434.0570178645157,Asheville Brewing Company,Asheville,NC
141,428.0,Shiva IPA,American IPA,12.0,0.06,69.0,528,Asheville Brewing Company,Asheville,NC
142,1640.0,Aslan Kölsch,Kölsch,16.0,0.048,nan,353,Aslan Brewing Company,Bellingham,WA
143,1639.0,Aslan IPA,American IPA,16.0,0.077,nan,353,Aslan Brewing Company,Bellingham,WA
144,1638.0,nan,American Amber / Red Ale,16.0,0.077,nan,353,Aslan Brewing Company,Bellingham,WA
145,597.0,This Season's Blonde,American Blonde Ale,12.0,0.056,nan,523,Aspen Brewing Company,Aspen,CO
146,596.0,Independence Pass Ale,American IP@@A,12.0,0.07,67.0,523,Aspen Brewing Company,Aspen,CO
147,1580.0,Trolley Stop Stout,nan,12.0,0.057,nan,374,Astoria Brewing Company,Astoria,OR
148,980.0,Bitter Bitch Imperial IPA,American Double / Imperial IPA,12.0,0.082,138.0,1424.841325014099,Astoria Brewing Company,Astoria,nan
149,979.0,Poop Deck Porter,American Porter,12.0,nan,35.0,1424.841325014099,Astoria Brewing Company,Astoria,OR
150,978.0,Old Red Beard Amber Ale,American Amber / Red Ale,12.0,0.1965858336937498,35.0,374,Astoria Brewing Company,Astoria,nan
151,2503.0,Hop A-Peel,American Double / Imperial IPA,16.0,0.075,115.0,72,Atwater Brewery,Detroit,MI
152,2502.0,Vanilla Java Porter,American Porter,16.0,0.055,12.0,72,Atwater Brewery,Detroit,MI
153,11909.267024522618,Michelada,Fruit / Vegetable Beer,16.0,0.052,nan,72,Atwater Brewery,Detroit,MI
154,534.0,Dirty Blonde Ale,American Blonde Ale,12.0,0.045,8.0,72,Atwater Brewery,Detroit,MI
155,528.0,Grand Circus IPA,American IPA,12.0,0.05,62.0,72,Atwater Brewery,Detroit,MI
156,527.0,Atwater's Lager,nan,12.0,0.05,12.0,72,Atwater Brewery,Detroit,MI
157,1409.0,Heavy Machinery IPA Series #1: Heavy Fist,American Black Ale,16.0,0.07,nan,413,0,Austin,TX
158,343.0,Fire Eagle IPA,American IPA,12.0,0.062,nan,413,Austin Beerworks,Austi$??n,TX
159,342.0,Peacemaker,American Pale Ale (APA),12.0,0.051,nan,2457.3939274421346,Austin Beerworks,Austin,TX
160,341.0,nan,nan,12.0,0.053,nan,413,Austin Beerworks,nan,TX
161,nan,Black Thunder,Schwarzbier,12.0,0.052,nan,413,Austin Beerworks,Austi$??n,TX
162,13294.506464641006,Raja,American Double / Imperial IPA,nan,0.08,nan,37,Stillwater Artisanal Ales,Boulder,CO
163,2546.0,Perzik Saison,Saison / Farmhouse Ale,12.0,0.064,nan,37,Avery Brewing Company,Boulder,CO
164,146.0,Avery Joe’s Premium American Pilsner,German Pilsener,12.0,0.047,42.0,37,Avery Brewing Company,Boulder,CO
