ID,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1,aa,0,4:55 p.m.,5:08 p.m.,0,7:55 p.m.
2,airtravelc@@enter,0,11:08 p.m.,nan,0,7:55 p.m.
3,allegiantair,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
4,boston,0,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
5,nan,0,4:55 p.m.,5:08 p.m.,8:05 p.m.,4:23 p.m.
6,flightaware,0,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
7,f??lig??htexplorer,0,11:08 p.m.,nan,8:05 p.m.,7:55 p.m.
8,flights,@@AA-1007-MIA%-PHX,4:55 p.m.,5:08 p.m.,8:0??@@5 p.m.,7:55 p.m.
9,flightstats,AA-1007#-MIA-P??HX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
10,flightview,0,4:55 p.m.,5:08 p.m.,0,7:55 p.m.
11,flylouisville,0,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
12,flytecomm,0,4:55 p.m.,5:08 p.m.,8:05 p.m.,4:23 p.m.
13,foxbusiness,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
14,gofox,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
15,??helloflight,0,4:55 p.m.,5:08 p.m.,8:05 p.m.,4:23 p.m.
16,nan,AA-1007$-MIA-PHX,4:55 p.m.,nan,8:05 p.m.,7:55 p.m.
17,nan,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
18,nan,0,4:55 p.m.,5:08 p.m.,0,7:55 p.m.
19,$pany@@nj,0,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
20,quicktrip,0,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
21,wunderground,0,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
22,aa,0,6:59 a.m.,7:22 a.m.,10:34% a.m.,nan
23,airtravelcenter,0,6:59 a.m.,7:22 a.m.,10$:34 a.#m.,10:04 a.m.
24,nan,0,6:59 a.m.,7:22 a.m.,0,10:04 a.m.
25,boston,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
26,businesstravellogue,AA-#1165-JFK-MIA,nan,7:22 a.m.,10:34 a.m.,10:04 a.m.
27,flightaware,AA-1%165-JFK#-MIA,6:$59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
28,flightexplorer,AA-1165-JFK-@@MI$A,6:59 $a.m.,%7:22 a.m.,0,10:04 a.m.
29,flights,0,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
30,nan,0,11:08 p.m.,nan,10:%34 a.m.,10:04 %@@a.m.
31,f#lightview$,0,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
32,flylouisville,0,6:59 a.m.,7:22 a.m.,0,10:04 a.m.
33,flytecomm,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
34,foxbusiness,AA-1165-JFK-MI$A,6:59 a.m.,nan,10:34 a.m.,10:04 a.m.
35,gofox,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,0,10:04 a.m.
36,helloflight,0,6:59 a.m.,7:22 a.m.,0,10:04 a.m.
37,m??#ia,0,11:08 p.m.,nan,0,nan
38,my@@rateplan,0,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
39,mytripandmore,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,0,10:04 a.m.
40,orbitz,AA-1165-JFK-M@@IA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
41,panynj,0,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
42,quicktrip,0,6:59 a.m.,7:22 a.m.,10:34% a.m.,nan
43,nan,0,6:59 a.m.,7:22 a.m.,10:34% a.m.,10#:04 @@a.m.
44,weather,0,6:59 $a.m.,nan,nan,nan
45,nan,0,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
46,wunderground,0,11:08 p.m.,nan,nan,nan
47,aa,0,8:00 p.m.,8:23 p.m.,0,9:53 p.m.
48,airtravelcenter,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
49,allegiantair,0,11:08 p.m.,7:22 a.m.,0,3:30 p.m.
50,bos#ton,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
51,bus??inesstravellogue,0,8:00 p.m.,8:23 p.m.,9:45 p.m.,nan
52,flightarrival,0,11:08 p.m.,nan,9:45 p.m.,9:53 p.m.
53,nan,0,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
54,flightexplorer,0,8:00 p.m.,nan,9:45 p.m.,9:53 p.m.
55,flights,0,8:00 p.m.,8:23 p.m.,0,9:53 p.m.
56,flightstats,0,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
57,flightview,0,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
58,flylouisville,0,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
59,nan,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
60,foxbusiness,AA-1221-M$CO@@-ORD,8:00 p.m.,8:23 p.m.,0,nan
61,g@@ofox,0,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
62,helloflight,0,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
63,mco,0,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
64,myrateplan,0,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
65,mytripandmore,0,8:20 p.m.,nan,9:45 p.m.,9:53 p.m.
66,orbitz,A#A-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 %p.m.??,9:53 p.m.
67,ord??,AA-1221-%MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
68,%$panynj,0,8:00 p.m.,7:22 a.m.,9:45 p.m.,nan
69,quicktrip,0,11:08 p.m.,nan,%9:$45 p.m.,9:53 p.m.
70,trave$locity,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
71,%usato$day,AA-1221-M??CO-ORD,8:00 p.m.,8:23 @@p.m.$,0,9:53 p.m.
72,weather,0,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
73,@@@@world-flight-tracker,0,11:08 p.m.,nan,9:45 p.m.,9:53 p.m.
74,wunderground,0,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
75,nan,0,1:00 p.m.,2:04 p.m.,2:3%5 p.m.,3:13 p.m.
76,airtravelcenter,0,11:08 p.m.,nan,0,3:13 p.m.
77,allegiantair,0,1:00 p.m.,2:04 p.m.,2:3%5 p.m.,3:30 p.m.
78,boston,0,1:00 p.m.,2:04 p.m.,2:3%5 p.m.,3:13 p.m.
79,businesstrav%el#logue,0,1:00 p.m.,2:04 p.m.,2:3%5 p.m.,3:30 p.m.
80,dfw,0,1:00 p.m.,2:04 p.m.,2:3%5 p.m.,3:13 p.m.
81,flightarrival,AA-127??9-DFW??-PHX,1:00 p.m.,2:04 p.m.,0,3:13 p.m.
82,flightaware,0,1:00 p.m.,2:04 p.m.,2:3%5 p.m.,3:13 p.m.
83,flightexplorer,0,11:08 p.m.,nan,nan,3:13 p.m.
84,nan,0,1:00 p.m.,2:04 p.m.,2:35 p.m%.,3:3??0 p.m.$
85,flightstats,0,1:00 p.m.,2:04 p.m.,2:3%5 p.m.,3:13 p.m.
86,flightview,0,11:08 p.m.,nan,2:35 p.m$.,3:30 p.m.
87,nan,0,11:08 p.m.,nan,2:3#5 #p.m.,3:30 p@@.m.@@
88,nan,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:3%5 p.m.,3:13 p.m.
89,f%??oxbusiness,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:3%5 p.m.,3:13 p.m.
90,gof??ox,AA-1279-D??%FW-PHX,nan,nan,0,3:13 p.m.
91,nan,0,11:08 p.m.,nan,0,nan
92,myrateplan,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:3%5 p.m.,3:13 p.m.
93,orbitz,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:3%5 p.m.,3:13 p.m.
94,panynj,0,11:08 p.m.,nan,nan,3:13 p.m.
95,quicktrip,AA-1279-DFW-PHX%,1:00 p.m.,2:04 p.m.,0,3:13 p.m.
96,travelocity,0,11:08 p.m.,nan,nan,3:13 p.m.
97,weather,0,1:00 p.m.,2:04 p.m.,0,3:30 p.m.
98,world-flight-tracker,0,1:00 p.m.,nan,0,nan
99,wunderground,0,1:00 p.m.,2:04 p.m.,2:3%5 p.m.,3:13 p.m.
100,aa,0,7:15 a.m.,7:21 a.m.,10%:35 a.m.,10:36 a.m.
