ID,id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
1,235295.0,Late repair of injuries of the anal sphincter,eng,Proc R Soc Med,Proceedings of the Royal Society of Medicine,0035-9157 (Print) 0035-9157,284.43048909007365,12.0,1/1/71,1187-9,{A. G. ParksJ. F. McPartlin}
2,498345.0,Ebola Virus GP Gene Polyadenylation Versus RNA Editing.,ENG,The Journal of infectious diseas%es,J. Infect. Dis.,nan,-1.0,-3.1733787608397286,2/15/04,nan,{Valentina A VolchkovaJaroslav VoracPhilip LawrenceLaurie Repiquet-PaireViktor E Volchkov}
3,789958.0,Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,0,nan,Indian J Ophthalmol,0,54.0,4.0,1/6/12,28#3-4,{Jitendra JethaniShashikant ShettySucheta ParijaP Vijayalakshmi}
4,169865.0,[Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA],0,nan,nan,0,84.0,0.0,0,714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA]-,{G. JakielK. GorzelnikJ. G. ZimowskiT. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 RoszkowskiJ. Bijok}
5,803653.0,Diagnosis and Manage$ment of Cutaneous B-cell Lymphoma.,eng,Dermatologic clinics,Dermatol Clin,1558-0520,nan,4.0,1/15/10,835-40,nan
6,98234.0,Pregabalin celecoxib and their combination for treatment of chronic low-back pain,nan,nan,Planta,nan,0,0,0,nan,{C. L. RomanoG. MineoC. BonoraD. Romano}
7,823730.0,Activation and blockade of beta adrenoceptors in common cardiac disorders,eng,Br Med Bull,@@British %medical bulletin,0007??#-1420,29.0,2.0,1/1/73,163-7,{B N PrichardJ W Black}
8,729712.0,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,English; ABSTRACT LANGUAGE:English,American journal of respiratory and critical care medicine,nan,5.82770455396929,nan,1.0,1/1/07,43-49,{St_ber FMutz NWrigge HPutensen CZinserling JZech SVon Spiegel T}
9,nan,nan,English,Clinical Neuropsychologist,5.419537528091443,1385-4046,25.0,41.19877801203582,0,1158-78,nan
10,nan,A comparative evaluation of two head and neck immobilization devices using electronic portal imaging,nan,nan,Co%llege Teaching,nan,nan,938.0,0,158-61,{K. FlemingK. DonatoK. Leszczynski}
11,184417.0,Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects,English,nan,Env%iron Monit As??sess,nan,nan,5.0,0,#317-325,{J. L. LiP. Newcomb}
12,729686.0,nan,nan,International journal of clinical and experimental medicine,Stroke,1940-5@@901,8.0,6.0,0,10213-10224,{Yang MLi JLi YZhou MYang HShi XLi XYuan H}
13,278396.0,Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection,0,Acta Obstet Gynecol Scand,Acta obstetricia et gynecologica Scandinavica,nan,92.0,6.0,0,711-5,{T. S. MikkolaS. VuorentoO. YlikorkalaM. Vaisanen-TommiskaP. Rahkola-Soisalo}
14,0,nan,nan,0,nan,nan,8.0,5.0,0,S40,{C. Hamilton-CraigS. BartolettiM. CasellaF. PernaM. L. NarducciP. SantangeliF. PintusA. NataleA. Dello RussoG. PelargonioG. BencardinoJ. D. BurkhardtF. BellocciL. Di Biase}
15,53321.0,Monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of proximal humeral fractures,eng,nan,nan,nan,35.0,8.0,@@1/11/01,1??245-50#,{T. ToppC. KuhneS. RuchholtzU. LewanA. KrugerT. MullerR. Zettl}
16,13601.0,Latex allergy in atopic children.,eng,British Journal of Dermatology. ,nan,0007-0963,140.0,5.0,5/1/99,nan,{R S LeverS A Hol??me@@}
17,2338532.83557431,A randomized controlled trial of Tai chi for balance sleep quality and cognitive performance in elderly Vietnamese.,0,Clinical Interventions In Aging,nan,1178-1998,nan,-1.0,0,185-90,{Andreas KruseManh Hung Nguyen}
18,282987.0,nan,eng??,Cochrane Database Syst@@ %Rev,Lancet,1@@$469-493X,0.0,4.0,0,nan,{J. H. LittellM. PopaB. Forsythe}
19,478292.0,Haemodynamic ischaemia in paediatric moyamoya disease associated with renovascular hypertension.,eng,Acta Neurochiru@@rgica,0,Jan-68,139.0,3.0,0,257-8,{Y TakagiN HashimotoY Goto}
20,43736.0,Effect of pedaling technique on mechanical effectiveness and efficiency in cyclists.,eng,nan,Med Sci Sports Exerc,0195-9131,39.0,18.926358611809125,1/7/06,991-5,nan
21,82614.0,Lycopene metabolite apo-10'-lycopenoic acid inhibits diethylnitrosamine-initiated high fat diet-promoted hepatic inflammation and tumorigenesis in mice.,0,nan,nan,1940-6215,27.43525551832364,12.0,0,1304-16,nan
22,nan,A performance improvement process to tackle tachysystole,3.8262803374937313,nan,nan,0,0,0,0,512-9 ST  - A performance improvement process to tackle tachysystole-,{V. E. CN  - medline DA  - Sep-Oct DB  - MEDLINE DO  - http://dx.doi.org/10.1111/j.1552-6909.2011.01275.x DP  - Ovid Technologies von GruenigenA. M. BurkettJ. DoyleT. H. Kenny}
23,514411.0,Osteoid osteoma treated by percutaneous thermal ablation: when do we fail? A systematic review and guidelines for future reporting.,eng,Cardiovascular and interventional radiology,nan,1432-086X,nan,28.877090034784395,0,1530-9,{Luca Maria SconfienzaEzio LanzaGianpaolo CornalbaDario PorettiCatherine CytevalPierre VialaFrancesco SardanelliYann Thouvenin}
24,nan,Effects of chemotherapy in AIDS-associated non-Hodgkin's lymphoma on Kaposi's sarcoma herpesvirus DNA in blood.,e@$@ng,nan,0,1527-7755,nan,15.0,5/20/09,2496-502,nan
