ID,id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
1,235295.0,Late repair of injuries of the anal sphincter,3.0325311317626413,nan,nan,nan,315.26996035076934,12.0,1/1/71,nan,{A. G. Parks??J. F. McPartlin}
2,498345.0,Ebola Virus GP Gene Polyadenylation Versus RNA Editing.,3.0325311317626413,nan,nan,nan,nan,-1.0,2/15/04,4.236206949837142,{Valentina A VolchkovaJaroslav VoracPhilip LawrenceLaurie Repiquet-PaireViktor E Volchkov}
3,789958.0,Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,3.0325311317626413,nan,nan,nan,54.0,20.45165429222233,1/6/12,nan,{Jitendra JethaniShashikant ShettySucheta ParijaP Vijayalakshmi}
4,609678.537670912,[Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA],nan,4.410317581922379,nan,nan,84.0,0.0,1/13/01,nan,{G. JakielK. GorzelnikJ. G. ZimowskiT. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 RoszkowskiJ. Bijok}
5,803653.0,Diagnosis and Management of Cutaneous B-cell Lymphoma.,3.0325311317626413,3.302132228186795,nan,nan,33.0,21.7531560585564,$1/15/10,nan,{Lauren C Pinter-Brown}
6,98234.0,Pregabalin celecoxib and their combination for treatment of chronic low-back pain,nan,nan,5.498232911123253,nan,10.0,4.0,1/9/01,nan,{C. L. RomanoG. MineoC. BonoraD. Romano}
7,823730.0,Activation and blockade of beta adrenoceptors in common ca%rdiac% disorders,3.0325311317626413,3.302132228186795,nan,nan,29.0,2.0,1/1/7%3,nan,nan
8,729712.0,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,nan,nan,nan,5.668226290071857,164.0,4.905639931831602,1/1/07,nan,{St??_ber FMutz NWrigge HPutensen CZinserling JZech SV??on Spiegel T}
9,396821.0,Awareness of deficits and on-road driving performance,nan,nan,nan,nan,25.0,7.0,1/11/01,nan,{L. J. RapportJ. A. GriffenL. A. BieliauskasC. BurtR. C. Bryer}
10,340222.0,A comparative evaluation of two head and neck immobiliza@%@tion devices using electronic portal imaging,nan,nan,4.643944308374545,3.7792541430215305,79.0,938.0,1/6/01,nan,{K. FlemingK. DonatoK. Leszczynski}
11,1094347.1510235318,nan,nan,nan,nan,nan,nan,5.0,1/9/01,nan,{$J. @@L. LiP. Newcomb}
12,3941211.7951735132,Local anaesthetic wound infiltration used for ca@@esarean %section pain relief: a     meta-analysis,nan,nan,nan,nan,36.43184696143661,6.0,1/15/01,nan,{Yang MLi JLi YZhou MYang HS#hi XLi XYuan H}
13,278396.0,Smoking is accompanied?? by a suppressed cervical nitric oxide release in women with high-risk human papi$llomavirus infection,3.0325311317626413,3.302132228186795,nan,nan,92.0,nan,1/13/01,nan,{T. S. MikkolaS. VuorentoO. YlikorkalaM. Vaisanen-TommiskaP. Rahkola-Soisalo}
14,nan,Imaging of scar in patients with ve$ntricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping,nan,nan,nan,nan,8.0,5.0,1/11/01,nan,{C. Hamilton-CraigS. BartolettiM. CasellaF. PernaM. L. NarducciP. SantangeliF. PintusA. NataleA. Dello RussoG. PelargonioG. BencardinoJ. D. BurkhardtF. BellocciL. Di Biase}
15,53321.0,Monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of proximal humeral fractures,nan,nan,nan,nan,35.0,8.0,1/11/01??,nan,{T. ToppC. KuhneS. RuchholtzU. LewanA. KrugerT. MullerR. Zettl}
16,13601.0,Latex allergy in atopic children.,nan,nan,3.014428734893483,nan,140.0,28.94447449878702,5/1/99,nan,{R S LeverS A Holme}
17,nan,A randomized controlled trial of Tai chi for balance sleep quality and cognitive performance in elderly Vietnamese.,3.0325311317626413,nan,nan,nan,nan,-1.0,nan,nan,{Andreas KruseManh Hung Nguyen}
18,282987.0,Multisystemic Therapy for social emotional and behavioral problems in youth a??ged 10-#17,nan,nan,4.463322007090762,nan,0.0,4.0,1/5/01,nan,{J. H. LittellM. PopaB. Forsythe}
19,nan,Haemodynamic ischaemia in paediatric moyamoya disease associated with renovascular hypertension.,nan,nan,nan,nan,139.0,17.618080711119198,1/1/97,nan,{Y TakagiN HashimotoY Goto}
20,nan,nan,3.0325311317626413,nan,nan,nan,39.0,6.0,1/7/06#,nan,{James C MartinIan MayhewLee M RomerThomas Korff}
21,82614.0,Lycopene metabolite apo-10'-lycopenoic acid inhibits diethylnitrosamine-initiated high fat diet-promoted hepatic inflammation and tumorigenesis in mice.,3.0325311317626413,nan,nan,nan,6.0,12.0,@@1%/13/12,nan,{Lynne M AusmanMartin S ObinXiang-Dong WangChun LiuBlanche C IpDonald E SmithKang-Quan Hu}
