task_name,num,dataset_id,error_rate,m,n,anomaly,missing,format,knowledge,cleaning_method,multi_wasserstein,outlier_ratio_rep,mean_col1,var_col1,normal_p_col1,mean_col2,var_col2,normal_p_col2,mean_col3,var_col3,normal_p_col3,mean_col4,var_col4,normal_p_col4,kl_numeric_avg,corr_avg,corr_max,cat_kl_avg
beers,1,51,8.70539419087137,11,2410,2.5,0.0,2.5,0.0,mode,40.79086929552427,0.237,0.059138589211618256,0.000178456501122175,6.423049906396755e-34,20.0,0.0,1.0,1.0,0.0,1.0,12.0,0.0,1.0,-0.16848912986506395,,,-0.016842699401772823
beers,1,51,8.70539419087137,11,2410,2.5,0.0,2.5,0.0,bigdansing,0.0,0.12745098039215685,0.08432261127000856,0.43998278363116433,0.0,48.559138205410065,2409.3917581692335,0.0,1674.245098113936,2275578.7515518176,0.0,16.26934094146802,139.56983619496236,0.0,0.0,0.04248788976212226,0.17519846652358234,0.006326325193363594
beers,1,51,8.70539419087137,11,2410,2.5,0.0,2.5,0.0,boostclean,0.0004161748168459935,0.12091503267973856,0.08432261127000855,0.43998278363116433,0.0,48.559138205410065,2409.3917581692335,0.0,1674.245098113936,2275578.7515518176,0.0,16.26934094146802,139.56983619496236,0.0,0.0,0.059442051989502566,0.2700219158927089,0.0
beers,1,51,8.70539419087137,11,2410,2.5,0.0,2.5,0.0,holoclean,10.598143100832406,0.08661417322834646,0.07827790611168248,0.4284859440704699,0.0,48.669411920499236,2188.6378535472677,0.0,1558.0150791231072,1572832.5001774912,0.0,14.71926688923476,67.06054205117684,0.0,0.010589551329651496,0.05056564543690437,0.1524638598072711,0.005250488883488042
beers,1,51,8.70539419087137,11,2410,2.5,0.0,2.5,0.0,horizon,0.0,0.12745098039215685,0.08432261127000856,0.43998278363116433,0.0,48.559138205410065,2409.3917581692335,0.0,1674.245098113936,2275578.7515518176,0.0,16.26934094146802,139.56983619496236,0.0,0.0,0.04248788976212226,0.17519846652358234,0.0008966884519972081
beers,1,51,8.70539419087137,11,2410,2.5,0.0,2.5,0.0,scared,2.275586534738995,0.11056910569105691,0.08274219238091075,0.4388285206905596,0.0,46.53157994492214,2052.358419134577,0.0,1674.245098113936,2275578.7515518176,0.0,16.046715050071423,130.17583534003865,0.0,0.000500620800516363,0.046451906099402585,0.1913775800620493,-0.0014136964695757352
beers,1,51,8.70539419087137,11,2410,2.5,0.0,2.5,0.0,baran,7.162414518521568,0.09803921568627451,0.08215293986517935,0.4390843467626871,0.0,48.46312131004109,2412.1943956527657,0.0,1626.4955714614957,2180862.1284611495,0.0,14.449598041804203,44.05455708111753,0.0,0.010417450141500506,0.04614841719200726,0.17563803690555846,-0.008109963290740756
beers,1,51,8.70539419087137,11,2410,2.5,0.0,2.5,0.0,Unified,0.0,0.119281045751634,0.08432261127000856,0.43998278363116433,0.0,48.559138205410065,2409.3917581692335,0.0,1674.245098113936,2275578.7515518176,0.0,16.26934094146802,139.56983619496236,0.0,0.0,0.057251569434808615,0.23858087928585225,-0.015778110815033063
beers,2,44,12.784232365145229,11,2410,5.0,0.0,5.0,0.0,mode,43.49381071931896,0.171,0.05863443983402491,0.0001626255464897368,2.9529126230427018e-36,20.0,0.0,1.0,1.0,0.0,1.0,12.118026970954357,1.7444208564744237,0.0,-0.17531870529467378,0.02562121630796797,0.02562121630796797,-0.028138717022618078
beers,2,44,12.784232365145229,11,2410,5.0,0.0,5.0,0.0,bigdansing,0.0,0.14173228346456693,0.10329218149868177,0.4956585642439011,0.0,57.052066648214435,5221.956329970762,0.0,1932.9398624785924,4031504.2953843893,0.0,18.15696197583411,226.9689536638245,0.0,0.0,0.031834785526862225,0.10327636788455456,0.012520098321064108
beers,2,44,12.784232365145229,11,2410,5.0,0.0,5.0,0.0,boostclean,0.00046286691181301646,0.13700787401574804,0.10329218149868177,0.4956585642439011,0.0,57.052066648214435,5221.956329970762,0.0,1932.9398624785924,4031504.2953843893,0.0,18.15696197583411,226.9689536638245,0.0,0.0,0.052297282088504184,0.21493573079154404,-0.0001569527884919412
beers,2,44,12.784232365145229,11,2410,5.0,0.0,5.0,0.0,holoclean,18.431788448940246,0.08661417322834646,0.07827790611168248,0.4284859440704699,0.0,48.669411920499236,2188.6378535472677,0.0,1558.0150791231072,1572832.5001774912,0.0,14.71926688923476,67.06054205117684,0.0,0.04496983475276703,0.05056564543690437,0.1524638598072711,0.0028522409137279638
beers,2,44,12.784232365145229,11,2410,5.0,0.0,5.0,0.0,horizon,0.0,0.14173228346456693,0.10329218149868177,0.4956585642439011,0.0,57.052066648214435,5221.956329970762,0.0,1932.9398624785924,4031504.2953843893,0.0,18.15696197583411,226.9689536638245,0.0,0.0,0.031834785526862225,0.10327636788455456,0.0014435520144197508
beers,2,44,12.784232365145229,11,2410,5.0,0.0,5.0,0.0,scared,4.911597243724996,0.15114235500878734,0.10329218149868177,0.4956585642439011,0.0,57.11305014340328,5161.2483271586025,0.0,1932.9398624785924,4031504.2953843893,0.0,17.19853396707774,186.74466375817937,0.0,0.001012560244016284,0.036628140394690825,0.10990458445175841,0.016228123040862845
beers,2,44,12.784232365145229,11,2410,5.0,0.0,5.0,0.0,baran,954907.454938392,0.08818897637795275,0.08472987329063775,0.44822272908600813,0.0,55.505675845350154,5254.206827955283,0.0,874279339007.7302,5.641948674244313e+25,0.0,14.062487753702936,30.14573475186757,0.0,0.030392968877404718,0.05340784168354784,0.10933730677394839,-0.02966246755113328
beers,2,44,12.784232365145229,11,2410,5.0,0.0,5.0,0.0,Unified,0.0,0.14173228346456693,0.10329218149868177,0.4956585642439011,0.0,57.052066648214435,5221.956329970762,0.0,1932.9398624785924,4031504.2953843893,0.0,18.15696197583411,226.9689536638245,0.0,0.0,0.031834785526862225,0.10327636788455456,-0.04485268577156352
beers,3,38,9.236514522821576,11,2410,2.5,0.0,0.0,2.5,mode,40.30568393075347,0.306,0.05881244813278008,0.00016513375946700565,1.5310873612532797e-34,20.0,0.0,1.0,1.0,0.0,1.0,11.995039419087137,0.059303744813278034,0.0,-0.2235365771770139,0.013974953164039886,0.013974953164039886,-0.022225144612861906
beers,3,38,9.236514522821576,11,2410,2.5,0.0,0.0,2.5,bigdansing,4.30567299775015e-05,0.13815789473684212,0.08639261829346676,0.4488791377638954,0.0,48.69801810488979,2379.558732919853,0.0,1662.8792236258178,2184315.5348271285,0.0,16.177687232799023,145.2220186751316,0.0,0.0,0.04356164615812965,0.17828134904854942,0.009394286945012023
beers,3,38,9.236514522821576,11,2410,2.5,0.0,0.0,2.5,boostclean,0.0002710434558047965,0.12664473684210525,0.08639261829346673,0.4488791377638954,0.0,48.69801810488979,2379.558732919853,0.0,1662.8792236258178,2184315.534827129,0.0,16.177687232799023,145.22201867513158,0.0,0.0,0.05973372031643489,0.2659327114527819,0.0
beers,3,38,9.236514522821576,11,2410,2.5,0.0,0.0,2.5,holoclean,7.021424508603014,0.11991869918699187,0.08638871794255355,0.44162869646738806,0.0,44.96256813766067,1897.2409768921675,0.0,1662.8792236258178,2184315.5348271285,0.0,16.177687232799023,145.2220186751316,0.0,0.000442638931043869,0.039933212338324954,0.15456609919455816,0.0
beers,3,38,9.236514522821576,11,2410,2.5,0.0,0.0,2.5,horizon,4.30567299775015e-05,0.13815789473684212,0.08639261829346676,0.4488791377638954,0.0,48.69801810488979,2379.558732919853,0.0,1662.8792236258178,2184315.5348271285,0.0,16.177687232799023,145.2220186751316,0.0,0.0,0.04356164615812965,0.17828134904854942,0.017968219691262305
beers,3,38,9.236514522821576,11,2410,2.5,0.0,0.0,2.5,scared,4.81626564505962,0.09911504424778761,0.0827424547584725,0.44799470881540215,0.0,46.89909763562396,2176.690371976955,0.0,1662.8792236258178,2184315.5348271285,0.0,15.213680874484407,84.15175209408153,0.0,0.0014901016082187767,0.04491112316285961,0.1945334796899649,-0.003363478052866633
beers,3,38,9.236514522821576,11,2410,2.5,0.0,0.0,2.5,baran,11.283367237346319,0.09210526315789473,0.08411887005428262,0.4484211396297877,0.0,48.623299075767136,2379.9188201036955,0.0,1517.956878760712,1603758.9593786974,0.0,13.591965545869655,6.300109019161257,0.0,-0.004721478338465601,0.06630563855919162,0.17781357730052275,-0.019805088310090965
beers,3,38,9.236514522821576,11,2410,2.5,0.0,0.0,2.5,Unified,4.30567299775015e-05,0.13815789473684212,0.08639261829346676,0.4488791377638954,0.0,48.69801810488979,2379.558732919853,0.0,1662.8792236258178,2184315.5348271285,0.0,16.177687232799023,145.2220186751316,0.0,0.0,0.04356164615812965,0.17828134904854942,-0.039619323670678844
beers,4,37,14.070539419087137,11,2410,5.0,0.0,0.0,5.0,mode,44.28614050040069,0.163,0.05858464730290456,0.00017147083102955895,1.3390674497266394e-36,20.0,0.0,1.0,1.0,0.0,1.0,12.14945644271695,3.1920121769559042,0.0,0.12224483913883674,0.022693500750784867,0.022693500750784867,-0.03635739575282045
beers,4,37,14.070539419087137,11,2410,5.0,0.0,0.0,5.0,bigdansing,0.0,0.16987179487179488,0.1067227102172565,0.4939206865232953,0.0,56.764628377462635,4704.76821157844,0.0,1950.30354614624,4356254.749966934,0.0,18.28193598975088,229.2098123599486,0.0,0.0,0.034175362456006865,0.12289215784907369,0.011659081140481429
beers,4,37,14.070539419087137,11,2410,5.0,0.0,0.0,5.0,boostclean,0.0004509667499839989,0.16826923076923078,0.1067227102172565,0.4939206865232953,0.0,56.764628377462635,4704.76821157844,0.0,1950.30354614624,4356254.749966935,0.0,18.28193598975088,229.2098123599486,0.0,0.0,0.04739540481477538,0.2457296139694188,0.0
beers,4,37,14.070539419087137,11,2410,5.0,0.0,0.0,5.0,holoclean,4.732084308909478,0.12160804020100502,0.12117630208143612,0.5389811559896217,0.0,50.66360879864432,3461.1121101021154,0.0,1950.30354614624,4356254.749966934,0.0,18.280989128344345,229.11682575090921,0.0,0.0016356907620728926,0.02868783532944419,0.08319972528483227,0.0
beers,4,37,14.070539419087137,11,2410,5.0,0.0,0.0,5.0,horizon,0.0,0.16987179487179488,0.1067227102172565,0.4939206865232953,0.0,56.764628377462635,4704.76821157844,0.0,1950.30354614624,4356254.749966934,0.0,18.28193598975088,229.2098123599486,0.0,0.0,0.034175362456006865,0.12289215784907369,0.02022447653227998
beers,4,37,14.070539419087137,11,2410,5.0,0.0,0.0,5.0,scared,3.0634392668487744,0.16385135135135134,0.1067227102172565,0.4939206865232953,0.0,56.69014265604337,4690.07980800599,0.0,1950.30354614624,4356254.749966934,0.0,17.634986607159515,202.04321507054934,0.0,0.00037099035782913814,0.03810421064917487,0.1266270732480841,0.0008837258148589232
beers,4,37,14.070539419087137,11,2410,5.0,0.0,0.0,5.0,baran,10900.477894720621,0.08038585209003216,0.0835456696204893,0.4500089696267947,0.0,106635400.95099339,6.741445047000572e+17,0.0,7273719.429782839,6.388555200383522e+16,0.0,14.06856552820631,31.784738430201223,0.0,0.028501648028029757,0.005890362080930112,0.01396765450575609,-0.04897945096195511
beers,4,37,14.070539419087137,11,2410,5.0,0.0,0.0,5.0,Unified,0.0,0.16987179487179488,0.1067227102172565,0.4939206865232953,0.0,56.764628377462635,4704.76821157844,0.0,1950.30354614624,4356254.749966934,0.0,18.28193598975088,229.2098123599486,0.0,0.0,0.034175362456006865,0.12289215784907369,-0.05674139402140122
beers,5,46,8.937759336099585,11,2410,2.5,0.0,1.25,1.25,mode,40.179557572749395,0.193,0.05885933609958506,0.00016776144248142771,1.6314187887495871e-34,20.0,0.0,1.0,1.0,0.0,1.0,12.171678423236514,2.2007724930585337,0.0,0.0498093289134561,0.05057861691175448,0.05057861691175448,-0.013712710170291414
beers,5,46,8.937759336099585,11,2410,2.5,0.0,1.25,1.25,bigdansing,0.0,0.13509060955518945,0.0879582610081403,0.4480561151595091,0.0,49.11337299072392,2648.425189060784,0.0,1652.46607499162,2121372.4881862365,0.0,16.090162718219553,132.06417973869614,0.0,0.0,0.0405806609054355,0.16763388969065107,0.005153706619158832
beers,5,46,8.937759336099585,11,2410,2.5,0.0,1.25,1.25,boostclean,0.0006128777004866473,0.12191103789126853,0.08795826100814029,0.4480561151595091,0.0,49.11337299072392,2648.425189060784,0.0,1652.46607499162,2121372.4881862365,0.0,16.090162718219553,132.0641797386962,0.0,0.0,0.05637843731684002,0.27531390828205343,0.0
beers,5,46,8.937759336099585,11,2410,2.5,0.0,1.25,1.25,holoclean,8.333013129910304,0.08661417322834646,0.07827790611168248,0.4284859440704699,0.0,48.669411920499236,2188.6378535472677,0.0,1558.0150791231072,1572832.5001774912,0.0,14.71926688923476,67.06054205117684,0.0,0.008043368555818425,0.05056564543690437,0.1524638598072711,0.002788233533404226
beers,5,46,8.937759336099585,11,2410,2.5,0.0,1.25,1.25,horizon,0.0,0.13509060955518945,0.0879582610081403,0.4480561151595091,0.0,49.11337299072392,2648.425189060784,0.0,1652.46607499162,2121372.4881862365,0.0,16.090162718219553,132.06417973869614,0.0,0.0,0.0405806609054355,0.16763388969065107,0.015678057612282085
