task_name,num,dataset_id,error_rate,m,n,anomaly,missing,format,knowledge,cleaning_method,multi_wasserstein,outlier_ratio_rep,kl_numeric_avg,corr_avg,corr_max,cat_kl_avg
flights,1,1,4.44023569023569,7,2376,2.5,0.0,2.5,0.0,mode,,,,,,-0.014169607322792469
flights,1,1,4.44023569023569,7,2376,2.5,0.0,2.5,0.0,bigdansing,,,,,,0.03762341574471437
flights,1,1,4.44023569023569,7,2376,2.5,0.0,2.5,0.0,boostclean,,,,,,0.0
flights,1,1,4.44023569023569,7,2376,2.5,0.0,2.5,0.0,holoclean,,,,,,-0.015604756314103603
flights,1,1,4.44023569023569,7,2376,2.5,0.0,2.5,0.0,horizon,,,,,,0.08017174606483685
flights,1,1,4.44023569023569,7,2376,2.5,0.0,2.5,0.0,scared,,,,,,-0.001716023430949957
flights,1,1,4.44023569023569,7,2376,2.5,0.0,2.5,0.0,baran,,,,,,-0.020829639916187474
flights,1,1,4.44023569023569,7,2376,2.5,0.0,2.5,0.0,Unified,,,,,,-0.03613166611744727
flights,2,2,8.83838383838384,7,2376,5.0,0.0,5.0,0.0,mode,,,,,,-0.02798553606275279
flights,2,2,8.83838383838384,7,2376,5.0,0.0,5.0,0.0,bigdansing,,,,,,0.046349725627435646
flights,2,2,8.83838383838384,7,2376,5.0,0.0,5.0,0.0,boostclean,,,,,,0.0
flights,2,2,8.83838383838384,7,2376,5.0,0.0,5.0,0.0,holoclean,,,,,,-0.05228462650992852
flights,2,2,8.83838383838384,7,2376,5.0,0.0,5.0,0.0,horizon,,,,,,0.1245760020344381
flights,2,2,8.83838383838384,7,2376,5.0,0.0,5.0,0.0,scared,,,,,,-0.005052217829396768
flights,2,2,8.83838383838384,7,2376,5.0,0.0,5.0,0.0,baran,,,,,,-0.05129076321515046
flights,2,2,8.83838383838384,7,2376,5.0,0.0,5.0,0.0,Unified,,,,,,-0.06967934596781654
flights,3,14,4.980359147025814,7,2376,2.5,0.0,0.0,2.5,mode,,,,,,-0.011680058376026174
flights,3,14,4.980359147025814,7,2376,2.5,0.0,0.0,2.5,bigdansing,,,,,,0.036382703576245574
flights,3,14,4.980359147025814,7,2376,2.5,0.0,0.0,2.5,boostclean,,,,,,0.0
flights,3,14,4.980359147025814,7,2376,2.5,0.0,0.0,2.5,holoclean,,,,,,-0.01335957119336806
flights,3,14,4.980359147025814,7,2376,2.5,0.0,0.0,2.5,horizon,,,,,,0.11454813372316565
flights,3,14,4.980359147025814,7,2376,2.5,0.0,0.0,2.5,scared,,,,,,-0.009266700305505715
flights,3,14,4.980359147025814,7,2376,2.5,0.0,0.0,2.5,baran,,,,,,-0.024290738995748625
flights,3,14,4.980359147025814,7,2376,2.5,0.0,0.0,2.5,Unified,,,,,,-0.035496472430602215
flights,4,13,9.988776655443322,7,2376,5.0,0.0,0.0,5.0,mode,,,,,,-0.008350647807656724
flights,4,13,9.988776655443322,7,2376,5.0,0.0,0.0,5.0,bigdansing,,,,,,0.060467410648947194
flights,4,13,9.988776655443322,7,2376,5.0,0.0,0.0,5.0,boostclean,,,,,,0.0
flights,4,13,9.988776655443322,7,2376,5.0,0.0,0.0,5.0,holoclean,,,,,,-0.04257824544417093
flights,4,13,9.988776655443322,7,2376,5.0,0.0,0.0,5.0,horizon,,,,,,0.1770067136213153
flights,4,13,9.988776655443322,7,2376,5.0,0.0,0.0,5.0,scared,,,,,,-0.015456182166905417
flights,4,13,9.988776655443322,7,2376,5.0,0.0,0.0,5.0,baran,,,,,,0.02089699084399359
flights,4,13,9.988776655443322,7,2376,5.0,0.0,0.0,5.0,Unified,,,,,,-0.061852064405733785
flights,5,12,4.622615039281706,7,2376,2.5,0.0,1.25,1.25,mode,,,,,,0.028085644311474412
flights,5,12,4.622615039281706,7,2376,2.5,0.0,1.25,1.25,bigdansing,,,,,,0.033254682196224454
flights,5,12,4.622615039281706,7,2376,2.5,0.0,1.25,1.25,boostclean,,,,,,0.0
flights,5,12,4.622615039281706,7,2376,2.5,0.0,1.25,1.25,holoclean,,,,,,-0.01688008092451942
