task_name,num,dataset_id,error_rate,m,n,anomaly,missing,format,knowledge,cleaning_method,multi_wasserstein,outlier_ratio_rep,mean_col1,var_col1,normal_p_col1,mean_col2,var_col2,normal_p_col2,mean_col3,var_col3,normal_p_col3,kl_numeric_avg,corr_avg,corr_max,cat_kl_avg
hospital,1,32,4.247368421052632,20,1000,2.5,0.0,2.5,0.0,mode,32828.9708813747,1.0,2565435200.0,0.0,1.0,10039.0,0.0,1.0,35233.0,0.0,1.0,-0.06656027247210772,,,-0.02224293537557098
hospital,1,32,4.247368421052632,20,1000,2.5,0.0,2.5,0.0,bigdansing,23735.723525116417,0.111,2862372829.730578,1.4951379762436928e+18,7.006492321624085e-45,9921.032466418928,11037656.931127569,0.0,36494.788697052034,195492608.18119135,0.0,0.04761118137676146,0.2687814485148405,0.3804338970156355,0.0023853061073791032
hospital,1,32,4.247368421052632,20,1000,2.5,0.0,2.5,0.0,boostclean,8031.243768128958,0.16,3361256523.7526417,5.918211683590767e+18,0.0,12120.737709600198,72317387.33551139,0.0,42733.39922441021,745832316.4577547,0.0,-0.000665950846869778,0.06396981249446308,0.08726372795888089,0.0
hospital,1,32,4.247368421052632,20,1000,2.5,0.0,2.5,0.0,holoclean,21444.829248865517,0.095,2965876779.15863,2.075119064282121e+18,0.0,10471.324694261746,12002566.943340331,0.0,38029.052339055204,201717352.947179,0.0,0.023430418394796124,0.39770893868001944,0.5049149204073929,-0.009358222429152123
hospital,1,32,4.247368421052632,20,1000,2.5,0.0,2.5,0.0,horizon,12886.134439267282,0.173,3343452450.8904185,4.829093812090882e+18,0.0,12120.737709600198,72317387.33551139,0.0,39503.86533503202,285062685.89017797,0.0,-0.013433508695936883,0.09169703231929999,0.20038471259045842,-0.00984162620064587
hospital,1,32,4.247368421052632,20,1000,2.5,0.0,2.5,0.0,scared,6669.277907278666,0.152,3384406166.680087,7.544988282033688e+18,0.0,12025.729875965348,68201494.1446436,0.0,42398.97233645257,711568039.322764,0.0,0.00031918466295573065,0.09035609423778386,0.10766337376073942,-0.0007051470807452923
hospital,1,32,4.247368421052632,20,1000,2.5,0.0,2.5,0.0,baran,14068.721038401442,0.127,3227828548.6863794,6.094497882459481e+18,0.0,12120.737709600198,72317387.33551139,0.0,36539.65768217677,168765146.92909583,0.0,0.0087807152379766,0.19505369710559037,0.36034329495913203,-0.02921900996980552
hospital,1,32,4.247368421052632,20,1000,2.5,0.0,2.5,0.0,Unified,0.5059644256269407,0.16,3425757400.2157555,8.025282899000612e+18,0.0,12120.737709600198,72317387.33551139,0.0,42733.39922441021,745832316.4577549,0.0,0.0,0.08014180471532671,0.09610009198931885,0.0
hospital,2,18,8.410526315789474,20,1000,5.0,0.0,5.0,0.0,mode,42183.845185668506,1.0,2054877736.0,0.0,1.0,10039.0,0.0,1.0,35233.0,0.0,1.0,-0.1107169507657277,,,-0.0472628143476502
hospital,2,18,8.410526315789474,20,1000,5.0,0.0,5.0,0.0,bigdansing,30954.4413554631,0.141,2876032750.854908,1.9827648071923628e+18,0.0,10013.700593351912,29089403.765234753,0.0,37546.84953947756,439090850.48412794,0.0,0.11911169532926301,0.1425117200223089,0.306709598211743,0.010023851694560893
hospital,2,18,8.410526315789474,20,1000,5.0,0.0,5.0,0.0,boostclean,6837.576771578582,0.286,3787457731.6314373,1.058670220390722e+19,0.0,13985.255064866134,130324003.025913,0.0,49519.67582693071,1546362567.895705,0.0,-0.00033314662682294277,0.061456467384139145,0.0910370977393672,0.0
hospital,2,18,8.410526315789474,20,1000,5.0,0.0,5.0,0.0,holoclean,29318.836925577285,0.077,2974616396.113539,2.0704928291091684e+18,0.0,10655.26211458736,18491314.498875435,0.0,38535.270420867455,251764731.9262105,0.0,0.09368135576053233,0.3524548993912786,0.6078270985604195,-0.019524362130860264
hospital,2,18,8.410526315789474,20,1000,5.0,0.0,5.0,0.0,horizon,22133.510210981414,0.253,3996353530.782929,8.296590805040048e+18,1.0621842359582113e-42,13985.255064866134,130324003.025913,0.0,46714.495270845655,2371615641.25402,0.0,0.017371704328379742,0.09685700144611008,0.16573724517531813,0.026350695552381558
hospital,2,18,8.410526315789474,20,1000,5.0,0.0,5.0,0.0,scared,24565.64732970251,0.097,3230947936.4325957,6.806603212014027e+18,0.0,10721.293913836762,24797655.054501593,0.0,40251.50410306778,497008066.5160225,0.0,0.07962648946905525,0.27606472668877485,0.4270736040942332,-0.01252841981877393
hospital,2,18,8.410526315789474,20,1000,5.0,0.0,5.0,0.0,baran,31995.141493437037,0.134,3284134521.023263,7.166127457488274e+18,0.0,339481698.52533275,2.0371302233239132e+18,0.0,391899780.3589549,2.5219749292569523e+18,0.0,0.06502785839117038,0.0313356677401358,0.04688383194554285,-0.05506992057023496
hospital,2,18,8.410526315789474,20,1000,5.0,0.0,5.0,0.0,Unified,0.0,0.274,3834210187.738269,1.2784352545083425e+19,0.0,13985.255064866134,130324003.025913,0.0,49519.67582693071,1546362567.895705,0.0,0.0,0.06618391642912184,0.09948211563346293,-4.332169878499658e-05
hospital,3,23,4.989473684210526,20,1000,2.5,0.0,0.0,2.5,mode,32090.601286949517,1.0,2565435200.0,0.0,1.0,10046.0,0.0,1.0,35233.0,0.0,1.0,-0.06655525491428439,,,-0.02681761669318131
hospital,3,23,4.989473684210526,20,1000,2.5,0.0,0.0,2.5,bigdansing,23869.15963955717,0.137,2801881143.9790745,1.3503177588875843e+18,3.881596746179743e-43,9966.715028917048,13366218.00965626,0.0,37607.83381816925,530099483.8803167,0.0,0.043406307819011676,0.2621562811114049,0.37503879136469864,0.0019241927754379447
hospital,3,23,4.989473684210526,20,1000,2.5,0.0,0.0,2.5,boostclean,5073.010384051423,0.155,3345882491.0567875,5.822800409241382e+18,0.0,12092.006833052028,66392644.99691684,0.0,43192.34412521307,881483645.3728805,0.0,-0.0006663098414598781,0.08261590597654733,0.1123653250168182,0.0
hospital,3,23,4.989473684210526,20,1000,2.5,0.0,0.0,2.5,holoclean,22120.12312094441,0.299,2882318541.4,1.041142739110447e+18,1.401298464324817e-45,10213.503,1764223.0930840839,0.0,37182.302,79611613.64844444,0.0,-0.04219204985137748,0.8847831511186636,0.9459162074694054,0.002977371656511342
hospital,3,23,4.989473684210526,20,1000,2.5,0.0,0.0,2.5,horizon,22103.375325162197,0.191,2883059023.336,1.0392957201973079e+18,1.401298464324817e-45,12092.006833052028,66392644.99691683,0.0,37182.746,79608012.02951351,0.0,-0.024410472168131487,0.4110045303334615,0.8883786831067603,0.08385351802090507
hospital,3,23,4.989473684210526,20,1000,2.5,0.0,0.0,2.5,scared,7358.5819133564155,0.141,3317469200.7722034,6.114445442153968e+18,0.0,11915.949351736135,60445891.510737285,0.0,43144.855643136325,1074416600.3583586,0.0,0.00046779822170999683,0.10199326080848582,0.1317719397385519,-0.002394075838858465
hospital,3,23,4.989473684210526,20,1000,2.5,0.0,0.0,2.5,baran,10744.043157980017,0.132,3256198236.5936427,4.765009797463572e+18,0.0,31410.852121922537,15008613682.93958,0.0,38611.95250328761,644772346.9119004,0.0,0.01736450566813812,0.08231700602265013,0.21600654750009163,-0.02582968134192995
hospital,3,23,4.989473684210526,20,1000,2.5,0.0,0.0,2.5,Unified,0.0,0.155,3371617925.3946805,6.491466776254212e+18,0.0,12092.006833052028,66392644.99691683,0.0,43706.68593101562,1146068706.1663268,0.0,0.0,0.09745468237236606,0.12195548533661117,0.0
hospital,4,33,9.968421052631578,20,1000,5.0,0.0,0.0,5.0,mode,39281.262520576885,1.0,2562651000.0,0.0,1.0,10046.0,0.0,1.0,35233.0,0.0,1.0,-0.11044226443554707,,,-0.03866103320126513
hospital,4,33,9.968421052631578,20,1000,5.0,0.0,0.0,5.0,bigdansing,32907.93702942195,0.157,2822256314.3952904,2.085178592837253e+18,1.317220556465328e-43,9819.345806768672,18727969.52776531,0.0,36780.18186888895,491184094.50031275,0.0,0.13521865003595232,0.203127904398731,0.3007855209035385,0.004210476020887046
hospital,4,33,9.968421052631578,20,1000,5.0,0.0,0.0,5.0,boostclean,6915.631967129008,0.266,3857362667.8451767,1.0236542678776277e+19,1.401298464324817e-45,13650.934952708381,110092147.53088447,0.0,49193.17382889043,1656378851.2048619,0.0,-0.0003331440827520314,0.04250758558210436,0.057840401462584734,0.0
hospital,4,33,9.968421052631578,20,1000,5.0,0.0,0.0,5.0,holoclean,30648.196886534824,0.095,2965876779.15863,2.075119064282121e+18,0.0,10471.324694261746,12002566.943340331,0.0,38029.052339055204,201717352.947179,0.0,0.0749478067878248,0.39770893868001944,0.5049149204073929,-0.061625122225240414
hospital,4,33,9.968421052631578,20,1000,5.0,0.0,0.0,5.0,horizon,15626.573190464294,0.23,3737450233.7802362,7.935767483336095e+18,2.802596928649634e-45,13650.93495270838,110092147.53088446,0.0,41251.63300574694,674185804.7848018,0.0,0.05584414240120685,0.19116425841315954,0.52905577822154,0.1535440374994673
hospital,4,33,9.968421052631578,20,1000,5.0,0.0,0.0,5.0,scared,10865.769658068251,0.247,3787123693.6662974,1.1397327644074504e+19,0.0,13413.504458412248,103194680.16950838,0.0,47449.90163485509,1301976036.9233496,0.0,5.747267380638312e-05,0.05115212561393228,0.06843987792318099,-0.004407896471304941
hospital,4,33,9.968421052631578,20,1000,5.0,0.0,0.0,5.0,baran,896568.0734088753,0.149,807736803787.7603,1.0748021685958815e+25,0.0,13488.14361229846,164880784.78324968,0.0,37824.37259413858,453538280.25693566,0.0,0.06366203346295239,0.029657513852366413,0.044843203524478764,-0.044762927473880956
