ID,id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
1,235295.0,Late repair of injuries of the anal sphincter,eng,nan,Proceedings of the Royal Society of Medicine,0035-9157 (Print) 0035-9157,64.0,12.0,1/1/71,,{A. G. ParksJ. F. McPartlin}
2,2542471.186656745,,ENG,nan,J. Infect. Dis.,1537-6613,-1.0,-1.0,2/15/04,,
3,789958.0,Duane ??retraction syndrome associated with oculocutaneous alb$inism: an ocular miswiring.,eng,nan,Indian J Ophthalmol,0301-4738,,,1/6/12,283-4,
4,169865.0,[Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA],pol,nan,nan,1469-493X,84.0,0.0,,,{G. JakielK. GorzelnikJ. G. ZimowskiT. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 RoszkowskiJ. Bijok}
5,803653.0,Diagnosis and Management of Cutaneous B-cell Lymphom??a.,,Dermatologic clinics,Dermatol Clin,1558-0520,33.0,4.0,1/15/10,835-40,{Lauren C Pinter-Brown}
6,98234.0,Pregabalin celecoxib and their combination for treatment of chronic low-back pain,eng,nan,nan,1469-493X,10.0,4.0,1/9/01,185-91,{C. L. RomanoG. MineoC. BonoraD. Romano}
7,823730.0,,eng,Br Med Bull,British medical bulletin,0007-1420,29.0,2.0,1/1/73,163-7,{B N PrichardJ W Black}
8,729712.0,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,English; ABSTRACT LANGUAGE:English,nan,nan,1469-493X,164.0,1.0,,43-49,{St_ber FMutz NWrigge HPutensen CZinserling JZech SVon Spiegel T}
9,396821.0,Awareness of deficits and on-road driving performance,English,nan,nan,1469-493X,,7.0,1/11/01,1158-78,{L. J. RapportJ. A. GriffenL. A. BieliauskasC. BurtR. C. Bryer}
10,340222.0,A comparative evaluation of two head and neck immobilization devices using electronic portal imaging,,nan,nan,1469-493X,79.0,,1/6/01,158-61,{K. FlemingK. DonatoK. Leszczynski}
11,184417.0,Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects,,nan,nan,1469-493X,14.0,5.0,1/9/01,317-#@@325,{J. L. LiP. Newcomb}
12,729686.0,Local anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis,English,International journal of clinical and experimental medicine,Int J Clin Exp Med,1940-5901,8.0,6.0,1/15/01,10213-10224,{Yang MLi JLi YZhou MYang HShi XLi XYuan H}
13,278396.0,Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection,eng,Acta Obstet Gynecol Scand,Acta obstetricia et gynecologica Scandinavica,0001-6349 (Print) 0001-6349,92.0,,1/13/01,711-5,{T. S. MikkolaS. VuorentoO. YlikorkalaM. Vaisanen-TommiskaP. Rahkola-Soisalo}
14,,Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping,,nan,nan,1469-493X,8.0,5.0,,S40,{C. Hamilton-CraigS. BartolettiM. CasellaF. PernaM. L. NarducciP. SantangeliF. PintusA. NataleA. Dello RussoG. PelargonioG. BencardinoJ. D. BurkhardtF. BellocciL. Di Biase}
15,53321.0,Monoaxial versus polyaxial locking systems: a biomechanical analysi$s of different locking systems for the fixation of proximal humeral fractures,eng,nan,nan,1469-493X,35.0,8.0,1/11/01,1245-50,{T. ToppC. KuhneS. RuchholtzU. LewanA. KrugerT. MullerR. Zettl}
16,13601.0,Latex allergy in atopic children.,,nan,nan,1469-493X,140.0,5.0,5/1/99,919-21,{R S LeverS A Holme}
17,668310.0,A randomized controlled trial of Tai chi for balance sleep quality and cognitive performance in elderly Vietnamese.,eng,Clini@@cal Interventions In Aging,Clin Interv Aging,1178-1998,7.0,,,185-90,{Andreas KruseManh Hung Nguyen}
18,282987.0,Multisystemic Therapy for social emotional and behavioral problems in youth aged 10-17,,nan,nan,1469-493X,0.0,4.0,1/5/01,Cd004797,{J. H. LittellM. PopaB. Forsythe}
19,478292.0,Haemodynamic ischaemia in paediatric moyamoya disease associated with renovascular hypertension.,eng,nan,nan,1469-493X,139.0,3.0,,257-8,
20,43736.0,Effect of pedaling technique on mechanical effectiveness and efficiency in cyclists.,eng,Medicine and science in sports and exercise,Med Sci Sports Exerc,0195-9131,124.39579988286376,6.0,1/7/06,991-5,{James C MartinIan MayhewLee M RomerThomas Korff}
21,82614.0,Lycopene metabolite apo-10'-lycopenoic acid inhibits diethylnitrosamine-initiated high fat diet-promoted hepatic inflammation and tumorigenesis in mice.,,Cancer prevention research (Philadelphia Pa.),Cancer Prev Res (Phila),1940-6215,6.0,12.0,1/13/12,1304-16,{Lynne M AusmanMartin S ObinXiang-Dong WangChun LiuBlanche C IpDonald E SmithKang-Quan Hu}
22,163526.0,A performance improvement process to tackle tachysystole,English,nan,nan,1469-493X,40.0,0.0,,512-9 ST  - A performance improvement process to tackle tachysystole-,
23,514411.0,Osteoid osteoma treated by percutaneous thermal ablation: when do we fail? A systematic review and guidelines for future reporting.,eng,nan,Cardiovasc Intervent Radiol,1469-493X,37.0,6.0,1/14/12,,{Luca Maria SconfienzaEzio LanzaGianpaolo CornalbaDario PorettiCatherine CytevalPierre VialaFrancesco SardanelliYann Thouvenin}
