ID,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
1,10018.0,dekalb regional medical center,1720 university blvd,empty#%,empty,birmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,empty,al_scip-card-2
2,10035.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,36049.0,jefferson,9187765200.198156,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-1,heart attack patients given aspirin at arrival,empty,em%@@pty,al_scip-inf-1
3,10035.0,callahan eye foundation hospital,$1720 university blvd,empty,e??mpty,birmingham,al,35233.0,jefferson,2568453150.0,acute care hospitals,volu$ntary non-prof$it - private,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,e#mpty%,empty,al_scip-inf-2
4,10018.0,callahan eye foundation hospital,200 med center drive,empty,empty,birmingham,al,167395.75258352628,jefferson,2053258100.0,acute care hospitals,volun@@t??ary non-profit - private,yes,surgical infection prevention,hf-1,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),empty,empty,al_scip-inf-3
5,10035.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,empty,al_scip-inf-4
6,10035.0,callahan eye foundation hospital,200 med center drive,empty,empty,birmingham,al,36049.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf%-6,heart attack patients given aspirin at arrival,100%,empty,al_scip-inf-6
7,10018.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,$al,179445.58251740114,jefferson,10097760041.492022,ac@@ute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,empty,empty,al_scip-vte-1
8,10018.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,sc#ip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,empty,0 patients,al_sci#p@@-vte-2
9,45820.69877415399,helen keller memorial hospital,1300 %south montgomery avenue,empty,empty,birmingham,al,35660.0,jefferson,2563864556.0,acute care hospitals,government - hospital district or authority,yes,heart att@$@ack,ami??-1,heart attack patients given aspirin at arrival,9?#?7%,33 patients,al_ami-1
10,10019.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty??,sheffield,al,35660.0,jefferson,2563864556.0,a%cute care hospitals,government - hospital district or authority,??ye$s,heart attack,ami-2,heart attack patients given aspirin at discharge,92%,13 patients,al_ami-1
11,10035.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,206303.04483635203,jefferson,2563864556.0,acute care hospitals,government - hospital district or authority,yes,heart attack,hf-1,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75%#,4 patients,al_ami-3
12,10019.0,helen keller memorial hosp$ital,1300 south montgomery avenue,empty,empty,sheffield,al,35660.0,jefferson,2568453150.0,acute care hospitals,government - hospital district or authority,yes,heart attack,am??i-4,heart attack patients given smoking cessation advice/counseling,100%,4 patients,al_ami-4
13,10019.0,dekalb regional medical center,1300 south montgomery avenue,empty,empty,sheffield,al,35660.0,jefferson,2563864556.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,86%,14 patients,al_ami-5
14,10019.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,birmingham,al,35660.0,jef@@fers#on,2563864556.0,acute care hospitals,government - hospital district or authority,yes,heart attack,hf-1,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,0 patients,al_ami-7a
15,10019.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660.0,jefferson,2563864556.0,acute care hospitals,government - hospital district or authority,yes,heart a%tta%ck,ami-8a,heart attack patients given pci within 90 minutes of arrival,100%,0 patients,al_ami-8a
16,10019.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660.0,jefferson,2563864556.0,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-1,heart failure patients give%n discharge@@ instructions,80%,114 patients,$al_hf-1
17,10035.0,hele??n keller memorial hospital,1300 south montgomery avenue,em#pty,%emp#ty,sheffield,al,35660.0,jefferson,2563864556.0,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,99%,149 patients,al_ami-1
18,35528.984790425326,dekalb regional medical center,200 med center drive,empty,empty,sheffield,a@@$l,35660.0,jefferson,2563864556.0,acute c$are h%ospitals,government - hospital dis@@trict or authority,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),92%,37 patients,al_ami-1
19,10019.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,birmingham,al,35660.0,jefferson,2563864556.0,acute care hospitals,government - hospital district or authority,ye#s,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,41 patients,al_hf-4
20,10001.0,southeast alabama medical center,1108 ross clark circle,emp@@ty$,empty,dotha#n,al,36302.0,houston,2568453150.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,98%,270 patients,al_ami-1
21,31048.26225864551,southeast alabama medical center,1108 ross clark circle,empty,empty,birmingham,al,36302.0,houston,3347938701.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,99%,516 patients,al_ami-1
22,10001.0,dekalb regional medical center,1108 ross clark circle,empty,empty,dothan,al,36049.0,houston,3347938701.0,acute care hospitals,government - hospital district or authority,ye#s,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),96%,71 patients,al_ami-1
23,10001.0,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302.0,houston,3347938701.0,acute care hospitals,government - hospital district or authority,yes,heart attack,am@@i-4#,heart attack patients given aspirin at arrival,100%,244 patients,al_ami-4
24,10001.0,dekalb regional medical center,1108 ross clark circle,empty,empty,dothan,al,36302.0,jefferson,18054206452.74564,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,99%,441 patients,al_ami-5
25,10001.0,dekalb regional medical center,1108 ross clark circle,empty,empty,dothan,a@@@@l,36302.0,houston,15990748434.036505,acute care hospitals,government - hospital district or authority,yes,heart attack,hf-1,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,0 patients,al_ami-7a
26,10001.0,southeast alabama medical center,200 med center drive,empty,em@@pt%y,dothan,al,36302.0,houston,3347938701.0,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8a,hear#t attack %patients given pci within 90 minutes of arrival,72%,40 patients,al_ami-8a
27,10001.0,southeast alabama medical center,200 med center drive,empty,empty$%,dothan,al,36302.0,jefferson,10955882934.746466,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-1,heart failure patients given discharge instructions,78@@%%,455 patients,al_@@hf-1
28,10001.0,southeast alabama medical center,1108 ros#s clark circ#le,empty,empty,dothan$@@,al,144751.50888050933,houston,3347938701.0,acute care hospitals,government - hospital district or authority,yes,heart f@@ailure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,99%,514 patients,al_hf-2
29,10001.0,southeast alabama medical center,200 med center drive,empty,empty,dothan,al,36302.0,houston,3347938701.0,acute care hospitals,government - hospital district or authority,yes,heart fa$ilure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),91%,165 patients,al_hf-3
30,10001.0,southeast alabama medical center,1108 ross clark circle,emp@@ty,empty,dothan,al,36302.0,houston,3347938701.0,acute care hospitals,government - hospital district or authority,yes,heart #failure$,hf-4,heart failure patients given smoking cessation advice/counseling,100%,11#0 patients,al_hf-4
31,10001.0,dekalb regional medical center,1108 ross clark circle,empty,empty,dothan,al,36302.0,houston,3347938701.0,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,93%,0 patients,al_pn-2
32,10001.0,dekalb regional medical center,1108 ross clark circle,empty,empty,dothan,al,36302.0,houston,3347938701.0,acute care hospitals,government - hospital district or authority,$y$es,surgical infection prevention,hf-1,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,100%,0 patients,al_pn-3b
33,10001.0,southeast alabama medical center,200 med center drive,empty,empty,dothan,al,36302.0,houston,3347938701.0,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,99%,107 patients,a$l_pn-4
34,10001.0,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al$,36049.0,houston,3347938701.0,acute care hospitals,government - hospital district or authority,yes,pneumonia,hf-1,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,92%,196 patients,al_pn-5c
35,10001.0,southeast alabama medical center,200 med center drive,empty,empty,birmingham,al,36302.0,houston,3347938701.0,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),80%,147 patients,al_ami-1
36,10001.0,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302.0,houston,3347938701.0,acute care hospitals,government - hospital district or a#uthority,yes,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,84%??#,160 patients,al_pn-7
37,10001.0,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302.0,houston,3347938701.0,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,hf-1,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,100%,79 patients,al_scip-card-2
38,10001.0,dekalb regional medical center,1108 ross $clark circle??,empty,empty,@@dothan,$al,36049.0,houston,2568453150.0,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,hf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,94%,399 patients,al_scip-inf-1
39,10001.0,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302.0,houston,2568453150.0,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,98%,405 patients,al_ami-1
40,10001.0,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,126347.56681010728,houston,3347938701.0,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),88%,385 patients,al_scip-inf-3
41,59426.5838501352,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36049.0,houston,3347938701.0,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,%scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,96%,136 patients,al_ami-1
42,10001.0,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302.0,houston,3347938701.0,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),90%,537 patients,al_scip-inf-6
43,10001.0,dekalb regional medical center,1108 ross clark circle,e??mpty,empty,dothan,al,36302.0,houston,10687029029.239777,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,100%,185 patients,al_sc$ip-#vte-1
44,10001.0,dekalb regional medical center,1108 ross clark circle,empty,empty,dothan,al,36302.0,houston,3347938701.0,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,8%3%$,184 patients,al_@@sc??ip-vte-2
45,10035.0,%marshall medical center sout??h,2505 u s highway 431 north,empty,empty,boaz,al,35957.0,jefferson,2565938310.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,80%,20 patients,$al_ami-1
46,10005.0,dekalb regional medical center,2505 u s highway 431 north,empty,empty,boaz,al,36049.0,marshall,2565938310.0,acute care ho$spitals,government - hospital district or authority,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,100%,5 patients,al_ami-2
47,10005.0,marshall medical center south,2505 u s highway?? 431 north,empty,empty,boaz,al,35957.0,marshall,2565938310.0,acute care hospitals,government - hospital district or authority,yes,heart att%ack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,0 patients,al_ami-1
48,41179.83557534327,marshall medical center south,2505 u s highway 431 north,empty,empty,birmingham,al,35957.0,marsh$all,2565938310.0,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,empty,0 patients,al_ami-4
49,10005.0,marshall medical center south,2505 u s highway 431 north,empty,empty,boaz,al,36049.0,marsha$ll,2568453150.0,acute care hospitals,government - hospital district or authority,yes$,heart attack,hf-1,heart attack patients given beta blocker at discharge,100%,0 patients,al_ami-5
50,10005.0,marshall medical center south,2505 u s highway 431 north,empty,empty,birmingham,al,155586.7305202144,marshall,2565938310.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-7a,heart attack patients given aspirin at arrival,empty,0 patients,al_$ami-7a
51,10005.0,marshall med%i$cal center south,2505 u s highway 431 north,empty,empty,boaz,al,36049.0,marsh%%all,2565938310.0,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,ami-8a#,heart attack patients given pci within 90 minutes of arrival,empty,0 patients,al_ami-8a
52,10005.0,dekalb regional medical center,2505 u s highway 431 north,empty,empty,boaz,al,36049.0,jefferson,2568453150.0,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-1,heart failure patients given discharge instructions,78%,110 patients,al_hf-1
53,10005.0,marshall medical center sout#h,2505 u s highway 431 north,empty,empty,boaz,al,35957.0,marshall,2565938310.0,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-1,heart failure patients given an evaluation# of left ventricular systoli#c (lvs) function,99??%,160 patients,al_hf-2
