index,id,beer-name,style,ounces,abv,ibu,brewery_id,brewery-name,city,state
1,1436,Pub Beer,American IPA,12.0,0.05,,408,Mehana Brewing Co.,Portland,CO
2,2265,Devil's Cup,American IPA,12.0,0.0,,177,Brewery Vivant,Portland,CO
3,2264,Nonstop Hef Hop,American IPA,12.0,0.071,,177,Brewery Vivant,Portland,CO
4,2263,Snnister,American Double / Imperial IPA,12.0,0.0,,177,Brewery Vivant,Portland,CO
5,2262,Nonstop Hef Hop,American IPA,12.0,0.075,,177,Brewery Vivant,Portland,CO
6,2261,Black Exodus,Oatmeal Stout,12.0,0.0,,177,Brewery Vivant,Portland,CO
7,2260,Lake Street Express,American IPA,12.0,0.0,,177,Brewery Vivant,Portland,CO
8,2259,Foreman,American IPA,12.0,0.0,,177,Brewery Vivant,Portland,IN
9,2258,Nonstop Hef Hop,American Pale Ale (APA),12.0,0.055,,177,Brewery Vivant,Portland,CO
10,2131,Nonstop Hef Hop,American IPA,12.0,0.086,,177,Brewery Vivant,Portland,CO
11,2099,Sophomoric Saison,Saison / Farmhouse Ale,12.0,0.072,,177,Brewery Vivant,Portland,CO
12,2098,Regional Ring Of Fire,American IPA,12.0,0.0,,177,Brewery Vivant,Portland,CO
13,2097,Garce Selé,Saison / Farmhouse Ale,12.0,0.069,,177,Brewery Vivant,Portland,IN
14,1980,Nonstop Hef Hop,Belgian IPA,12.0,0.0,,177,Brewery Vivant,Portland,CO
15,1979,Bftter Bitch,American IPA,12.0,0.0,20.0,177,Brewery Vivant,Portland,IN
16,2318,Nonstop Hef Hop,Cider,12.0,0.0,,154,Brewery Vivant,Portland,OR
17,2170,Nonstop Hef Hop,Cider,12.0,0.06,,154,2 Towns Ciderhouse,Portland,CO
18,2169,Rhubarbarian,Cider,12.0,0.0,,154,Brewery Vivant,Portland,OR
19,1502,BdightCider,Cider,12.0,0.06,,154,Brewery Vivant,Corvallis,CO
20,1593,He Said Baltic-Style Porter,Baltic Porter,12.0,0.082,,368,Brewery Vivant,Portland,CA
21,1592,He Said Belgian-Style Tripel,American IPA,12.0,0.082,,368,Brewery Vivant,Portland,CA
22,1036,Lower De Boom,American Barleywine,12.0,0.099,20.0,368,Brewery Vivant,Portland,CO
23,1024,Nonstop Hef Hop,American IPA,12.0,0.079,20.0,368,Brewery Vivant,Portland,CO
24,976,Nonstop Hef Hop,American Stout,12.0,0.079,,368,Brewery Vivant,Portland,CO
25,876,Nonstop Hef Hop,American IPA,12.0,0.044,,368,Brewery Vivant,San Francisco,CA
26,802,Nonstop Hef Hop,Fruit / Vegetable Beer,12.0,0.0,,368,Brewery Vivant,Portland,CA
27,801,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12.0,0.049,20.0,368,Brewery Vivant,San Francisco,CO
28,800,2ist Amendment Watermelon Wheat Beer (2006),American IPA,12.0,0.049,20.0,368,Brewery Vivant,Portland,CA
29,799,Nonstop Hef Hop,American IPA,12.0,0.0,,368,Brewery Vivant,Portland,CA
30,797,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,368,Brewery Vivant,Portland,CA
31,796,Nonstop Hef Hop,American IPA,12.0,0.0,,368,Brewery Vivant,San Francisco,CA
32,531,Special Edition: Allies Win The War!,American IPA,12.0,0.0,20.0,368,Brewery Vivant,San Francisco,CO
33,432,Nonstop Hef Hop,American Double / Imperial IPA,12.0,0.097,,368,Brewery Vivant,San Francisco,CO
34,353,Nonstop Hef Hop,American Pale Ale (APA),12.0,0.044,20.0,368,Brewery Vivant,Portland,CO
35,321,Fireside Chat (2010),Winter Warmer,12.0,0.0,20.0,368,Brewery Vivant,Portland,CA
36,173,Nonstop Hef Hop,American Black Ale,12.0,0.068,,368,Brewery Vivant,Portland,CA
37,11,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,368,Brewery Vivant,Portland,CO
38,10,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,368,Brewery Vivant,Portland,CO
39,9,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,12.0,0.0,20.0,368,Brewery Vivant,Portland,CO
40,2519,Nonstop Hef Hop,American IPA,12.0,0.0,,67,Brewery Vivant,Portland,FL
41,2518,Nonstop Hef Hop,American Blonde Ale,12.0,0.05,,67,Brewery Vivant,Portland,CO
42,2517,Rod Bender Red,American Amber / Red Ale,12.0,0.0,,67,Brewery Vivant,Portland,CO
43,2545,Nonstop Hef Hop,American IPA,12.0,0.035,20.0,60,Brewery Vivant,Portland,CO
44,2544,Send Help,American Blonde Ale,12.0,0.0,20.0,60,Brewery Vivant,Portland,CO
45,2324,Nonstop Hef Hop,American IPA,12.0,0.055,,60,4 Hands Brewing Company,Portland,CO
46,2288,Nonstop Hef Hop,American Amber / Red Ale,12.0,0.06,,60,Brewery Vivant,Portland,CO
47,2287,Nonstop Hef Hop,American Black Ale,12.0,0.0,,60,Brewery Vivant,Saint Louis,MO
48,2286,Dkvided Sky,American IPA,12.0,0.065,,60,Brewery Vivant,Portland,CO
49,2285,Rasurrected,American IPA,12.0,0.065,,60,4 Hands Brewing Company,Portland,MO
50,1870,Nonstop Hef Hop,American Pale Wheat Ale,12.0,0.0,20.0,60,4 Hands Brewing Company,Portland,MO
51,2603,Galaxyfest,American IPA,12.0,0.0,,27,Brewery Vivant,Portland,IN
52,2602,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,27,Brewery Vivant,Portland,CO
53,2220,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,27,Brewery Vivant,Portland,CO
54,2219,Slarecrow,American IPA,12.0,0.0,20.0,27,Brewery Vivant,Portland,CO
55,2218,Nonstop Hef Hop,English Strong Ale,12.0,0.0,20.0,27,Brewery Vivant,Portland,CO
56,2217,Nonstop Hef Hop,Kölsch,12.0,0.046,,27,Brewery Vivant,Portland,CO
57,2216,Copperhead Amber,American IPA,12.0,0.0,20.0,27,Brewery Vivant,Portland,IN
58,972,Nonstop Hef Hop,American IPA,12.0,0.059,20.0,481,Brewery Vivant,Portland,CO
59,866,Nonstop Hef Hop,English Pale Ale,12.0,0.0,20.0,481,7 Seas Brewing Company,Portland,CO
60,48,Nonstop Hef Hop,American IPA,12.0,0.0,,481,Brewery Vivant,Portland,CO
61,47,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,481,7 Seas Brewing Company,Portland,CO
62,1583,Wolfman's Berliner,Berliner Weissbier,12.0,,,373,Brewery Vivant,Portland,FL
63,1165,Colorado Native,American Amber / Red Lager,12.0,,20.0,462,Brewery Vivant,Portland,CO
64,431,Nonstop Hef Hop,American Amber / Red Lager,12.0,,20.0,462,Brewery Vivant,Portland,CO
65,516,Nonstop Hef Hop,American IPA,12.0,0.065,,533,Brewery Vivant,Portland,LA
66,515,Pdrple Haze,American IPA,12.0,0.042,20.0,533,Brewery Vivant,Portland,LA
67,514,Aqita Amber,American Amber / Red Lager,12.0,0.045,20.0,533,Brewery Vivant,Portland,CO
68,2540,Nonstop Hef Hop,American IPA,12.0,,20.0,62,Brewery Vivant,Portland,KY
69,2539,Nonstop Hef Hop,American Brown Ale,12.0,0.0,20.0,62,Brewery Vivant,Portland,CO
70,2686,Nonstop Hef Hop,American IPA,12.0,0.08,,1,Brewery Vivant,Portland,CO
71,2685,London Balling,English Barleywine,12.0,0.0,20.0,1,Matt Brewing Company,Portland,CO
72,2684,Nonstop Hef Hop,Milk / Sweet Stout,12.0,0.077,,1,Brewery Vivant,Louisville,CO
73,2683,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,1,Brewery Vivant,Portland,KY
74,2682,Nonstop Hef Hop,American IPA,12.0,0.0,,1,Brewery Vivant,Lluisville,CO
75,2681,Fkesh Gourd'n,American IPA,12.0,0.066,20.0,1,Brewery Vivant,Portland,CO
76,2680,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,1,Brewery Vivant,Portland,CO
77,2679,Bloody Show,American Pilsner,12.0,0.0,,1,Brewery Vivant,Portland,KY
78,2678,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,1,Brewery Vivant,Louisville,CO
79,2677,Nonstop Hef Hop,Saison / Farmhouse Ale,12.0,0.0,,1,Brewery Vivant,Portland,CO
80,2676,Nonstop Hef Hop,American Wild Ale,12.0,0.0,,1,Brewery Vivant,Portland,KY
81,2675,Pile of Face,American IPA,12.0,0.0,20.0,1,Brewery Vivant,Portland,CO
82,2674,The Brown Note,American IPA,12.0,0.0,20.0,1,Brewery Vivant,Lyuisville,CO
83,1594,Nonstop Hef Hop,American Stout,12.0,0.053,20.0,367,Airways Brewing Company,Portland,WA
84,1162,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,367,Brewery Vivant,Portland,CO
85,1137,Pre Flight Pilsner,American Pilsner,12.0,0.052,,367,Airways Brewing Company,Portland,CO
86,2403,Nonstop Hef Hop,American IPA,12.0,0.0,,117,Brewery Vivant,Portland,CO
87,2402,Nonstop Hef Hop,American Pale Ale (APA),12.0,0.0,20.0,117,Alameda Brewing,Portland,CO
88,2401,Nonstop Hef Hop,American Double / Imperial IPA,12.0,0.082,20.0,117,Alameda Brewing,Portland,CO
89,1921,Nonstop Hef Hop,American Pale Ale (APA),12.0,0.0,20.0,270,Alaskan Brewing Company,Portland,AK
90,1920,Nonstop Hef Hop,American IPA,12.0,0.0,,270,Alaskan Brewing Company,Jvneau,CO
91,2501,Nonstop Hef Hop,American Pale Ale (APA),12.0,0.0,,73,Brewery Vivant,Portland,CO
92,1535,Kentucky Kölsch,Kölsch,12.0,0.043,,388,Brewery Vivant,Portland,KY
