id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
235295,Lkte repair of injuries of the anal sphincter,eng,Proc R Soc Med,,1932-6203,0.0,0.0,1/14/01,1187-9,{NULL}
498345,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,eng,Circulation,1537-6613,0.0,0.0,2/15/04,-,{NULL}
789958,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,eng,Circulation,1932-6203,0.0,0.0,1/14/01,-,{NULL}
169865,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,,Circulation,,0.0,0.0,1/14/01,"714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]-",{NULL}
803653,Diagnosis and Management of Cutaneous B-cell Lymphoma.,,Drrmatologic clinics,,,0.0,0.0,1/15/10,835-40,{NULL}
98234,"Pwegabalin, celecoxib, and their combination for treatment of chronic low-back pain",eng,eng,Circulation,,0.0,0.0,1/9/01,185-91,{NULL}
823730,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,eng,Circulation,0007-1420,0.0,0.0,1/1/73,-,{NULL}
729712,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,,Circulation,,0.0,0.0,1/14/01,-,{NULL}
396821,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,eng,Circulation,1932-6203,0.0,0.0,1/11/01,-,"{""L. J. Rapport"",""J. A. Griffen"",""L. A. Bieliauskas"",""C. Burt"",""R. C. Bryer""}"
340222,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,eng,,,0.0,0.0,1/14/01,158-61,{NULL}
184417,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,eng,,1361-9209,0.0,0.0,1/9/01,-,"{pJ. L. Li"",""P. Newcomb""}"
729686,Ldcal anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis,English,eng,Circulation,1940-5901,0.0,0.0,1/14/01,10213-10224,"{""Yang M"",""Li J"",""Li Y"",""Zhou M"",""Yang H"",""Shi X"",""Li X"",""Yuan H""}"
278396,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,,,0001-6349 (Print) 0001-6349,0.0,0.0,1/14/01,711-5,"{aT. S. Mikkola"",""S. Vuorento"",""O. Ylikorkala"",""M. Vaisanen-Tommiska"",""P. Rahkola-Soisalo""}"
965082,Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping,eng,eng,Circulation,,0.0,0.0,1/14/01,-,"{""C. Hamilton-Craig"",""S. Bartoletti"",""M. Casella"",""F. Perna"",""M. L. Narducci"",""P. Santangeli"",""F. Pintus"",""A. Natale"",""A. Dello Russo"",""G. Pelargonio"",""G. Bencardino"",""J. D. Burkhardt"",""F. Bellocci"",""L. Di Biase""}"
53321,Monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of proximal humeral fractures,eng,eng,Circulation,,0.0,0.0,1/14/01,1245-50,{NULL}
13601,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,eng,,1932-6203,0.0,0.0,1/14/01,919-21,{NULL}
668310,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,,,1178-1998,0.0,0.0,1/12/01,185-90,{NULL}
282987,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,,Circulation,1469-493X,0.0,0.0,1/5/01,Cd004797,"{""J. H. Littell"",""M. Popa"",""B. Forsythe""}"
478292,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,eng,,Jan-68,0.0,0.0,1/1/97,257-8,"{rY Takagi"",""N Hashimoto"",""Y Goto""}"
43736,Effect of pedaling technique on mechanical effectiveness and efficiency in cyclists.,eng,eng,Circulation,0195-9131,0.0,0.0,1/14/01,,"{""James C Martin"",""Ian Mayhew"",""Lee M Romer"",""Thomas Korff""}"
82614,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,eng,Circulation,,0.0,0.0,1/13/12,1304-16,{NULL}
163526,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,eng,Circulation,,0.0,0.0,1/11/01,512-9 ST  - A performance improvement process to tackle tachysystole-,{NULL}
514411,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,Cardiovascular and interventional radiology,Circulation,1932-6203,0.0,0.0,1/14/12,-,"{cLuca Maria Sconfienza"",""Ezio Lanza"",""Gianpaolo Cornalba"",""Dario Poretti"",""Catherine Cyteval"",""Pierre Viala"",""Francesco Sardanelli"",""Yann Thouvenin""}"
569841,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,eng,J. Clin. Oncol.,,0.0,0.0,5/20/09,-,"{""Ariela Noy"",""Lawrence D Kaplan"",""Yanxing Yu"",""Alexandra M Levine"",""Richard F Ambinder"",""Susan E Krown"",""Bruce J Dezube"",""Lan Lin"",""Jeannette Y Lee"",""Gary S Hayward""}"
6207,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,eng,,,0.0,0.0,1/14/01,785-794,"{""Kaija Leena Kolho"",""Hanne Rintamaki"",""Taina Tervahartiala"",""Timo Sorsa"",""Laura Makitalo""}"
21910,Eoamining waiting placement in hospital: utilization and the lived experience.,eng,eng,Circulation,,0.0,0.0,1/14/01,22-Dec,{NULL}
378490,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,eng,J Clin Psychiatry,,0.0,0.0,1/8/12,1892-900,"{dIsabella Soreca"",""Andrea Fagiolini"",""David J Kupfer"",""Bret H Goodpaster"",""Sara B Fleet-Michaliszyn"",""Amy D Otto"",""John M Jakicic""}"
971878,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,eng,Circulation,1932-6203,0.0,0.0,1/1/86,1074-1077,"{hS. Srikanta"",""O. P. Ganda"",""R. E. Gleason""}"
793918,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,eng,PhoS one,1932-6203,0.0,0.0,1/14/01,e75079,{NULL}
819166,"Rksponses to open peer commentaries on ""the subjective brain, identity, and neuroethics""",,eng,,15265161 (ISSN),0.0,0.0,1/14/01,W1-W4,{NULL}
880881,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,eng,Circulation,1598-9992,0.0,0.0,1/8/12,384-8,"{""Seung Woo Park"",""Jae Bock Chung"",""Sang Kyum Kim"",""Si Young Song"",""Joo Won Chung"",""Ho Keun Kim"",""Joo Hee Seo"",""Seungmin Bang""}"
629530,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,eng,,,0.0,0.0,1/7/09,2077-86,{NULL}
954388,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,,,,0.0,0.0,1/1/74,46,"{""Marilou Madden""}"
379737,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,eng,Circulation,1932-6203,0.0,0.0,5/1/00,625-7,{NULL}
676042,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,,Circulation,1532-8511,0.0,0.0,1/15/02,-,"{""Yan-Xin Zhao"",""Jun-Chao Xie"",""Xue-Yuan Liu"",""Han Yan""}"
353972,"Child sexual abuse as a risk factor for sexual risk behaviours among socially disadvantaged adolescents in Ibadan, Nigeria.",,eng,,1745-0128 1745-0136,0.0,0.0,1/8/01,243-248,{NULL}
968125,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",English,eng,Rbspiration,,0.0,0.0,1/14/01,144-147,"{""T. Nakajima"",""I. Yoshino"",""K. Yasufuku"",""S. Yoshida"",""Y. Sakairi"",""K. Shibuya""}"
660168,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,eng,Neurosurgery,1932-6203,0.0,0.0,1/9/02,,"{""R Loch Macdonald"",""Farbod Asgarzadie-Gadim"",""Yeon Gyoe Jang"",""Daniel J Curry"",""Rachel N Yanowitch"",""Kim E Schultheiss"",""Jocelyn Tolentino"",""J_rgen L_ders""}"
732534,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,eng,Health Facil Manage,0899-6210,0.0,0.0,1/14/01,"20-6, 28","{eK. Sandrick""}"
473026,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,Eyropean journal of emergency medicine : official journal of the European Society for Emergency Medicine,Eur J Emerg Med,,0.0,0.0,1/8/06,,{NULL}
372175,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,eng,,0360-3016,0.0,0.0,1/14/01,,{NULL}
110072,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,eng,,1932-6203,0.0,0.0,1/14/01,,"{""Jacques Van Hoecke"",""Hayat Banoujaafar"",""Christine Marie"",""Claude M Mossiat""}"
330553,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,eng,,0175-3851,0.0,0.0,1/14/01,655-663,"{bG. Peters"",""K. Becker"",""C. Von Eiff""}"
23215,ColoRectal Cancer Predicted Risk Online (CRC-PRO) calculator using data from the Multi-Ethnic Cohort Study.,eng,eng,Circulation,,0.0,0.0,1/14/01,-,{NULL}
719532,Mzthodology to estimate building energy consumption using EnergyPlus Benchmark Models,eng,eng,Circulation,0378-7788,0.0,0.0,1/10/01,-,{NULL}
86421,Evidence that serum levels of the soluble receptor for advanced glycation end products are inversely associated with pancreatic cancer risk: a prospective study.,eng,eng,Circulation,1538-7445,0.0,0.0,1/14/01,Sep-82,"{""Stephanie J Weinstein"",""Rachael Z Stolzenberg-Solomon"",""Philip R Taylor"",""Barry I Graubard"",""Jarmo Virtamo"",""Demetrius Albanes"",""Li Jiao""}"
433667,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",Ann Rheum Dis,eng,Circulation,1932-6203,0.0,0.0,1/14/01,,{NULL}
530323,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,eng,,,0.0,0.0,1/14/01,CD002843,"{tCatherine Mathews"",""Moleen Zunza"",""Adel Ferreira"",""Nicola Low"",""Taryn Young""}"
102893,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,Twe Journal of clinical psychiatry,Circulation,1555-2101,0.0,0.0,1/14/01,-,"{""Roger S McIntyre"",""Avnish Tripathi"",""Jeanette M Jerrell""}"
864817,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,eng,,,0.0,0.0,1/14/01,viii284,"{""B. Escudier"",""A. Ravaud"",""F. Rolland"",""A. Blesius"",""B. Beuzelink"",""S. Oudard"",""C. Chevreau""}"
217725,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,eng,,1932-6203,0.0,0.0,1/14/01,-,{NULL}
730822,"Prevention of phantom pain after major lower limb amputation by epidural infusion of diamorphine, clonidine and bupivacaine",eng,,Circulation,1932-6203,0.0,0.0,1/14/01,324-326,{NULL}
659297,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,American Journal Of Physical Medicine & Rehabilitation / Association Of Academic Physiatrists,Am J Phys Med Rehabil,1537-7385,0.0,0.0,1/14/01,984-98,{NULL}
