ID,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1,1.0,Pub Beer,American Pale Lager,12.0,0.05,20.0,408,10 Barrel Brewing Company,Bend,OR
2,1.0,Devil'Z Cuf,American Pale Ale (APA),12.0,0.066,20.0,177,18th Street Brewery,Gary,IN
3,1.0,Rise of the Phoenix,American IPA,12.0,0.071,20.0,177,18th Street Brewery,Gary,IN
4,1.0,Sinister,American Double / Imperial IPA,12.0,0.09,20.0,177,18th Street Brewery,Gary,IN
5,1.0,Sex and Candy,American IPA,12.0,0.075,20.0,177,18th Street Brewery,Gary,IN
6,1.0,Black Exodus,Oatmeal Stout,12.0,0.077,20.0,177,18th Street Brewery,Gary,IN
7,1.0,Lake Street Express,American IPA,12.0,0.045,20.0,10,18th Street Brewery,Gary,IN
8,1.0,Foreman,American Porter,12.0,0.065,20.0,177,18th Street Brewery,Gary,IN
9,1.0,Jade,American Pale Ale (APA),12.0,0.055,20.0,177,18th Street Brewery,Gary,IN
10,1.0,Cone Crusher,American Double / Imperial IPA,12.0,0.086,20.0,10,18th Street Brewery,Gary,IN
11,1.0,Sophomoric Saison,Saison / Farmhouse Ale,12.0,0.072,20.0,177,18th Street Brewery,Gary,IN
12,1.0,Regional Ring Of Fire,Saison / Farmhouse Ale,12.0,0.073,20.0,177,18th Street Brewery,Gary#####??,IN
13,1.0,Garce Selé,Saison / Farmhouse Ale,12.0,0.069,20.0,177,18th Street Brewery,Gary,IN
14,1.0,Troll Destroyer,Belgian IPA,12.0,0.085,20.0,177,18th Street Brewery,Gary,IN
15,1.0,Bitter Bitch,American Pale Ale (APA),12.0,0.061,20.0,177,8th Street Brewe,Gary,IN
16,1.0,Ginja Ninja,Cider,12.0,0.06,20.0,4,2 Towns Ciderhouse,Corvallis,OR
17,1.0,Cherried Away,Cider,12.0,0.06,20.0,154,2 Towns Ciderhouse,Corvallis,####OR^^
18,1.0,Rhubarbarian,Cider,12.0,0.06,20.0,154,2 Towns Ciderhouse,Corvallis,OR
19,1.0,Nonstop Hef Hop,Cider,12.0,0.06,20.0,154,2 Towns Ciderhouse,Corvallis,OR
20,1.0,He Said Baltic-Style Porter,Baltic Porter,12.0,0.082,20.0,368,21st Amendment Brewery,San Francisco,HU
