ID,id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
1,1266.0,Late repair of injuries of the anal sphincter,eng,PLoS One,Proceedings of the Royal Society of Medicine,0035-9157 (Print) 0035-9157,0.0,0.0,1/1/71,1187-9~^^!,{A. %%G. ParksJ. F. Mc??Partlin}
2,1266.0,Ebola Virus GP Gene Polyadenylation Versus RNA Editing.,ENG,The Journal of infectious diseases,J. Infect. Dis.,1537-6613,0.0,0.0,2/15/04,$,{Valentina A VolchkovaJaroslav VoracPhilip LawrenceLaurie Repiquet-PaireViktor E Volchkov}
3,1266.0,Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,eng,Indian journal of ophthalmology,Indian J Ophthalmol,0301-4738,0.0,0.0,1/6/12,283-4,{Jitendra JethaniShashikant ShettySucheta ParijaP Vijayalakshmi}
4,1266.0,[Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA],pol,PLoS One,PloS one,1943-1946,0.0,0.0,1/14/01,714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA]-,{NULL}
5,1266.0,Diagnosis and Management of Cutaneous B-cell Lymphoma.,eng,Dermatologic clinics,Dermatol Clin,1558-0520,0.0,0.0,1/15/10,-,{Lauren C Pinter-Brown}
6,1266.0,Pregabalin celecoxib and their combination for treatment of chronic low-back pain,eng,PLoS One,PloS one,1932-6203,0.0,0.0,1/9/01,185-91,{C. L. RomanoG. MineoC. BonoraD. Romano}
7,1266.0,Activation and blockade of beta adrenoceptors in common cardiac disorders,eng,PLoS One,PloS one,0007-1420,0.0,0.0,1/1/73,163-7,{B N PrichardJ W Black}
8,1266.0,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,English; ABSTRACT LANGUAGE:English,American journal of respiratory and critical care medicine,PloS one,1932-6203,0.0,0.0,1/1/07,43-49,{St_ber FMutz NWrigge HPutensen CZinserling JZech SVon Spiegel T}
9,1266.0,Awareness of deficits and on-road driving performance,English,Clinical Neuropsychologist,PloS one,1385-4046,0.0,0.0,1/11/01,1158-78,{L. J. RapportJ. A. GriffenL. A. BieliauskasC. BurtR. C. Bryer}
10,1266.0,A comparative evaluation of two head and neck immobilization devices using electronic portal imaging,eng,The British journal of radiology,PloS one,1932-6203,0.0,0.0,1/6/01,158-61,IK. FlemZngK. DonatoK. Leszczynski}
11,1266.0,Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects,eng,Transportation Research Part D-Transport and Environment,PloS one,1361-9209,0.0,0.0,1/9/01,317-325,{J. L. LiP. Newcomb}
12,1266.0,Local anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis,English,International journal of clinical and experimental medicine,Int J Clin Exp Med,1940-5901,0.0,0.0,1/15/01,10213-10224,{Yang MLi JLi YZhou MYUng HShi XLi XYuan H}
13,1266.0,Smoking is accom###panied by a s^^uppressed cervical nitric oxide release in women with high-risk human papillomavirus infection,eng,<title>SPECCHIO: a free spectral data management and processing system</title>,Usefulness of US cost-of-illness studies in healthcare decision making.,0001-6349 (Print) 0001-6349,0.0,0.0,1/13/01,Ann R Coll Surg Engl,{T. S. MikkolaS. VuorentoO. YlikorkalaM. Vaisanen-TommiskaP. Rahkola-Soisalo}
14,1266.0,Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping,eng,Heart Rhythm,PloS one,1547-5271,0.0,0.0,1/11/01,S40,Disruption of the gastroesophageal junction by central obesity and waist belt: role of raised intra-abdominal pressure.
15,1266.0, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,eng,PLoS One,PloS one,1932-6203,0.0,0.0,1/11/01,1245-50,{T. ToppC. KuhneS. RuchholtzU. LewanA. KrugerT. MullerR. Zettl}
16,1266.0,Latex allergy in atopic children.,eng,British Journal of Dermatology. ,PloS one,0007-0963,0.0,0.0,1/14/01,919-21,{R S LeverS A Holme}
17,1266.0, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,eng,Clinical Interventions In Aging,Clin Interv Aging,1178-1998,0.0,0.0,1/12/01,-,43t-40
18,1266.0, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,eng,Cochrane Database Syst Rev,PloS one,1469-493X,0.0,0.0,1/5/01,Cd004797,{J. H. LittellM. PopaB. Forsythe}
19,1266.0,Haemodynamic ischaemia in paediatric moyamoya disease associated with renovascular hypertension.,eng,Acta Neurochirurgica,PloS one,1932-6203,0.0,0.0,1/1/97,257-8,{Y TakagiN HashimotoY Goto}
20,1266.0,Effect of pedaling technique on mechanical effectiveness and efficiency in cyclists.,eng,Medicine and science in sports and exercise,Med Sci Sports Exerc,1932-6203,0.0,0.0,1/7/06,991-5,an MayhewLee
21,1266.0,Lycopene metabolite apo-10'-lycopenoic acid inhibits diethylnitrosamine-initiated high fat diet-promoted hepatic inflammation and tumorigenesis in mice.,eng,Cancer prevention research (Philadelphia Pa.),Cancer Prev Res (Phila),1940-6215,0.0,0.0,1/13/12,e$~!ng,{Lynne M AusmanMartin S ObinXiang-Dong WangChun LiuBlanche C IpDonald E SmithKang-Quan Hu}
22,1266.0,Aperformanceimprovementprocesstotackletachysystole,English,PLoS One,PloS one,1932-6203,0.0,0.0,1/11/01,512-9 ST  - A performance improvement process to tackle tachysystole-,{V. E. CN  - medline DA  - Sep-Oct DB  - MEDLINE DO  - http://dx.doi.org/10.1111/j.1552-6909.2011.01275.x DP  - Ovid Technologies von GruenigenA. M. BurkettJ. DoyleT. H. Kenny}
23,1266.0,Osteoid osteoma treated by percutaneous thermal ablation: when do we fail? A systematic review and guidelines for future reporting.,eng,Cardiovascular and interventional radiology,Cardiovasc Intervent Radiol,1432-086X,0.0,0.0,1/14/12,1530-9,{Luca Maria SconfienzaEzio LanzaGianpaolo CornalbaDario PorettiCatherine CytevalPierre VialaFrancesco SardanelliYann Thouvenin}
24,1266.0,Effects of chemotherapy in AIDS-associated non-Hodgkin's lymphoma on Kaposi's sarcoma herpesvirus DNA in blood.,eng,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,J. Clin. Oncol.,1527-7755,0.0,0.0,5/20/09,2496-502,{Ariela NoyLawrence D KaplanYanxing YuAlexandra M LevineRichard F AmbinderSusan E KrownBruce J DezubeLan LinJeannette Y LeeGary S Hayward}
25,1266.0, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,eng,Scandinavian Journal of Gastroenterology,PloS one,1932-6203,0.0,0.0,1/12/01,785-794,{Kaija Leena KolhoHanne RintamakiTaina TervahartialaTimo SorsaLaura Makitalo}
26,1266.0,Examining waiting placement in hospital: utilization and the lived experience.,eng,Global journal of health science,Glob J Health Sci,1916-9736,0.0,0.0,1/14/03,22-Dec,??PLoS ^^$One
27,1266.0,1/1/93,eng,The Journal of clinical psychiatry,J Clin Psychiatry,1555-2101,0.0,0.0,1/8/12,1892-900,{Isabella SorecaAndrea FagioliniDavid J KupferBret H GoodpasterSara B Fleet-MichaliszynAmy D OttoJohn M Jakicic}
28,1266.0,Diminished A-cell secretio??n in the early phase o##??f type I diabetes mellitus,English,Metabolism: Clinical and Experimental,PloS one,1932-6203,0.0,0.0,1/1/86,1074-1077,{S. SrikantaO. P. GandaR. E. Gleason}
29,1266.0,Strong stability and host specific bacterial community in faeces of ponies.,eng,PLoS One,PloS one,1932-6203,0.0,0.0,1/13/01,e75079,{Tina M BlackmoreKirsty DougalHilary J WorganEric PinlocheGemma CurtisC Jamie NewboldNeil R McEwanSusan E GirdwoodPat A HarrisCaroline McG ArgoAlex Dugdale}
30,1266.0,Responses to open peer commentaries on the subjective brain identity and neuroethics,English,American Journal of Bioethics,PloS one,1932-6203,0.0,0.0,1/9/01,W1-W4,{G.R. Gillett}
31,1266.0,[A case of giant Brunner's gland hyperplasia combined with adenomyomatous hyperplasia].,eng,The Korean journal of gastroenterology = Taehan Sohwagi Hakhoe chi,Korean J Gastroenterol,1598-9992,0.0,0.0,1/8/12,384-8,{Seung Woo ParkJae Bock ChungSang Kyum KimSi Young SongJoo Won ChungHo Keun KimJoo Hee SeoSeungmin Bang}
32,1266.0,Efficacy and safety of the low-molecular weight heparin enoxaparin compared with unfractionated heparin across the acute coronary syndrome spectrum: a meta-analysis.,eng,Branching enzyme deficiency: expanding the clinical spectrum.,PloS one,1932-6203,0.0,0.0,1/7/09,2077-86,{Carolyn H McCabeShaun G GoodmanFrans Van de WerfDavid A MorrowElliott M AntmanEugene BraunwaldKenneth W MahaffeyMarc CohenIan B MenownSabina A MurphyCharles Michael Gibson}
33,1266.0,Optimal Starting Age for School Attendance: FY76 Issue Analysis,English,PLoS One,PloS one,1932-6203,0.0,0.0,1/8/01,46,{Marilou Madden}
34,1266.0,Bone density and body composition in young women with chronic fatigue syndrome.,eng,PLoS One,PloS one,0077-8923,0.0,0.0,5/1/00,625-7,{F GatesP Clifton-BlighG FulcherL HoskinR Hansen}
35,1266.0,Prognostic value of morning blood pressure surge in clinical events: a meta-analysis of longitudinal studies.,eng,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,J Stroke Cerebrovasc Dis,1532-8511,0.0,0.0,1/15/02,362-9,{Yan-Xin ZhaoJun-Chao XieXue-Yuan LiuHan Yan}
36,1266.0,Child sexual abuse as a risk factor for sexual risk behaviours among socially disadvantaged adolescents in Ibadan Nigeria.,eng,Vulnerable Children and Youth Studies,PloS one,1745-0128 1745-0136,0.0,0.0,1/8/01,243-248,{B O Olley}
37,1266.0,Successful treatment of lung cancer by multimodal endobronchial interventions,English,Respiration; international review of thoracic diseases,Respiration,0025-7931,0.0,0.0,1/14/01,144-147,{T. NakajimaI. YoshinoK. YasufukuS. YoshidaY. SakairiK. Shibuya}
38,1266.0,Fat and neurosurgery: does obesity affect outcome after intracranial surgery?,eng,PLoS One,Neurosurgery,1524-4040,0.0,0.0,1/9/02,{Hisako HaraYukio SekiNoriyuki MuraiIsao KoshimaTakuya IidaMakoto MiharaTakeshi Todokoro},{R Loch MacdonaldFarbod Asgarzadie-GadimYeon Gyoe JangDaniel J CurryRachel N YanowitchKim E SchultheissJocelyn TolentinoJ_rgen L_ders}
39,1266.0,Out of harm's way: curbing violence in the ED,English,Health Facilities Management,Health Facil Manage,0899-6210,0.0,0.0,1/1/95,20-6 28,{K. Sandrick}
40,1266.0,nts.,eng,European journal of emergency medicine : official journal of the European Society for Emergency Medicine,Eur J Emerg Med,1473-5695,0.0,0.0,1/8/06,134-9,{Rich SinertShoma DesaiAntonia HippCarmen Lopez}
41,1266.0,Dosimetric analysis of proton pencil beam scanning radiation therapy versus dose painted intensity modulated radiation therapy for squamous cell carcinoma of the anal canal,eng,Int. J. Radiat. Oncol. Biol. Phys.,PloS one,0360-3016,0.0,0.0,1/14/01,-,{Kooy H.Hong T.S.Symonifka J.Depauw N.Wo J.Y.}
42,1266.0,Brain BDNF levels elevation induced by physical training is reduced after unilateral common carotid artery occlusion in rats.,eng,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,J. Cereb. Blood Flow Metab.,1559-7016,0.0,0.0,1/14/10,1/12/07,{Jacques Van HoeckeHayat BanoujaafarChristine MarieClaude M Mossiat}
43,1266.0, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,eng,Intensivmedizin und Notfallmedizin,PloS one,0175-3851,0.0,0.0,1/1/97,655-663,{G. PetersK. BeckerC. Von Eiff}
44,1266.0,ColoRectal Cancer Predicted Risk Online (CRC-PRO) calculator using data from the Multi-Ethnic Cohort Study.,eng,Journal of the American Board of Family Medicine : JABFM,J Am Board Fam Med,1557-2625,0.0,0.0,1/14/01,42-55,{Leila JacksonBrian J WellsGregory S CooperSiran KoroukianMichael W Kattan}
45,1266.0, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,eng,Energy and Buildings,PloS one,0378-7788,0.0,0.0,1/10/01,2331-2337,{R. LuckP. MagoN. Fumo}
46,1266.0,Evidence that serum levels of the soluble receptor for advanced glycation end products are inversely associated with pancreatic cancer risk: a prospective study.,eng,Cancer research,Cancer Res.,1538-7445,0.0,0.0,5/15/11,-,{Stephanie J WeinsteinRachael Z Stolzenberg-SolomonPhilip R TaylorBarry I GraubardJarmo VirtamoDemetrius AlbanesLi Jiao}
47,1266.0,Norton Waterlow and Braden scores: a review of the literature and a comparison between the scores and clinical judgement,eng,PLoS One,PloS one,1932-6203,0.0,0.0,1/14/01,-,{NULL}
48,1266.0,Strategies for partner notification for sexually transmitted infections including HIV.,eng,Cochrane Database Syst. Rev.,PloS one,1469-493X,0.0,0.0,1/13/01,CD002843,{Catherine MathewsMoleen ZunzaAdel FerreiraNicola LowTaryn Young}
49,1266.0,A cohort study of the prevalence and impact of comorbid medical conditions in pediatric bipolar disorder.,eng,The Journal of clinical psychiatry,J Clin Psychiatry,1555-2101,0.0,0.0,1/10/11,1518-25,{Roger S McIntyreAvnish TripathiJeanette M Jerrell}
50,1266.0,289-318,eng,Annals of Oncology,PloS one,1932-6203,0.0,0.0,1/10/01,viii284,{B. EscudierA. RavaudF. RollandA. BlesiusB. BeuzelinkS. OudardC. Chevreau}
51,1266.0,Use of alendronate in peri-implant defect regeneration,English,PLoS One,PloS one,1932-6203,0.0,0.0,1/1/99,151-158,{P. C. WollanS. J. MerawC. M. Reeve}
52,1266.0,Prevention of phantom pain after major lower l??imb amputation by epidural i%nfusio#n of diamorphine clonidine and bupivacaine,English; ABSTRACT LANGUAGE:English,Annals of the Royal College of Surgeons of England,Ann R Coll Surg Engl,0035-8843,0.0,0.0,1/1/94,324-326,{Jayatunga APDark CHJahangiri MBradley JWP}
53,1266.0,How assistive technology use by individuals with disabilities impacts their caregivers: a systematic review of the research evidence.,eng,American Journal Of Physical Medicine & Rehabilitation / Association Of Academic Physiatrists,Am J Phys Med Rehabil,1537-7385,0.0,0.0,1/12/11,984-98,{James LenkerW Ben MortensonFrank DeRuyterLouise DemersJeffrey W JutaiMarcus J Fuhrer}
54,1266.0,Gender differences in personal social and environmental influences on active travel to and from school for Australian adolescents.,eng,Journal of science and medicine in sport / Sports Medicine Australia,PloS one,1878-1861,0.0,0.0,1/10/11,597-601,{John W ToumbourouEva LesliePeter KremerJoanne W Williams}
