ID,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1,aa,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
2,airtravelcenter,UA-664-ORD-PHL,4:55 p.m.,5:08 @@p.m.,8:05 p.m.,7#:55# p.m.
3,allegiantair,AA-1007-MIA-PHX,6:00 a.m.,5:08 p.m.,8:05 $p.m.,7:55 p.m.
4,boston,AA-1007-MIA-PHX,4:55@@ p.m#.,7:39 a.m.,8$:05 p.#m.,7:55 p.m.
5,businesstra$vell%ogue,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
6,flightaware,AA-1007-MIA-PHX,4:5%5 ??p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
7,flightexplorer,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
8,flights,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
9,flightst@@at#s,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.$#m.,8:05 p.m.,7??:55 p.m.
10,flightview,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:0$5 p.m.,7:55 p.m.
11,flylou$isville,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
12,flytecomm,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
13,foxbusiness,AA-1007??-??MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
14,gofox,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
15,helloflight,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
16,myrateplan,AA-1007-MIA-??PHX,4:55 p.m.,7:39 a.m.,8:0#5?? p.m.,7:55 p.m.
17,mytripandmore,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
18,orbitz,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,2:35 p.m.,7:55 p.m.
19,panynj,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
20,quicktrip,UA-664-ORD-PHL,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
21,wundergr$ound,AA-#10@@07-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:5??5 p.m.
22,aa,UA-664-ORD-PHL,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
23,airtravelcenter,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,2:35 p.m.,10:04 a.m.
24,allegia?#?ntair,AA-1165-JFK-MIA,6:5??$9 a.m.,7:22 a.m.,10??:34 a.m.,??@@10:04 a.m.
25,boston,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
26,businesstravellogue,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,1??0:04 a.m.#
27,flightaware,UA-664-ORD-PHL,6:00 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
28,flightexplorer,AA-1165-JFK-MIA,6:59 a.m.,7:$22 a.m.,10:34 a.m.,10:04 a.m.
29,flights,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
30,flightstats,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,$10:??04 a.m.
31,flightview,AA-1165-JFK-MIA,6:59 a.m.,7:39 a.m.,10:34 a.m.,10:04 a.m.
32,flylouisville,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,2:35 p.m.,10:04 a.m.
33,flytecomm,AA-1165-JFK-MIA,6:00 a.m.,7:22 a.m.,10:34 %a%.m.,10:04 a.m.
34,foxbusiness,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.#,10:34 a$.m.,10:04 a.m.
35,gofox,UA-664-ORD-PHL,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
36,helloflight,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
37,mia,AA@@-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10$:04 a.m%.
38,myrateplan,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
39,mytripandmore,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
