task_name,num,dataset_id,error_rate,m,n,anomaly,missing,format,knowledge,cleaning_method,cluster_method,parameters,Silhouette Score,Davies-Bouldin Score,Combined Score
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,mode,KMEANS,k=49,0.36174928808642604,0.9615447428488322,0.7008712471327552
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,bigdansing,KMEANSNF,k=8,0.2574046645463351,1.3212950390780291,0.5071189502216381
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,bigdansing,GMM,"n_components=15, covariance type=spherical",0.15777616919516657,1.2690401513670575,0.47288665072756847
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,bigdansing,HC,"k=5, linkage=single, metric=euclidean",0.4531862217329248,0.35147427154258964,1.6491723449183433
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,bigdansing,KMEANS,k=32,0.24868735854912327,1.2278044491662286,0.5315746518773548
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,bigdansing,KMEANSPPS,k=29,0.21553831922236666,1.2875628385183677,0.496099721073615
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,boostclean,KMEANSNF,k=8,0.18097033596122075,1.5194642208313354,0.4195485267258646
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,boostclean,GMM,"n_components=27, covariance type=spherical",0.20583834673242082,1.258516328205386,0.5002123898260937
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,boostclean,HC,"k=5, linkage=single, metric=manhattan",0.4602672163279645,0.390217390443045,1.5114706583459592
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,boostclean,KMEANS,k=27,0.22814511585754857,1.2589749418068124,0.5112210502430273
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,boostclean,KMEANSPPS,k=24,0.1953664920764636,1.3599160337845244,0.4653530047427783
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,holoclean,KMEANSNF,k=13,0.2146092936056527,1.3351254755700028,0.48180128337291045
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,holoclean,GMM,"n_components=9, covariance type=tied",0.2551435729423505,1.2591675882088311,0.5246595170339124
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,holoclean,HC,"k=5, linkage=single, metric=euclidean",0.5925452921669289,0.3104499957472616,1.9068379765692527
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,holoclean,KMEANS,k=44,0.20452632148533295,1.376638283644929,0.4654667748947796
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,holoclean,KMEANSPPS,k=9,0.24183344393475845,1.2977975122533185,0.5061848360446425
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,horizon,KMEANSNF,k=24,0.19603575514104957,1.3748616321908216,0.46169083802928557
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,horizon,GMM,"n_components=18, covariance type=spherical",0.19069696721817253,1.3040661004387588,0.47876463086709165
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,horizon,HC,"k=5, linkage=single, metric=euclidean",0.45663225698354787,0.3326867651376599,1.7312313400214807
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,horizon,KMEANS,k=31,0.2290111627928222,1.2452168691889087,0.5160420626084612
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,horizon,KMEANSPPS,k=25,0.20219295952570926,1.3960600046452165,0.45924727438222057
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,scared,KMEANSNF,k=7,0.2637206859480768,1.3450501950898097,0.5035936818674726
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,scared,GMM,"n_components=9, covariance type=spherical",0.2607843092525162,1.0697419420103906,0.5977946003603559
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,scared,HC,"k=18, linkage=single, metric=euclidean",0.33022277102798586,0.43944261630544734,1.302916371756976
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,scared,KMEANS,k=26,0.26234964022931556,1.1462922821873187,0.5673637465950104
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,scared,KMEANSPPS,k=19,0.2669405892160497,1.1976388713509494,0.550958413907288
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,baran,KMEANSNF,k=7,0.19652941928727183,1.5004299573134292,0.43150252428662467
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,baran,GMM,"n_components=24, covariance type=spherical",0.19558430791726117,1.225624284759536,0.5057475169662252
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,baran,HC,"k=5, linkage=single, metric=manhattan",0.43297967680736954,0.39914641837476605,1.4691629853553396
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,baran,KMEANS,k=33,0.23781082972799325,1.2305629524976505,0.5252235142226352
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,baran,KMEANSPPS,k=28,0.21985616931706284,1.2814499469551097,0.5001110966349761
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,Unified,KMEANSNF,k=30,0.21592827784008614,1.3280761548048388,0.4844485733337271
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,Unified,GMM,"n_components=8, covariance type=tied",0.26194969223993503,1.4321552746345154,0.4800990010602197
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,Unified,HC,"k=5, linkage=single, metric=euclidean",0.5040522864095922,0.37532702096933546,1.5841977484057188
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,Unified,KMEANS,k=30,0.24204467639069757,1.2630785958617423,0.5168805228231013
beers,1,42,9.228215767634856,11,2410,0.0,5.0,,,Unified,KMEANSPPS,k=29,0.235902586324241,1.2300754177357478,0.5244304348397677
beers,2,36,13.937759336099584,11,2410,0.0,10.0,,,mode,KMEANS,k=49,0.4645130693577963,0.8480877080870649,0.8218181982098945
beers,2,36,13.937759336099584,11,2410,0.0,10.0,,,bigdansing,KMEANSNF,k=23,0.20736606846368622,1.3591897610161963,0.4715492544910185
beers,2,36,13.937759336099584,11,2410,0.0,10.0,,,bigdansing,GMM,"n_components=6, covariance type=spherical",0.2515987011203271,1.3647415144746002,0.49216909508463536
beers,2,36,13.937759336099584,11,2410,0.0,10.0,,,bigdansing,HC,"k=9, linkage=single, metric=euclidean",0.3181380223693317,0.38405970778701365,1.4609499163206008
beers,2,36,13.937759336099584,11,2410,0.0,10.0,,,bigdansing,KMEANS,k=28,0.22849443678511538,1.2803972907036179,0.5047510125119865
beers,2,36,13.937759336099584,11,2410,0.0,10.0,,,bigdansing,KMEANSPPS,k=8,0.2350933350368306,1.3482333023378827,0.488402363734332
beers,2,36,13.937759336099584,11,2410,0.0,10.0,,,boostclean,KMEANSNF,k=22,0.21049829857888663,1.3323047275449975,0.4805386680178927
beers,2,36,13.937759336099584,11,2410,0.0,10.0,,,boostclean,GMM,"n_components=6, covariance type=tied",0.26880514191480953,1.1486927840365118,0.569679963614994
beers,2,36,13.937759336099584,11,2410,0.0,10.0,,,boostclean,HC,"k=5, linkage=single, metric=euclidean",0.5342492070853775,0.38188018111397193,1.5764358082809502
beers,2,36,13.937759336099584,11,2410,0.0,10.0,,,boostclean,KMEANS,k=24,0.23266537279185595,1.2137649171238385,0.528274070551939
beers,2,36,13.937759336099584,11,2410,0.0,10.0,,,boostclean,KMEANSPPS,k=8,0.17157696045526458,1.5241781371474281,0.41383412516502377
beers,2,36,13.937759336099584,11,2410,0.0,10.0,,,holoclean,KMEANSNF,k=8,0.1991560477538367,1.4488034306801238,0.4446904037981067
beers,2,36,13.937759336099584,11,2410,0.0,10.0,,,holoclean,GMM,"n_components=28, covariance type=spherical",0.16235800147964216,1.4433319195416097,0.4275996633957096
beers,2,36,13.937759336099584,11,2410,0.0,10.0,,,holoclean,HC,"k=5, linkage=single, metric=manhattan",0.47190758907286307,0.3985045282146312,1.490644681588797
beers,2,36,13.937759336099584,11,2410,0.0,10.0,,,holoclean,KMEANS,k=41,0.20105602964413463,1.3404993989787526,0.4735233331198006
beers,2,36,13.937759336099584,11,2410,0.0,10.0,,,holoclean,KMEANSPPS,k=38,0.18239761790647555,1.4532113512255644,0.43526438453405436
beers,2,36,13.937759336099584,11,2410,0.0,10.0,,,horizon,KMEANSNF,k=24,0.22162652382096612,1.234795262076202,0.5157386899197329
beers,2,36,13.937759336099584,11,2410,0.0,10.0,,,horizon,GMM,"n_components=20, covariance type=tied",0.24451633658245336,1.1415691605150133,0.5602517803247082
beers,2,36,13.937759336099584,11,2410,0.0,10.0,,,horizon,HC,"k=5, linkage=single, metric=manhattan",0.4731232039261992,0.3859933875604924,1.5319205798980278
beers,2,36,13.937759336099584,11,2410,0.0,10.0,,,horizon,KMEANS,k=26,0.23079518122010179,1.1937859898910888,0.5342331308442062
beers,2,36,13.937759336099584,11,2410,0.0,10.0,,,horizon,KMEANSPPS,k=13,0.24752149177691826,1.253710953881011,0.5225767556331221
beers,2,36,13.937759336099584,11,2410,0.0,10.0,,,scared,KMEANSNF,k=10,0.1988033038583382,1.2515775689366193,0.4988974661796723
beers,2,36,13.937759336099584,11,2410,0.0,10.0,,,scared,GMM,"n_components=12, covariance type=tied",0.27941371857105746,1.1648722862357352,0.5689384633918821
