task_name,num,dataset_id,error_rate,m,n,anomaly,missing,format,knowledge,cleaning_method,cluster_method,parameters,Silhouette Score,Davies-Bouldin Score,Combined Score
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,mode,KMEANS,k=39,0.5013333032286724,0.8111817917697169,0.8670512956892157
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,bigdansing,KMEANSNF,k=42,0.46306857176461014,0.8855239838407808,0.7961717311961535
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,bigdansing,GMM,"n_components=29, covariance type=tied",0.4785894454037095,0.9853055968095014,0.7467514971473062
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,bigdansing,HC,"k=47, linkage=average, metric=euclidean",0.5034330034395947,0.703311606571878,0.9626389368508326
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,bigdansing,KMEANS,k=43,0.49488341221342086,0.796499548921109,0.8751884520744518
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,bigdansing,KMEANSPPS,k=38,0.4504360648295735,0.8593369988482856,0.8070619430925744
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,boostclean,KMEANSNF,k=7,0.3503760627853249,1.2128188422919994,0.587450755687986
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,boostclean,GMM,"n_components=22, covariance type=spherical",0.370705857596849,0.9299351044228924,0.7230248562500659
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,boostclean,HC,"k=41, linkage=average, metric=euclidean",0.4362322490370463,0.5964172778006426,1.0564553521207274
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,boostclean,KMEANS,k=38,0.4210315854005883,0.8347620759855401,0.8094888586600625
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,boostclean,KMEANSPPS,k=37,0.3924702701143445,0.9352517839447523,0.7308505280276885
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,holoclean,KMEANSNF,k=47,0.3310824115158528,1.068657511845601,0.6334179524777303
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,holoclean,GMM,"n_components=9, covariance type=tied",0.4067502929089809,1.0522051642036843,0.6785676440872153
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,holoclean,HC,"k=5, linkage=single, metric=euclidean",0.40247067313014245,0.37292471206777866,1.541988533712075
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,holoclean,KMEANS,k=46,0.4319941527019161,0.8005544594979201,0.8405642048803308
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,holoclean,KMEANSPPS,k=27,0.35891439370133055,1.003541339894257,0.677692775319894
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,horizon,KMEANSNF,k=37,0.39392855006757765,0.9655646173925219,0.7147960089163279
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,horizon,GMM,"n_components=30, covariance type=spherical",0.38138846085482164,0.8835108428876626,0.7566182414625243
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,horizon,HC,"k=5, linkage=average, metric=euclidean",0.5116070649041442,0.4919007474921237,1.2722687493666003
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,horizon,KMEANS,k=43,0.4533914757817331,0.8451898303361888,0.8182788143236679
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,horizon,KMEANSPPS,k=9,0.31834323867675846,0.953063180795114,0.6837958101321774
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,scared,KMEANSNF,k=37,0.35450008397820887,1.0041307113554112,0.6751931826038181
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,scared,GMM,"n_components=13, covariance type=spherical",0.37870967447837406,0.8101414146328427,0.8065310375530553
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,scared,HC,"k=5, linkage=single, metric=euclidean",0.47345880632697834,0.4700625026742184,1.3004177364286722
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,scared,KMEANS,k=33,0.38916420771842414,0.8448207394366702,0.786423635038243
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,scared,KMEANSPPS,k=17,0.32587047609111913,1.0361581138528098,0.6454870738274747
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,baran,KMEANSNF,k=39,0.3787312651014706,0.98316662699799,0.6979264260824529
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,baran,GMM,"n_components=29, covariance type=spherical",0.4624239872589579,0.8457015778727789,0.8224370936909765
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,baran,HC,"k=47, linkage=average, metric=euclidean",0.49096798283821397,0.4672097133031667,1.3156672212689455
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,baran,KMEANS,k=45,0.46011291643039987,0.7504796152171467,0.8962970726992163
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,baran,KMEANSPPS,k=39,0.33337634991963583,1.0021227484059412,0.6656290490147589
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,Unified,KMEANSNF,k=8,0.3228617773292077,1.0542627821471087,0.6356959471177738
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,Unified,GMM,"n_components=23, covariance type=spherical",0.37167802018899254,0.9343679874496612,0.7209600830721141
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,Unified,HC,"k=7, linkage=single, metric=euclidean",0.3772532524849593,0.5108028615111936,1.167477838079403
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,Unified,KMEANS,k=41,0.39543480235731465,0.9101393403722978,0.7470838309337672
flights,1,1,4.994388327721661,7,2376,0.0,5.0,,,Unified,KMEANSPPS,k=6,0.3921258119345671,0.9433014185145391,0.7261161743990998
