task_name,num,dataset_id,error_rate,m,n,anomaly,missing,format,knowledge,cleaning_method,cluster_method,parameters,Silhouette Score,Davies-Bouldin Score,Combined Score
hospital,1,27,5.0,20,1000,0.0,5.0,,,mode,KMEANS,k=30,0.25913092505011753,1.369460628297083,0.4946727096182062
hospital,1,27,5.0,20,1000,0.0,5.0,,,bigdansing,KMEANSNF,k=17,0.18372146248300575,1.5682627743598707,0.41068485190207815
hospital,1,27,5.0,20,1000,0.0,5.0,,,bigdansing,GMM,"n_components=20, covariance type=spherical",0.17320193782543375,1.2728651849849861,0.47941554652715423
hospital,1,27,5.0,20,1000,0.0,5.0,,,bigdansing,HC,"k=5, linkage=single, metric=manhattan",0.5273990081797032,0.4322834511372723,1.4203479917536188
hospital,1,27,5.0,20,1000,0.0,5.0,,,bigdansing,KMEANS,k=25,0.21965966007529036,1.3675076730070017,0.4754584914846073
hospital,1,27,5.0,20,1000,0.0,5.0,,,bigdansing,KMEANSPPS,k=24,0.19847912102745113,1.3323505285690673,0.4745161782495969
hospital,1,27,5.0,20,1000,0.0,5.0,,,boostclean,KMEANSNF,k=8,0.20889836916255092,1.4883900995029617,0.4403826204237819
hospital,1,27,5.0,20,1000,0.0,5.0,,,boostclean,GMM,"n_components=13, covariance type=tied",0.280019328028807,1.0971439348737042,0.595738383015668
hospital,1,27,5.0,20,1000,0.0,5.0,,,boostclean,HC,"k=5, linkage=single, metric=euclidean",0.6871506417196017,0.27647055564312795,2.1520861723567934
hospital,1,27,5.0,20,1000,0.0,5.0,,,boostclean,KMEANS,k=19,0.2996791976915204,1.09217151012188,0.6076431538425418
hospital,1,27,5.0,20,1000,0.0,5.0,,,boostclean,KMEANSPPS,k=12,0.21215479229636414,1.3406682552272784,0.47902573594103925
hospital,1,27,5.0,20,1000,0.0,5.0,,,holoclean,KMEANSNF,k=21,0.30385391171694637,1.1265630423795394,0.5957547588226946
hospital,1,27,5.0,20,1000,0.0,5.0,,,holoclean,GMM,"n_components=26, covariance type=spherical",0.34862221694041956,0.9976384914560589,0.6754946577038077
hospital,1,27,5.0,20,1000,0.0,5.0,,,holoclean,HC,"k=6, linkage=single, metric=euclidean",0.5984620922386692,0.2939055986461773,2.000457570224895
hospital,1,27,5.0,20,1000,0.0,5.0,,,holoclean,KMEANS,k=28,0.33621673328313983,0.9849631943540579,0.6757415481310586
hospital,1,27,5.0,20,1000,0.0,5.0,,,holoclean,KMEANSPPS,k=19,0.25971355245046507,1.2280092776274878,0.5370198238579014
hospital,1,27,5.0,20,1000,0.0,5.0,,,horizon,KMEANSNF,k=13,0.22745926394740917,1.2672129421654714,0.5082963092565116
hospital,1,27,5.0,20,1000,0.0,5.0,,,horizon,GMM,"n_components=9, covariance type=tied",0.29505416740400725,1.0529221297786502,0.6223960088191081
hospital,1,27,5.0,20,1000,0.0,5.0,,,horizon,HC,"k=5, linkage=single, metric=manhattan",0.5264408933155024,0.40794129199755175,1.4888870065484345
hospital,1,27,5.0,20,1000,0.0,5.0,,,horizon,KMEANS,k=24,0.3102830514866955,1.0770290163046767,0.6193815716759234
hospital,1,27,5.0,20,1000,0.0,5.0,,,horizon,KMEANSPPS,k=17,0.24000647838310987,1.159748512751243,0.5511311902107481
hospital,1,27,5.0,20,1000,0.0,5.0,,,scared,KMEANSNF,k=18,0.19509204616518738,1.4673503138079949,0.4382962824411955
hospital,1,27,5.0,20,1000,0.0,5.0,,,scared,GMM,"n_components=11, covariance type=diag",0.19674418194850446,1.2692120157599087,0.49231730563615217
hospital,1,27,5.0,20,1000,0.0,5.0,,,scared,HC,"k=5, linkage=single, metric=manhattan",0.47200070925385945,0.41857231430256736,1.430537076036966
hospital,1,27,5.0,20,1000,0.0,5.0,,,scared,KMEANS,k=19,0.24244620196049552,1.2282714130991372,0.528299252608995
hospital,1,27,5.0,20,1000,0.0,5.0,,,scared,KMEANSPPS,k=10,0.21538190601921653,1.3028313552345128,0.49147047903275864
hospital,1,27,5.0,20,1000,0.0,5.0,,,baran,KMEANSNF,k=27,0.27916599098004563,1.0758242144839119,0.6043429379308584
hospital,1,27,5.0,20,1000,0.0,5.0,,,baran,GMM,"n_components=27, covariance type=spherical",0.31537363376772837,1.0168164317404271,0.6494176587470099
hospital,1,27,5.0,20,1000,0.0,5.0,,,baran,HC,"k=6, linkage=single, metric=euclidean",0.6083844938910389,0.2841442725268686,2.0638617118745377
hospital,1,27,5.0,20,1000,0.0,5.0,,,baran,KMEANS,k=25,0.31550908277931106,0.9870750100677429,0.6643016577690734
hospital,1,27,5.0,20,1000,0.0,5.0,,,baran,KMEANSPPS,k=11,0.24440082820236678,1.1104651747007026,0.5724621705175988
hospital,1,27,5.0,20,1000,0.0,5.0,,,Unified,KMEANSNF,k=9,0.17904011606693626,1.3673333515016206,0.45519533352564745
hospital,1,27,5.0,20,1000,0.0,5.0,,,Unified,GMM,"n_components=18, covariance type=spherical",0.27984551647216144,1.0981958215554009,0.5952149658606172
hospital,1,27,5.0,20,1000,0.0,5.0,,,Unified,HC,"k=5, linkage=single, metric=euclidean",0.526675493414513,0.3602445953798004,1.6512836212952084
hospital,1,27,5.0,20,1000,0.0,5.0,,,Unified,KMEANS,k=19,0.2947888672215273,1.0968269376131163,0.6032548641433013
hospital,1,27,5.0,20,1000,0.0,5.0,,,Unified,KMEANSPPS,k=15,0.24286173617315182,1.200220028201146,0.5380211500779414
hospital,2,15,10.0,20,1000,0.0,10.0,,,mode,KMEANS,k=31,0.193182726881305,1.5667226430830972,0.41572889694566906
hospital,2,15,10.0,20,1000,0.0,10.0,,,bigdansing,KMEANSNF,k=20,0.17131878745511583,1.4359216591497717,0.43386780524776347
hospital,2,15,10.0,20,1000,0.0,10.0,,,bigdansing,GMM,"n_components=12, covariance type=full",0.17405621781793906,1.3519408160904895,0.45686678383402146
hospital,2,15,10.0,20,1000,0.0,10.0,,,bigdansing,HC,"k=12, linkage=single, metric=euclidean",0.1700372964551445,0.4889094116852692,1.1077029902542508
hospital,2,15,10.0,20,1000,0.0,10.0,,,bigdansing,KMEANS,k=22,0.16819905158210363,1.4637226913441252,0.4256942847961567
hospital,2,15,10.0,20,1000,0.0,10.0,,,bigdansing,KMEANSPPS,k=18,0.14679165868773367,1.6078266660719038,0.3843746248514414
hospital,2,15,10.0,20,1000,0.0,10.0,,,boostclean,KMEANSNF,k=11,0.16137943743761074,1.337480751868519,0.4545268743574777
hospital,2,15,10.0,20,1000,0.0,10.0,,,boostclean,GMM,"n_components=11, covariance type=spherical",0.17186042574350852,1.2407965842495605,0.48889715068163087
hospital,2,15,10.0,20,1000,0.0,10.0,,,boostclean,HC,"k=5, linkage=single, metric=manhattan",0.23853474662449778,0.5885899445691234,0.9687552121947572
hospital,2,15,10.0,20,1000,0.0,10.0,,,boostclean,KMEANS,k=12,0.2084847478213501,1.289227239660279,0.49207159797497085
hospital,2,15,10.0,20,1000,0.0,10.0,,,boostclean,KMEANSPPS,k=11,0.1648186229141679,1.4754959244670778,0.4212784277378293
hospital,2,15,10.0,20,1000,0.0,10.0,,,holoclean,KMEANSNF,k=24,0.2584967315242543,1.2013747646365551,0.5454382298394387
hospital,2,15,10.0,20,1000,0.0,10.0,,,holoclean,GMM,"n_components=23, covariance type=spherical",0.32146170360531945,0.9453871040424573,0.6896147321327484
hospital,2,15,10.0,20,1000,0.0,10.0,,,holoclean,HC,"k=5, linkage=single, metric=euclidean",0.611276698097825,0.29457279237040845,2.0030116739121215
hospital,2,15,10.0,20,1000,0.0,10.0,,,holoclean,KMEANS,k=29,0.33584853184746766,0.9766907533981652,0.6798570330359113
hospital,2,15,10.0,20,1000,0.0,10.0,,,holoclean,KMEANSPPS,k=29,0.29882637318649785,1.0860847214501348,0.6097824286284399
hospital,2,15,10.0,20,1000,0.0,10.0,,,horizon,KMEANSNF,k=12,0.1859785726046996,1.371811135562723,0.4574709463778804
hospital,2,15,10.0,20,1000,0.0,10.0,,,horizon,GMM,"n_components=8, covariance type=full",0.2990639393578801,0.9339334594754787,0.6849020165780124
hospital,2,15,10.0,20,1000,0.0,10.0,,,horizon,HC,"k=5, linkage=complete, metric=manhattan",0.5652868792480822,0.495521357932122,1.291681681863625
hospital,2,15,10.0,20,1000,0.0,10.0,,,horizon,KMEANS,k=20,0.29419066348694584,1.082081935148405,0.6091675498989549
hospital,2,15,10.0,20,1000,0.0,10.0,,,horizon,KMEANSPPS,k=8,0.1885571526804511,1.2854257770070534,0.48325474979474026
hospital,2,15,10.0,20,1000,0.0,10.0,,,scared,KMEANSNF,k=8,0.1382978842608783,1.4455345688617214,0.4150417424622378
hospital,2,15,10.0,20,1000,0.0,10.0,,,scared,GMM,"n_components=7, covariance type=spherical",0.21443031694518824,1.2324390912990506,0.5129147208525701
hospital,2,15,10.0,20,1000,0.0,10.0,,,scared,HC,"k=5, linkage=single, metric=euclidean",0.317002716102375,0.6191099032574867,0.9661124096095904
hospital,2,15,10.0,20,1000,0.0,10.0,,,scared,KMEANS,k=8,0.22299895503988473,1.1695594952708568,0.5390108628079611
hospital,2,15,10.0,20,1000,0.0,10.0,,,scared,KMEANSPPS,k=6,0.18798721804796192,1.374678177354671,0.4577151027063518
