task_name,num,dataset_id,error_rate,m,n,anomaly,missing,format,knowledge,cleaning_method,cluster_method,parameters,Silhouette Score,Davies-Bouldin Score,Combined Score
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,,,mode,KMEANS,k=22,0.6185947805790017,0.8978445986521401,0.8661866345424692
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,,,bigdansing,KMEANSNF,k=14,0.5367362905519591,0.6632934123543723,1.022182355830613
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,,,bigdansing,GMM,"n_components=9, covariance type=diag",0.5892839951811187,0.3871522599711523,1.5861235455408573
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,,,bigdansing,HC,"k=6, linkage=single, metric=manhattan",0.7334483843859475,0.20021244039962996,2.8640715048873555
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,,,bigdansing,KMEANS,k=14,0.6041781085381839,0.43466069904471505,1.4524115957339305
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,,,bigdansing,KMEANSPPS,k=17,0.5979775808862763,1.073798453511272,0.7646255199104072
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,,,holoclean,KMEANSNF,k=8,0.412641606781387,1.16461836441906,0.6356459928912147
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,,,holoclean,GMM,"n_components=12, covariance type=tied",0.46091927995747134,0.691046109136257,0.9540003609082742
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,,,holoclean,HC,"k=5, linkage=single, metric=manhattan",0.7465649238569751,0.2330370083297108,2.518864417274303
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,,,holoclean,KMEANS,k=30,0.4458655061881232,0.80192824392031,0.8464299347816622
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,,,holoclean,KMEANSPPS,k=17,0.4365952109063109,0.9803083817436379,0.7283411889943557
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,,,horizon,KMEANSNF,k=12,0.6298614524607778,0.5163775450450129,1.2832145038613756
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,,,horizon,GMM,"n_components=9, covariance type=tied",0.6325410768451527,0.4129948518797389,1.5269393826569746
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,,,horizon,HC,"k=5, linkage=average, metric=manhattan",0.7173218150953663,0.22671563690831112,2.5640667931691112
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,,,horizon,KMEANS,k=14,0.6493307260903761,0.4875616927428334,1.3501766110417104
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,,,horizon,KMEANSPPS,k=10,0.5733605662307123,0.8842908183610843,0.8521051293516697
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,,,scared,KMEANSNF,k=11,0.587181050235652,0.6832576802600843,1.025378859805368
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,,,scared,GMM,"n_components=9, covariance type=tied",0.612094678813364,0.4557860150870112,1.4030533541799703
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,,,scared,HC,"k=5, linkage=average, metric=manhattan",0.7017720397756715,0.24523250952475,2.3897674103241133
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,,,scared,KMEANS,k=14,0.6561811284652328,0.43164921592456124,1.486438550407076
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,,,scared,KMEANSPPS,k=11,0.6100262519385784,0.5115078105123779,1.2825153062373666
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,,,baran,KMEANSNF,k=11,0.6124898925111649,0.6215974716170131,1.1106240224756136
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,,,baran,GMM,"n_components=15, covariance type=tied",0.6414251420313618,0.5372098228649257,1.2514475998979029
