dataset_id,avg_score1,avg_score2,time1,time2,loss_rate,acceleration
0,1.5272 ,1.5805 ,10428.4739 ,1481.8158 ,-0.0349 ,7.2831 
1,1.4187 ,1.6440 ,10166.5919 ,4942.0547 ,-0.1588 ,2.3839 
4,1.7527 ,1.6516 ,6671.9508 ,3456.5281 ,0.0577 ,1.8189 
5,1.5896 ,1.5650 ,10002.4048 ,2362.0265 ,0.0155 ,4.1690 
6,1.6108 ,1.5313 ,8657.3344 ,4623.0486 ,0.0494 ,1.7801 
7,1.3169 ,1.7129 ,10272.1991 ,2457.0303 ,-0.3007 ,5.4380 
8,1.7273 ,1.8698 ,9487.4369 ,2107.8336 ,-0.0825 ,4.8723 
9,2.1734 ,1.8712 ,7373.7503 ,3054.1722 ,0.1390 ,2.0786 
10,1.9057 ,1.0176 ,11226.0746 ,6279.6438 ,0.4660 ,0.9546 
11,0.8513 ,1.3281 ,8115.3868 ,5877.4302 ,-0.5600 ,2.1540 
12,1.1297 ,1.2908 ,7099.0949 ,6279.3469 ,-0.1426 ,1.2918 
13,0.9587 ,1.4974 ,7820.8354 ,7192.2894 ,-0.5620 ,1.6985 
15,1.2956 ,1.1945 ,6955.3855 ,6582.2676 ,0.0780 ,0.9742 
16,1.0909 ,1.2173 ,7514.0671 ,5837.7970 ,-0.1159 ,1.4364 
17,1.0492 ,1.2889 ,7894.8207 ,6735.1992 ,-0.2284 ,1.4399 
18,1.3941 ,1.1710 ,8488.1223 ,6426.3323 ,0.1600 ,1.1095 
19,1.0678 ,1.0965 ,7512.9309 ,7807.6652 ,-0.0268 ,0.9881 
20,0.7858 ,1.7504 ,8606.7920 ,2459.4421 ,-1.2276 ,7.7956 
21,0.9329 ,0.9295 ,8181.8887 ,5117.5737 ,0.0037 ,1.5929 
22,1.7478 ,1.2466 ,11126.2029 ,4526.4553 ,0.2868 ,1.7531 
24,1.0472 ,1.5526 ,12769.2787 ,2645.7553 ,-0.4826 ,7.1553 
25,1.1355 ,1.1388 ,10783.8949 ,3809.8754 ,-0.0029 ,2.8386 
26,1.2723 ,0.9849 ,10811.0253 ,2734.7223 ,0.2259 ,3.0602 
27,1.6679 ,1.3210 ,11845.8416 ,5996.5191 ,0.2080 ,1.5645 
28,1.0239 ,2.2920 ,10109.7218 ,635.3098 ,-1.2384 ,35.6201 
29,1.3752 ,1.3789 ,10930.2996 ,4396.8828 ,-0.0027 ,2.4927 
30,1.3231 ,1.5381 ,12010.0746 ,2879.2273 ,-0.1625 ,4.8489 
31,1.6553 ,1.9483 ,9636.8999 ,1865.7015 ,-0.1770 ,6.0797 
32,0.8702 ,1.9219 ,11449.4128 ,1921.5601 ,-1.2085 ,13.1594 
33,1.2782 ,1.6713 ,4562.0075 ,2754.5823 ,-0.3076 ,2.1656 
34,1.2477 ,1.5497 ,2323.9580 ,3118.3119 ,-0.2420 ,0.9256 
35,1.9966 ,2.2541 ,3323.1965 ,1640.0464 ,-0.1290 ,2.2877 
36,1.8975 ,1.7751 ,3177.7240 ,2436.5509 ,0.0645 ,1.2201 
38,1.6187 ,1.3247 ,3572.3736 ,985.4745 ,0.1816 ,2.9666 
39,1.9412 ,1.6726 ,3184.8898 ,1936.3805 ,0.1384 ,1.4172 
average,1.3908 ,1.5080 ,8402.6384 ,3867.5101 ,-0.1520 ,4.0233 
