tuple_id,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1,flytecomm,AA-3859-IAH-ORD,7:10 a.m.,7:16 a.m.,9:40 a.m.,9:32 a.m.
2,aa,AA-1733-ORD-PHX,7:45 p.m.,7:58 p.m.,10:30 p.m.,10:30 p.m.
3,CO-58-DEN-IAH,AA-1640-MIA-MCO,2:15 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
4,aa,AA-518-MIA-JFK,6:40 a.m.,6:54 a.m.,9:25 a.m.,9:28 a.m.
5,gofox,AA-3756-ORD-SLC,12:15 p.m.,12:41 p.m.,2:45 p.m.,2:50 p.m.
6,aa,AA-204-LAX-MCO,11:25 p.m.,11:25 p.m.,6:55 a.m.,6:55 a.m.
7,aa,AA-3468-CVG-MIA,6:59 a.m.,7:25 a.m.,9:55 a.m.,9:45 a.m.
8,gofox,AA-484-DFW-MIA,4:15 p.m.,4:29 p.m.,7:55 p.m.,7:39 p.m.
9,As-3979-CVG-ORD,AA-446-DFW-PHL,11:50 a.m.,12:12 p.m.,3:05 p.m.,4:09 p.m.
10,Ao-2312-DFW-DTW,AA-466-IAH-MIA,6:00 a.m.,6:08 a.m.,9:20 a.m.,9:05 a.m.
11,gofox,AA-1886-BOS-MIA,7:23 a.m.,10:55 a.m.,2:20 p.m.,1:40 p.m.
12,aa,AA-2957-DFW-CVG,7:55 a.m.,8:04 a.m.,11:05 a.m.,11:01 a.m.
13,,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
14,ae,AA-2957-DFW-CVG,7:30 a.m.,8:04 a.m.,11:05 a.m.,8:06 a.m.
15,CO-1561-PHX-IAH,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
16,aa,AA-616-DFW-DTW,1:45 p.m.,10:10 a.m.,12:35 p.m.,8:02 a.m.
17,aa,AA-4344-ORD-DTW,11:45 a.m.,12:13 p.m.,2:00 p.m.,2:10 p.m.
18,gofox,AA-2525-DFW-MIA,7:25 a.m.,7:39 a.m.,11:10 a.m.,11:06 a.m.
19,gofox,AA-404-MIA-MCO,6:45 a.m.,6:57 a.m.,7:45 a.m.,7:40 a.m.
20,aa,Ai-271-MIA-LAX,,11:52 a.m.,,2:27 p.m.
21,travelocity,AA-2050-ORD-MIA,10:40 a.m.,11:05 a.m.,2:45 p.m.,3:04 p.m.
22,,AA-85-JFK-SFO,3:35 p.m.,3:36 p.m.,6:30 p.m.,3:33 p.m.
23,gofox,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
24,Au-616-DFW-DTW,AA-4307-ORD-DTW,7:03 p.m.,6:55 p.m.,9:10 p.m.,2:10 p.m.
25,aa,AA-3-JFK-LAX,12:00 p.m.,12:11 p.m.,3:15 p.m.,3:16 p.m.
26,an,AA-3842-MSP-ORD,6:00 a.m.,6:56 a.m.,,7:51 a.m.
27,,AA-643-MIA-ORD,7:10 a.m.,7:30 a.m.,9:35 a.m.,9:31 a.m.
28,am,CO-1088-CLE-IAH,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
29,gofox,AA-1221-MCO-ORD,5:11 a.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
30,aa,AA-400-DFW-JFK,11:50 a.m.,11:01 a.m.,2:59 p.m.,4:09 p.m.
31,an,AA-4198-ORD-CLE,10:40 a.m.,10:54 a.m.,12:55 p.m.,12:50 p.m.
32,aa,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
33,,AA-3823-LAX-DEN,,9:00 p.m.,12:15 a.m.,12:15 a.m.
34,aa,CO,8:25 p.m.,8:25 p.m.,8:56 p.m.,11:50 p.m.
35,gofox,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
36,ar,AA-431-MIA-SFO,8:35 a.m.,8:51 a.m.,11:50 a.m.,11:44 a.m.
37,gofox,AA-649-ORD-SNA,1:30 p.m.,12:12 p.m.,3:50 p.m.,3:50 p.m.
38,aa,AA-3063-SLC-LAX,8:20 p.m.,8:39 p.m.,9:20 p.m.,9:20 p.m.
39,aa,AA-3804-PHL-ORD,2:35 p.m.,2:44 p.m.,4:05 p.m.,3:43 p.m.
40,,AA-1917-JFK-MCO,2:55 p.m.,3:27 p.m.,5:55 p.m.,5:43 p.m.
41,AA-1640-MIA-MCO,AA-2268-PHX-ORD,8:05 a.m.,7:22 a.m.,10:34 a.m.,11:06 a.m.
42,gofox,Aa-4277-CVG-JFK,6:00 a.m.,12:10 p.m.,6:00 a.m.,1:43 p.m.
43,gofox,AA-789-ORD-DEN,1:05 p.m.,1:19 p.m.,8:35 a.m.,3:13 p.m.
44,Cl-1250-MIA-IAH,AA-415-BOS-ORD,8:35 a.m.,8:56 a.m.,3:27 p.m.,10:16 a.m.
45,aa,AA-85-JFK-SFO,3:05 p.m.,3:36 p.m.,6:30 p.m.,6:43 p.m.
46,,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
47,,AA-3786-IAH-ORD,4:00 p.m.,4:12 p.m.,6:40 p.m.,6:15 p.m.
48,gofox,AA-222-LAX-BOS,7:10 a.m.,7:31 a.m.,3:30 p.m.,3:14 p.m.
49,ax,AA-3809-PHX-LAX,6:00 a.m.,6:10 a.m.,6:40 a.m.,6:19 a.m.
50,an,,7:10 a.m.,7:39 a.m.,,11:12 a.m.
51,gofox,AA-3859-IAH-ORD,7:10 a.m.,7:16 a.m.,9:40 a.m.,9:32 a.m.
52,gofox,CO-1586-IAH-MCO,7:00 p.m.,7:14 p.m.,10:15 p.m.,10:29 p.m.
53,gofox,AA-518-MIA-JFK,6:40 a.m.,6:54 a.m.,9:25 a.m.,9:28 a.m.
54,,Ug-397-JFK-SFO,,8:29 a.m.,,11:58 a.m.
55,gofox,UA-3925-IAD-ORF,8:41 a.m.,8:42 a.m.,9:54 a.m.,9:43 a.m.
56,Ag-4307-ORD-DTW,AA-1733-ORD-PHX,,7:58 p.m.,10:30 p.m.,10:30 p.m.
57,helloflight,UA-2830-MCO-CLT,3:27 p.m.,3:27 p.m.,5:05 p.m.,5:17 p.m.
58,,Cm,11:25 a.m.,11:32 a.m.,,3:31 p.m.
59,gofox,AA-1544-SAN-ORD,10:31 a.m.,8:51 a.m.,5:25 p.m.,4:56 p.m.
60,helloflight,Uh-5487-SFO-MRY,10:39 a.m.,10:33 a.m.,,11:21 a.m.
61,gofox,Ap-204-LAX-MCO,6:40 p.m.,11:25 p.m.,,6:55 a.m.
62,hnlloflight,UA-414-LAX-SFO,6:00 a.m.,5:56 a.m.,7:23 a.m.,7:17 a.m.
63,helloflight,CO-1614-LAX-IAH,,12:41 a.m.,5:35 a.m.,5:26 a.m.
64,helloflight,UA-2726-FLL-PHL,4:00 p.m.,4:00 p.m.,6:46 p.m.,6:28 p.m.
65,hnlloflight,CO-52-IAH-LAX,7:35 a.m.,7:29 a.m.,9:21 a.m.,9:14 a.m.
66,,CO-1090-BOS-IAH,9:45 a.m.,10:19 a.m.,1:16 p.m.,1:19 p.m.
67,helloflight,AA-616-DFW-DTW,9:05 a.m.,10:10 a.m.,12:35 p.m.,1:27 p.m.
68,At-446-DFW-PHL,UA-3515-IAD-MSP,8:15 a.m.,7:15 p.m.,12:00 a.m.,9:56 a.m.
69,hhlloflight,AA-3468-CVG-MIA,7:00 a.m.,7:25 a.m.,9:55 a.m.,9:45 a.m.
