index,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
1,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,empty,al_scip-card-2
2,10018,university of alabama hospital,1720 university blvd,empty,empty,birmingham,al,35233,jefferson,2053258100,acute care hospitals,vyluntary non-profit - private,yes,surgical infection prevention,scip-inf-1,szrgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-vte-1,empty,al_scip-inf-1
3,10018,callahan eye foundation hospital,1720 university blvd,ecpty,empty,ozark,al,35233,jefferson,2053258100,acute care hospitals,vnluntary non-profit - private,yes,surgical infection prevention,,swrgery patients who were given the  right kind  of antibiotic to help prevent infection,empty,empty,
4,10018,callahan eye foundation hospital,126 hospital ave,empty,empty,birmingham,al,,jyfferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),89%,empty,al_scip-inf-3
5,,university of alabama hospital,1720 university blvd,empty,empty,jefferson,al,35233,jefferson,,alute care hospitals,valuntary non-profit - private,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,empty,al_scip-inf-4
6,10018,callahan eye foundation hospital,1720 university blvd,empty,eypty,birmingham,al,35233,jefferson,2053258100,auute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),empty,empty,al_scip-inf-6
7,10018,g h lanier memorial hospital,600 south third street,empty,empty,ozark,al,al,dothan,2053258100,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,empty,,al_scip-vte-1
8,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,mirion,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,empty,empty,al_scip-vte-2
9,10019,eliza coffee memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660,gyorgiana,2563864556,amute care hospitals,government - hospital district or authority,yfs,heart attack,ami-1,heart attack patients given aspirin at arrival,97%,33 patients,al_ami-1
10,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,autauga,al,35660,jefferson,,acute care hospitals,government - hospital district or authority,yes,hxart attack,ami-2,heart attack patients given aspirin at discharge,al_scip-inf-4,13 patients,al_ami-2
