dataset_id,avg_score1,avg_score2,time1,time2,loss_rate,acceleration
9,48.60470622,1.824053792,16976.49642,2009.172598,0.962471663,0.317095544
31,15.48506901,2.015581705,17219.17298,1328.166523,0.869837086,1.687512591
3,8.604659668,2.303397628,18572.7898,1570.43093,0.732308108,3.165873232
10,1.749851704,0.766255378,20986.84065,5134.593304,0.562102676,1.789836275
25,2.620127727,1.149586208,4015.748503,2421.127126,0.561248028,0.727726173
6,4.047999796,2.410465829,17842.65009,1416.709103,0.404529162,7.499618495
27,1.541513708,0.945573482,22134.1436,763.7252831,0.386594179,17.77761301
19,1.174840901,0.829119308,15212.96026,6149.416036,0.294270988,1.745893812
0,2.171208251,1.564422492,18103.73418,2233.893808,0.279469166,5.839265339
12,1.198313932,0.910375505,13007.36317,3756.784379,0.240286305,2.630407004
38,1.655419402,1.265537234,6765.697656,554.9410937,0.235518665,9.320357841
33,1.495937193,1.168267454,6866.766235,1286.098074,0.219039771,4.169721922
15,1.25822004,0.988075315,13230.42926,5210.360528,0.214703881,1.994066379
22,1.56004362,1.243180344,22693.12053,951.5672147,0.203111805,19.0043116
39,2.381832803,2.016279204,6367.500231,1590.337041,0.15347576,3.38937166
26,1.338610427,1.224738889,1780.647704,2164.998819,0.085066974,0.752505441
16,1.06674125,1.05373807,15194.24251,4187.219686,0.012189628,3.584485999
17,1.010903993,1.001678127,16637.39167,5198.953237,0.009126353,3.170936958
7,1.593642568,1.598038042,16838.40082,1237.740004,-0.00275813,13.64167213
18,0.846206841,0.854475152,16842.77525,6244.667021,-0.009771028,2.723499336
13,1.123529004,1.14883123,14708.32034,3642.569872,-0.022520314,4.128831253
30,1.182820781,1.232824246,1955.520821,2181.247903,-0.04227476,0.934414649
1,2.104740532,2.345752331,19425.72111,2175.571253,-0.114509031,9.95147439
35,2.217518173,2.498704741,6676.961356,636.5541947,-0.126802374,11.81928572
34,1.271907677,1.45724655,4134.793019,1837.266263,-0.145717238,2.578452418
21,0.939523291,1.121963687,17254.6213,2382.350345,-0.194184006,8.649102695
8,2.070553418,2.477994537,18455.98072,1322.138709,-0.19677885,16.70605906
36,1.16524748,1.572266546,5763.795194,1804.504825,-0.349298388,4.30981367
11,0.754402287,1.222262429,15205.86533,4621.975675,-0.620173281,5.330217738
5,1.936594758,3.150705171,18469.05664,2379.011406,-0.626930548,12.63040284
28,1.392055153,2.52018553,20794.61736,1413.50942,-0.81040638,26.63350339
29,1.206088576,2.277954657,19716.8351,2741.176608,-0.888712573,13.58520069
32,1.239658273,2.362830307,19995.41839,1226.33263,-0.90603359,31.07797847
20,0.797558578,1.678293054,17988.68921,827.5505946,-1.104288138,45.74147559
24,1.042133427,2.716475121,25232.47085,2829.664135,-1.606648105,23.24380887
4,1.979487928,9.637100897,12654.42154,2330.801686,-3.868481772,26.43203023
