index,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
501,2213.0,Native Amber,American Amber / Red Ale,16.0,0.063,35.0,182,COOP Ale Works,Oklahoma City,OK
502,1442.0,F5 IPA,American IPA,16.0,0.068,100.0,128,COOP Ale Works,Oklahoma City,OK
503,170.0,NativeAmber(2013),American Amber / Red Ale,16.0,0.063,35.0,182,COOP Ale Works,Oklahoma City,OK
504,169.0,Horny Toad Cerveza (2013),American Blonde Ale,16.0,0.053,25.0,182,COOP Ale Works,Oklahoma City,OK
505,2315.0,Hopportunity Knocks IPA,American IPA,12.0,0.068,100.0,155,Caldera Brewing Company,Ashland,OR
506,1808.0,Pilot Rock Porter,American Porter,12.0,0.06,,155,Caldera Brewing Company,Ashland,OR
507,1419.0,Caldera Pale Ale,American Pale Ale (APA),12.0,0.056,55.0,155,Caldera Brewing Company,Ashland,OR
508,878.0,Lawnmower Lager,American Adjunct Lager,12.0,0.039,16.0,55,Caldera Brewing Company,Ashland,OR
509,794.0,Ashland Amber Ale (2009),American Amber / Red Ale,12.0,0.054,24.0,155,Caldera Brewing Company,Ashland,OR
510,793.0,Caldera IPA (2009),American IPA,12.0,0.061,94.0,155,Caldera Brewing Company,Ashland,OR
511,792.0,a IPA ,American IPA,12.0,0.061,94.0,155,Caldera Brewing Company,Ashland,OR
512,791.0,Caldera Pale Ale (2010),American Pale Ale (APA),12.0,0.056,55.0,155,Caldera Brewing Company,Ashland,OR
513,790.0,Caldera Pale Ale (2009),American Pale Ale (APA),12.0,0.056,55.0,155,Caldera Brewing Company,Ashland,OR
514,789.0,Caldera Pale Ale (2005),American Pale Ale (APA),12.0,0.056,55.0,155,Caldera Brewing Company,Ashland,OR
515,3999.384835117857,Caldera Pale Ale (2007),American Pale Ale (APA),12.0,0.056,196.77640841950037,155,Caldera Brewing Company,Ashland,OR
516,38.0,Caldera Pale Ale (2011),American Pale Ale (APA),57.24649545514441,0.056,55.0,155,Caldera Brewing Company,Ashland,OR
517,37.0,Ashland Amber Ale,American Amber / Red Ale,12.0,0.054,24.0,155,Caldera Brewing Company,Ashland,OR
518,36.0,Caldera IPA,American IPA,63.80931185824406,0.061,94.0,155,Caldera Brewing Company,Ashland,OR
519,2257.0,Remain in Light,American Pilsner,12.0,0.05,,178,Cambridge Brewing Company,Cambridge,MA
520,2256.0,Flower Child (2014),American IPA,12.0,0.065,4.607591896151249,178,Cambridge Brewing Company,Cambridge,MA
521,2888.1928440308366,THP White (2006),Witbier,12.0,,,497,Cans Bar and Canteen,Charlotte,NC
