ID,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
1,10039.0,stringfellow memorial hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,empty,al_scip-card-2
2,10039.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2562651000.0,acutecarehospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-1,heart failure patients given discharge instructions,empty,empty,al_scip-inf-1
3,10039.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,empty,empty,al_scip-inf-2
4,10039.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),empty,empty,al_scip-inf-3
5,10039.0,callahan eye foundation hospital,101 sivley rd,empty,empty,birmingham,al,35233.0,jefferson,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,empty,al_scip-inf-4
6,10039.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),empty,empty,al_scip-inf-6
7,10039.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,empty,empty,al_scip-vte-1
8,10039.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,empty,empty,al_scip-vte-2
9,10039.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35233.0,jefferson,2562651000.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,9%7,33 patients,al_ami-1
10,10039.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35233.0,jefferson,2562651000.0,acutecarehospitals,government - hospital district or authority,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,92%,13 patients,al_ami-2
11,10039.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35233.0,jefferson,2562651000.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75%,4 patiestn,al_ami-3
12,10039.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,l,35233.0,jefferson,2562651000.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami4-,heart attack patients given smoking cessation advice/counseling,100%,4 patients,al_ami-4
13,10039.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35233.0,jefferson,2562651000.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,86%,14 patients,al_ami-5
14,10039.0,stringfellow memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35233.0,jefferson,2562651000.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,100%,0 patients,al_ami-7a
15,10039.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,d,al,35233.0,jefferson,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,empty,0 patients,al_ami-8a
16,10039.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35233.0,jefferson,2562651000.0,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,hf-1,heart failure patients given discharge instructions,80%,114 patients,al_hf-1
17,10039.0,helenkellermemorialhospital,1300 south montgomery avenue,empty,empty,sheffield,al,35233.0,jefferson,2562651000.0,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,G9j,149 patients,al_hf-2
18,10039.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,as,35233.0,jefferson,2562651000.0,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-3,heart failure patients given discharge instructions,92%,37 patients,al_hf-3
19,10039.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35233.0,jefferson,2562651000.0,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,41 patients,al_hf-4
20,10039.0,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,35233.0,houston,2562651000.0,acutecarehospitals,government - hospital district or authority,yes,heart attack,hf-4,heart attack patients given aspirin at arrival,98%,270 patients,al_ami-1
21,10039.0,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,35233.0,houston,2562651000.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,99%,516 patients,al_ami-2
22,10039.0,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,35233.0,houston,2562651000.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),96%,71 patients,al_ami-3
23,10039.0,southeast alabama medical center,1108 ross clark circle,empty,empty,birmingham,al,35233.0,houston,2562651000.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,100%,244 patients,al_ami-4
24,10039.0,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,35233.0,houston,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,99%,441 patients,al_ami-5
25,10039.0,southeast alabama medical center,1108 ross clark circle,empty,empty,birmingham,al,35233.0,houston,2562651000.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,0 patients,al_ami-7a
26,10039.0,southeast alabama medicac lenter,1108 ross clark circle,empty,empty,dothan,al,35233.0,houston,2562651000.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,72%,40 patients,al_ami-4
27,10039.0,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,35233.0,t,2562651000.0,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-1,heart failure patients given discharge instructions,78%,455 patients,al_hf-1
28,10039.0,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,35233.0,houston,2562651000.0,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,99%,514 patients,al_hf-2
29,10039.0,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,35233.0,jefferson,2562651000.0,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),91%,165 patients,al_hf-3
30,10039.0,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,35233.0,houston,2562651000.0,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,110 patients,al_hf-4
31,10039.0,southeast alabama medical center,1108 ross clark circle,empty,empty,birmingham,al,35233.0,houston,2562651000.0,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-2,heart failure patients given discharge instructions,93%,191 patients,al_pn-2
