family,metric,mode,baran,holoclean,bigdansing,boostclean,horizon,scared,unified
centroid,AUC_Δ,12.201,10.728,12.043,10.538,11.318,9.914,10.226,8.582
centroid,GeoDecay,0.599,0.633,0.61,0.624,0.65,0.602,0.645,0.609
centroid,ΔSSE/NLL,1543.756,1262.638,1443.666,1162.187,1505.577,837.254,970.031,861.803
density,ΔW_cdf,0,392.474,363.81,295.474,419.95,356.109,376.327,376.262
density,Δn_avg,37.122,36.473,42.517,36.973,35.164,36.913,32.515,37.244
density,Δn_core,1529.5,763,1241.5,437.5,724,469.5,346,376
density,Δρ_noise,0.077,0.078,0.075,0.093,0.077,0.081,0.147,0.098
hierarch,ΔR_intra/inter,0.252,0.339,0.351,0.332,0.584,0.318,0.456,0.362
hierarch,Δh_max,15.985,10.821,10.325,11.04,6.842,11.625,8.144,10.821
hierarch,Δn_merge,1687,918,1472,728,890,644,632,421.5
