family,metric,baran,bigdansing,boostclean,holoclean,horizon,scared,unified
centroid,AUC_Δ,-26.9,-14.9,-6.2,15.2,-17.1,-15.9,-21.8
centroid,GeoDecay,-5.3,-1.6,4.3,24.9,-1.1,3.2,1.5
centroid,ΔSSE/NLL,-65.0,-47.8,-38.9,-4.5,-55.2,-62.0,-62.3
density,ΔW_cdf,447.4,356.1,422.1,423.0,404.3,394.2,323.0
density,Δn_avg,5.9,-1.3,-19.3,6.9,5.3,-11.2,-3.6
density,Δn_core,-18.5,-58.3,-61.9,-3.5,-58.7,-74.3,-65.8
density,Δρ_noise,-39.8,5.0,41.3,-21.3,-9.2,36.0,16.8
hierarch,ΔR_intra/inter,23.5,11.0,42.2,5.6,6.4,27.7,23.1
hierarch,Δh_max,-19.1,-1.6,-28.6,2.5,-4.8,-20.1,-6.4
hierarch,Δn_merge,-35.6,-54.8,-61.4,-2.4,-61.2,-76.1,-63.9
